timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1650973830,0.3,0.5,31568.1,-0.0,-0.0,48610.3,10901.0,8903.3,21.6,79.6,0.0,0.0,3.6
1650973831,0.1,0.1,31568.1,-0.0,-0.0,48610.3,10901.0,8903.5,4.2,4.3,0.0,0.0,0.0
1650973832,0.1,0.1,31568.1,-0.0,-0.0,48610.3,10901.0,8903.5,4.2,4.8,0.0,0.0,0.0
1650973833,0.0,0.0,31568.1,-0.0,-0.0,48610.3,10901.0,8903.5,4.2,4.1,0.0,0.0,0.0
1650973834,0.3,0.1,31568.1,-0.0,-0.0,48610.3,10901.0,8903.8,4.2,4.3,0.0,0.0,0.0
1650973835,7.4,0.7,31568.1,-0.0,-0.0,48610.3,10901.1,8948.9,23.4,27.0,0.0,0.0,59.6
1650973836,7.7,0.7,31568.1,-0.0,-0.0,48610.3,10901.1,8963.8,6.0,5.6,2.0,0.0,89.5
1650973837,7.7,0.7,31568.1,-0.0,-0.0,48610.3,10901.1,8977.8,4.3,4.1,0.0,0.0,0.0
1650973838,7.2,0.5,31568.1,-0.0,-0.0,48610.3,10901.1,8980.2,4.4,4.0,0.0,0.0,0.0
1650973839,7.1,0.5,31568.1,-0.0,-0.0,48610.3,10901.1,8980.5,4.4,3.8,0.0,0.0,0.0
1650973840,7.9,0.8,31568.1,-0.0,-0.0,48610.3,10901.1,8981.1,27.5,4.9,0.0,0.0,0.0
1650973841,8.2,1.0,31568.1,-0.0,-0.0,48610.3,10901.1,9003.7,4.6,4.2,0.0,0.0,0.0
1650973842,7.8,0.7,31568.1,-0.0,-0.0,48610.3,10901.1,9024.9,4.5,4.1,3.0,0.0,39.7
1650973843,7.3,0.6,31568.1,-0.0,-0.0,48610.3,10901.1,9027.7,5.0,4.6,0.0,0.0,0.0
1650973844,8.1,0.7,31568.1,-0.0,-0.0,48610.3,10901.1,9022.5,4.5,4.2,0.0,0.0,0.0
1650973845,7.9,0.7,31568.1,-0.0,-0.0,48610.3,10901.1,9019.3,25.3,4.6,0.0,0.0,0.0
1650973846,7.6,0.6,31568.1,-0.0,-0.0,48610.3,10901.1,9015.5,4.8,5.2,0.0,0.0,0.0
1650973847,7.5,0.6,31568.1,-0.0,-0.0,48610.3,10901.1,9018.6,4.7,4.2,0.0,0.0,0.0
1650973848,7.6,0.7,31568.1,-0.0,-0.0,48610.3,10901.1,9020.9,4.7,4.2,0.0,0.0,0.0
