timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1650973830,0.3,0.5,31568.1,-0.0,-0.0,61215.7,7433.2,22062.2,20.4,78.7,0.0,0.0,3.6
1650973831,0.1,0.0,31568.1,-0.0,-0.0,61215.7,7433.4,22062.9,3.0,3.1,0.0,0.0,0.0
1650973832,0.0,0.1,31568.1,-0.0,-0.0,61215.7,7433.4,22062.9,3.1,3.8,0.0,0.0,0.0
1650973833,0.2,0.1,31568.1,-0.0,-0.0,61215.7,7433.4,22063.0,3.3,3.2,0.0,0.0,0.0
1650973834,0.0,0.1,31568.1,-0.0,-0.0,61215.7,7433.4,22063.0,4.0,10.6,0.0,0.0,0.0
1650973835,5.5,0.3,31568.1,-0.0,-0.0,61215.7,7434.1,22098.3,19.7,1662.8,0.0,0.0,0.0
1650973836,7.1,0.6,31568.1,-0.0,-0.0,61215.7,7430.4,22113.0,3.1,3.1,7.0,0.0,131.5
1650973837,7.3,0.5,31568.1,-0.0,-0.0,61215.7,7430.1,22113.7,3.6,3.7,0.0,7.9,0.0
1650973838,7.6,0.6,31568.1,-0.0,-0.0,61215.7,7427.3,22114.5,3.5,3.1,0.0,0.0,0.0
1650973839,7.5,0.6,31568.1,-0.0,-0.0,61215.7,7427.4,22118.6,3.3,2.7,0.0,0.0,0.0
1650973840,7.4,0.6,31568.1,-0.0,-0.0,61215.7,7424.2,22121.2,3.3,3.0,0.0,0.0,0.0
1650973841,7.0,0.4,31568.1,-0.0,-0.0,61215.7,7423.9,22122.6,34.0,5.0,8.9,15.9,119.3
1650973842,7.1,0.4,31568.1,-0.0,-0.0,61215.7,7423.9,22123.6,3.4,3.1,0.0,0.0,0.0
1650973843,7.6,0.6,31568.1,-0.0,-0.0,61215.7,7421.1,22121.9,3.5,3.2,0.0,0.0,0.0
1650973844,7.1,0.4,31568.1,-0.0,-0.0,61215.7,7421.1,22121.7,3.4,3.2,0.0,0.0,0.0
1650973845,7.4,0.5,31568.1,-0.0,-0.0,61215.7,7421.2,22123.0,3.5,2.9,0.0,0.0,0.0
1650973846,7.1,0.4,31568.1,-0.0,-0.0,61215.7,7421.2,22128.9,3.5,4.1,0.0,0.0,557.3
1650973847,7.9,0.7,31568.1,-0.0,-0.0,61215.7,7420.8,22126.6,3.5,3.1,0.0,0.0,0.0
1650973848,7.3,0.4,31568.1,-0.0,-0.0,61215.7,7420.9,22126.3,3.8,3.4,2.0,0.0,23.9
1650973849,7.9,0.8,31568.1,-0.0,-0.0,61215.7,7420.9,22127.6,3.6,3.0,0.0,0.0,0.0
1650973850,6.9,0.2,31568.1,-0.0,-0.0,61215.7,7420.9,22128.6,3.6,3.2,0.0,0.0,0.0
1650973851,7.2,0.2,31568.1,-0.0,-0.0,61215.7,7420.9,22131.1,3.6,2.9,0.0,0.0,0.0
1650973852,7.7,0.7,31568.1,-0.0,-0.0,61215.7,7420.5,22127.1,3.8,3.2,0.0,0.0,0.0
1650973853,6.8,0.3,31568.1,-0.0,-0.0,61215.7,7420.5,22129.3,3.8,3.2,0.0,0.0,0.0
1650973854,7.5,0.4,31568.1,-0.0,-0.0,61215.7,7420.5,22130.9,3.8,3.3,0.0,0.0,0.0
1650973855,7.6,0.5,31568.1,-0.0,-0.0,61215.7,7420.5,22132.8,3.8,3.1,0.0,0.0,0.0
1650973856,7.9,0.6,31568.1,-0.0,-0.0,61215.7,7420.2,22130.5,3.8,2.9,0.0,0.0,0.0
1650973857,7.5,0.5,31568.1,-0.0,-0.0,61215.7,7419.8,22129.2,4.0,3.3,0.0,0.0,0.0
1650973858,7.7,0.5,31568.1,-0.0,-0.0,61215.7,7419.9,22130.1,3.9,3.0,3.0,0.0,16.0
1650973859,7.3,0.6,31568.1,-0.0,-0.0,61215.7,7419.9,22130.8,4.2,3.4,0.0,0.0,0.0
1650973860,7.2,0.4,31568.1,-0.0,-0.0,61215.7,7419.9,22133.1,4.7,3.4,0.0,0.0,0.0
1650973861,7.1,0.4,31568.1,-0.0,-0.0,61215.7,7419.9,22133.6,4.0,3.2,0.0,0.0,0.0
1650973862,6.8,0.3,31568.1,-0.0,-0.0,61215.7,7419.9,22120.3,4.0,3.6,0.0,0.0,0.0
1650973863,7.7,0.6,31568.1,-0.0,-0.0,61215.7,7419.9,22121.9,4.1,3.2,0.0,0.0,0.0
1650973864,7.5,0.6,31568.1,-0.0,-0.0,61215.7,7419.9,22124.3,4.4,3.3,0.0,0.0,0.0
1650973865,7.4,0.5,31568.1,-0.0,-0.0,61215.7,7419.9,22125.1,4.4,3.6,0.0,0.0,0.0
1650973866,7.3,0.4,31568.1,-0.0,-0.0,61215.7,7419.9,22127.6,139.0,5.0,0.0,0.0,0.0
1650973867,7.3,0.5,31568.1,-0.0,-0.0,61215.7,7419.9,22131.6,4.3,3.7,0.0,0.0,0.0
1650973868,7.2,0.4,31568.1,-0.0,-0.0,61215.7,7419.9,22132.9,4.3,3.3,2.0,0.0,27.9
1650973869,7.6,0.6,31568.1,-0.0,-0.0,61215.7,7419.9,22135.0,4.4,3.2,0.0,0.0,0.0
1650973870,7.3,0.5,31568.1,-0.0,-0.0,61215.7,7419.5,22118.1,4.7,3.4,0.0,0.0,0.0
1650973871,7.4,0.6,31568.1,-0.0,-0.0,61215.7,7419.5,22119.6,35.5,5.1,1.0,0.0,31.9
1650973872,7.1,0.5,31568.1,-0.0,-0.0,61215.7,7419.5,22120.0,4.6,3.3,0.0,0.0,0.0
1650973873,7.2,0.4,31568.1,-0.0,-0.0,61215.7,7419.5,22126.0,4.5,3.3,0.0,0.0,0.0
1650973874,7.7,0.6,31568.1,-0.0,-0.0,61215.7,7419.5,22127.5,4.5,3.1,0.0,0.0,0.0
1650973875,7.2,0.4,31568.1,-0.0,-0.0,61215.7,7419.5,22129.7,4.6,3.1,0.0,0.0,0.0
1650973876,7.5,0.6,31568.1,-0.0,-0.0,61215.7,7419.5,22131.5,4.5,3.2,0.0,0.0,0.0
1650973877,7.1,0.4,31568.1,-0.0,-0.0,61215.7,7419.5,22132.6,4.8,2.9,0.0,0.0,0.0
1650973878,7.0,0.4,31568.1,-0.0,-0.0,61215.7,7419.5,22133.2,4.7,2.7,3.0,0.0,23.9
1650973879,7.3,0.6,31568.1,-0.0,-0.0,61215.7,7419.5,22133.5,4.7,3.2,0.0,0.0,0.0
1650973880,7.2,0.4,31568.1,-0.0,-0.0,61215.7,7419.5,22133.9,4.7,3.1,0.0,0.0,0.0
1650973881,7.4,0.4,31568.1,-0.0,-0.0,61215.7,7419.5,22134.4,5.0,3.3,0.0,0.0,0.0
1650973882,6.9,0.4,31568.1,-0.0,-0.0,61215.7,7419.5,22137.4,5.1,3.4,0.0,0.0,0.0
1650973883,7.7,0.4,31568.1,-0.0,-0.0,61215.7,7419.2,22133.3,4.8,3.1,0.0,0.0,0.0
1650973884,7.5,0.6,31568.1,-0.0,-0.0,61215.7,7419.2,22135.8,4.9,3.2,2.0,19.9,0.0
1650973885,7.2,0.4,31568.1,-0.0,-0.0,61215.7,7419.2,22135.7,4.9,3.2,0.0,0.0,0.0
1650973886,7.2,0.5,31568.1,-0.0,-0.0,61215.7,7419.2,22136.0,4.9,3.2,0.0,0.0,877.0
1650973887,7.3,0.4,31568.1,-0.0,-0.0,61215.7,7419.2,22136.7,5.1,3.2,0.0,0.0,0.0
1650973888,7.7,0.5,31568.1,-0.0,-0.0,61215.7,7415.8,22119.1,5.0,3.1,2.0,0.0,23.9
1650973889,9.0,1.1,31568.1,-0.0,-0.0,61215.7,7415.8,22119.4,5.4,3.7,0.0,0.0,0.0
1650973890,7.4,0.4,31568.1,-0.0,-0.0,61215.7,7415.8,22112.8,5.8,3.7,0.0,0.0,0.0
1650973891,7.5,0.5,31568.1,-0.0,-0.0,61215.7,7415.8,22117.6,6.1,3.2,0.0,0.0,0.0
1650973892,8.0,0.6,31568.1,-0.0,-0.0,61215.7,7415.8,22121.0,5.3,4.3,0.0,0.0,0.0
