timestamp,total,used,free,shared,buff/cache,available
0,33101,6221,13635,2275,13244,24088
1,33101,6221,13635,2275,13244,24088
2,33101,6221,13635,2275,13244,24088
3,33101,6222,13634,2275,13244,24087
4,33101,6222,13634,2275,13244,24088
5,33101,6253,13602,2275,13244,24056
6,33101,6280,13575,2275,13244,24029
7,33101,6297,13558,2275,13245,24012
8,33101,6307,13548,2276,13245,24001
9,33101,6312,13544,2276,13245,23997
10,33101,6317,13538,2276,13245,23992
11,33101,6329,13525,2276,13245,23979
12,33101,6342,13513,2276,13246,23966
13,33101,6341,13513,2277,13246,23966
14,33101,6349,13506,2277,13246,23959
15,33101,6351,13503,2277,13246,23956
16,33101,6342,13512,2277,13246,23965
17,33101,6342,13511,2277,13247,23965
18,33101,6345,13508,2278,13247,23962
19,33101,6345,13508,2278,13247,23962
20,33101,6344,13509,2278,13247,23963
21,33101,6346,13507,2278,13247,23960
22,33101,6344,13508,2278,13247,23962
23,33101,6345,13507,2278,13248,23961
24,33101,6347,13505,2279,13248,23959
25,33101,6348,13503,2279,13248,23957
26,33101,6351,13501,2279,13248,23955
27,33101,6371,13481,2279,13248,23934
28,33101,6375,13476,2279,13248,23930
29,33101,6378,13473,2279,13248,23927
30,33101,6375,13476,2279,13249,23930
31,33101,6371,13480,2279,13249,23934
32,33101,6338,13514,2279,13249,23967
33,33101,6348,13503,2280,13250,23957
34,33101,6352,13498,2280,13250,23952
35,33101,6350,13501,2280,13250,23955
36,33101,6351,13499,2280,13250,23953
37,33101,6369,13481,2280,13250,23936
38,33101,6362,13488,2280,13250,23942
39,33101,6370,13479,2280,13250,23934
40,33101,6367,13483,2280,13250,23937
41,33101,6368,13482,2281,13251,23936
42,33101,6382,13467,2281,13251,23921
43,33101,6382,13467,2281,13251,23922
44,33101,6392,13457,2281,13251,23912
45,33101,6386,13463,2281,13251,23917
46,33101,6402,13447,2281,13251,23902
47,33101,6400,13448,2281,13251,23903
48,33101,6396,13453,2281,13251,23907
49,33101,6398,13451,2281,13252,23905
50,33101,6400,13448,2282,13252,23903
51,33101,6396,13452,2282,13252,23907
52,33101,6406,13442,2282,13252,23897
53,33101,6404,13444,2282,13252,23899
54,33101,6411,13437,2282,13252,23892
55,33101,6399,13448,2282,13253,23903
56,33101,6393,13455,2282,13253,23909
57,33101,6409,13438,2282,13253,23893
58,33101,6408,13439,2282,13253,23894
59,33101,6411,13436,2283,13253,23891
60,33101,6411,13436,2283,13253,23891
61,33101,6409,13438,2283,13253,23893
62,33101,6417,13430,2283,13253,23885
63,33101,6421,13425,2283,13254,23880
64,33101,6417,13429,2283,13254,23884
65,33101,6420,13426,2283,13254,23881
66,33101,6420,13426,2283,13254,23881
67,33101,6429,13418,2283,13254,23873
68,33101,6436,13410,2283,13254,23865
69,33101,6439,13407,2283,13254,23862
70,33101,6444,13402,2283,13254,23857
71,33101,6426,13420,2283,13254,23875
72,33101,6428,13418,2284,13254,23873
73,33101,6427,13418,2284,13254,23873
74,33101,6421,13424,2284,13255,23880
75,33101,6421,13424,2284,13255,23879
76,33101,6440,13405,2284,13255,23860
77,33101,6437,13408,2284,13255,23863
78,33101,6444,13401,2284,13255,23856
79,33101,6436,13409,2284,13255,23864
80,33101,6442,13403,2285,13255,23858
81,33101,6437,13408,2285,13255,23863
82,33101,6440,13404,2285,13256,23859
83,33101,6441,13403,2285,13256,23859
84,33101,6441,13403,2285,13256,23858
85,33101,6444,13400,2285,13256,23855
86,33101,6425,13419,2285,13256,23874
87,33101,6425,13418,2285,13256,23874
88,33101,6423,13421,2285,13256,23876
89,33101,6438,13406,2286,13257,23861
90,33101,6443,13400,2286,13257,23855
91,33101,6438,13405,2286,13257,23861
92,33101,6438,13405,2286,13257,23860
93,33101,6441,13401,2286,13257,23857
94,33101,6439,13404,2286,13258,23860
95,33101,6439,13403,2286,13258,23859
96,33101,6431,13412,2286,13258,23867
97,33101,6429,13413,2287,13258,23869
98,33101,6431,13411,2287,13258,23867
99,33101,6432,13410,2287,13258,23866
100,33101,6429,13413,2287,13259,23869
101,33101,6433,13408,2287,13259,23864
102,33101,6431,13411,2287,13259,23867
103,33101,6436,13405,2287,13259,23861
104,33101,6422,13418,2288,13259,23875
105,33101,6429,13412,2288,13259,23868
106,33101,6427,13414,2288,13260,23870
107,33101,6430,13411,2288,13260,23867
108,33101,6430,13411,2288,13260,23867
109,33101,6430,13410,2288,13260,23867
110,33101,6430,13410,2289,13260,23866
111,33101,6434,13405,2289,13260,23861
112,33101,6428,13412,2289,13261,23868
113,33101,6438,13401,2289,13261,23858
114,33101,6433,13406,2289,13261,23862
115,33101,6443,13396,2289,13261,23852
116,33101,6443,13396,2289,13261,23852
