timestamp,total,used,free,shared,buff/cache,available
0,33101,11185,8505,1226,13410,20123
1,33101,11185,8505,1226,13410,20123
2,33101,11185,8505,1226,13410,20123
3,33101,11185,8505,1226,13410,20123
4,33101,11185,8505,1226,13411,20123
5,33101,11218,8472,1226,13411,20090
6,33101,11229,8460,1226,13411,20079
7,33101,11246,8443,1226,13411,20061
8,33101,11263,8426,1227,13411,20044
9,33101,11272,8417,1227,13411,20035
10,33101,11269,8420,1227,13412,20038
11,33101,11285,8403,1227,13412,20022
12,33101,11292,8396,1227,13412,20015
13,33101,11305,8383,1227,13412,20002
14,33101,11303,8385,1228,13412,20004
15,33101,11303,8384,1228,13412,20003
16,33101,11307,8380,1228,13413,19999
17,33101,11304,8383,1228,13413,20002
18,33101,11312,8375,1228,13413,19994
19,33101,11314,8373,1228,13413,19991
20,33101,11315,8372,1229,13413,19991
21,33101,11308,8379,1229,13414,19998
22,33101,11307,8380,1229,13414,19999
23,33101,11315,8371,1229,13414,19990
24,33101,11315,8371,1229,13414,19990
25,33101,11317,8369,1229,13414,19988
26,33101,11313,8372,1230,13415,19991
27,33101,11318,8367,1230,13415,19986
28,33101,11321,8364,1230,13415,19983
29,33101,11336,8349,1230,13415,19968
30,33101,11328,8357,1230,13415,19976
31,33101,11328,8357,1230,13415,19976
32,33101,11331,8354,1231,13416,19973
33,33101,11327,8357,1231,13416,19976
34,33101,11333,8350,1231,13417,19970
35,33101,11333,8351,1231,13417,19970
36,33101,11336,8347,1231,13417,19967
37,33101,11337,8346,1232,13417,19966
38,33101,11343,8340,1232,13417,19960
39,33101,11339,8344,1232,13418,19963
40,33101,11344,8338,1232,13418,19958
41,33101,11333,8349,1232,13418,19969
42,33101,11320,8362,1232,13418,19982
43,33101,11322,8360,1233,13418,19979
44,33101,11322,8360,1233,13418,19980
45,33101,11332,8349,1233,13419,19969
46,33101,11331,8350,1233,13419,19970
47,33101,11322,8359,1233,13419,19979
48,33101,11331,8350,1234,13420,19970
49,33101,11335,8345,1234,13420,19965
50,33101,11321,8359,1234,13420,19979
51,33101,11326,8354,1234,13420,19974
52,33101,11332,8347,1234,13420,19967
53,33101,11322,8358,1235,13421,19978
54,33101,11328,8351,1235,13421,19971
55,33101,11323,8356,1235,13421,19976
56,33101,11333,8346,1235,13421,19966
57,33101,11330,8348,1236,13422,19969
58,33101,11336,8342,1236,13422,19962
59,33101,11334,8344,1236,13422,19964
60,33101,11339,8339,1236,13422,19959
61,33101,11330,8348,1236,13422,19968
62,33101,11335,8342,1237,13423,19963
63,33101,11340,8337,1237,13423,19958
64,33101,11347,8330,1237,13423,19950
65,33101,11345,8332,1237,13424,19952
66,33101,11349,8327,1237,13424,19948
67,33101,11357,8320,1237,13424,19940
68,33101,11340,8337,1237,13424,19957
69,33101,11381,8295,1238,13424,19915
70,33101,11368,8308,1238,13424,19928
71,33101,11369,8307,1238,13424,19927
72,33101,11326,8351,1238,13424,19971
73,33101,11359,8317,1238,13424,19938
74,33101,11358,8317,1238,13425,19938
75,33101,11359,8317,1238,13425,19938
76,33101,11369,8306,1238,13425,19927
77,33101,11380,8295,1238,13425,19916
78,33101,11374,8301,1238,13425,19921
79,33101,11372,8303,1238,13425,19924
80,33101,11377,8298,1238,13425,19919
81,33101,11371,8304,1239,13425,19924
82,33101,11369,8306,1239,13425,19927
83,33101,11373,8301,1239,13425,19922
84,33101,11366,8309,1239,13426,19929
85,33101,11370,8304,1239,13426,19925
86,33101,11372,8302,1239,13426,19922
87,33101,11379,8295,1239,13426,19916
88,33101,11388,8286,1240,13426,19907
89,33101,11388,8286,1240,13426,19907
90,33101,11391,8283,1240,13426,19903
91,33101,11389,8285,1239,13426,19906
92,33101,11382,8291,1240,13426,19912
93,33101,11385,8289,1240,13427,19910
94,33101,11387,8286,1240,13427,19907
95,33101,11368,8305,1240,13427,19926
96,33101,11370,8302,1240,13428,19924
97,33101,11364,8309,1240,13428,19930
98,33101,11367,8305,1241,13428,19926
99,33101,11370,8301,1241,13428,19923
100,33101,11373,8298,1241,13428,19920
101,33101,11374,8297,1241,13429,19919
102,33101,11373,8298,1241,13429,19919
103,33101,11369,8302,1241,13429,19924
104,33101,11373,8298,1242,13429,19919
105,33101,11383,8287,1242,13429,19909
106,33101,11374,8297,1242,13429,19919
107,33101,11376,8295,1242,13430,19916
108,33101,11378,8292,1242,13430,19914
109,33101,11372,8298,1242,13430,19920
110,33101,11365,8304,1243,13430,19926
111,33101,11372,8297,1243,13431,19919
112,33101,11381,8288,1243,13431,19910
113,33101,11382,8287,1243,13431,19909
114,33101,11370,8299,1243,13431,19921
115,33101,11379,8290,1244,13432,19912
116,33101,11383,8285,1244,13432,19907
117,33101,11373,8296,1244,13432,19918
118,33101,11383,8285,1244,13432,19907
119,33101,11378,8290,1244,13432,19911
120,33101,11381,8286,1244,13432,19908
121,33101,11387,8281,1245,13433,19903
122,33101,11378,8290,1245,13433,19912
123,33101,11388,8279,1245,13433,19901
124,33101,11386,8281,1245,13433,19903
125,33101,11389,8278,1245,13433,19900
126,33101,11386,8281,1246,13434,19903
127,33101,11385,8282,1246,13434,19904
128,33101,11375,8291,1246,13434,19913
129,33101,11387,8279,1246,13434,19901
130,33101,11379,8286,1246,13434,19908
131,33101,11378,8288,1246,13435,19910
132,33101,11379,8286,1247,13435,19909
133,33101,11383,8282,1247,13435,19904
134,33101,11388,8276,1247,13435,19899
135,33101,11387,8278,1247,13435,19900
136,33101,11391,8274,1247,13436,19896
137,33101,11392,8272,1248,13436,19895
138,33101,11396,8268,1248,13436,19890
139,33101,11397,8267,1248,13436,19890
140,33101,11398,8266,1248,13436,19888
141,33101,11393,8270,1248,13437,19893
142,33101,11400,8263,1248,13437,19886
143,33101,11394,8270,1249,13437,19892
144,33101,11395,8267,1249,13437,19890
