session_number,batch_size,hl1_units,hl2_units,learning_rate,min_train_loss,best_train_row,min_validation_loss,best_validation_row
17,32,32,64,0.01,0.0013911174610257149,2,0.00120319495908916,1
46,512,64,16,0.001,0.0009451283840462565,2,0.0010146311251446605,2
18,32,64,16,0.0001,0.0009584135259501636,2,0.00097860477399081,2
3,32,16,32,0.0001,0.0011233171680942178,2,0.001227491069585085,1
22,32,64,32,0.001,0.0009019101271405816,2,0.001038014073856175,1
24,32,64,64,0.0001,0.0008812082814984024,2,0.0010180986719205976,1
19,64,64,16,0.001,0.000905502587556839,2,0.0009886788902804255,1
8,64,16,64,0.01,0.00129305652808398,1,0.0013028421672061086,2
25,64,64,64,0.001,0.0008654486737214029,2,0.0009168281103484333,2
39,512,32,32,0.0001,0.0011943738209083676,2,0.0013474856968969107,1
11,64,32,16,0.01,0.0012852436630055308,2,0.0014783961232751608,1
10,128,32,16,0.001,0.0009537020232528448,2,0.0010305896867066622,2
15,64,32,64,0.0001,0.0009694386390037835,2,0.0010236311936751008,2
4,32,16,32,0.001,0.00097761582583189,2,0.0010475324233993888,2
19,128,64,16,0.001,0.0009137911256402731,2,0.0009685063851065934,1
9,128,32,16,0.0001,0.001203445834107697,2,0.0011915997602045536,1
14,64,32,32,0.01,0.001260210294276476,2,0.001267263083718717,2
16,32,32,64,0.001,0.0009088907390832901,2,0.0010505031095817685,2
7,64,16,64,0.001,0.0009400454582646489,2,0.0009893312817439437,1
14,128,32,32,0.01,0.0011081290431320667,3,0.0011661025928333402,2
22,128,64,32,0.001,0.0008703513303771615,2,0.0009373679640702903,1
3,64,16,32,0.0001,0.0011052663903683424,2,0.0012136477744206786,2
24,64,64,64,0.0001,0.0009113990818150342,2,0.0010849733371287584,2
18,64,64,16,0.0001,0.0009796940721571445,2,0.0010155938798561692,2
25,128,64,64,0.001,0.000855480320751667,2,0.0009683119715191424,1
31,512,16,32,0.001,0.0010339104337617755,2,0.0010934495367109776,2
17,128,32,64,0.01,0.001127447932958603,2,0.001663761679083109,2
15,32,32,64,0.0001,0.0009344876743853092,2,0.0010508556151762605,1
47,512,64,16,0.01,0.0010466976091265678,2,0.0010684477165341377,2
43,512,32,64,0.001,0.0009459330467507243,2,0.0010793546680361032,1
