timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651061853,0.3,0.5,31568.1,-0.0,-0.0,61696.6,8388.7,9793.0,22.5,81.1,0.9,0.0,7.3
1651061854,0.2,0.1,31568.1,-0.0,-0.0,61696.6,8388.7,9793.2,2.8,2.3,0.0,0.0,0.0
1651061855,0.1,0.0,31568.1,-0.0,-0.0,61696.6,8388.7,9793.1,2.8,2.2,0.0,0.0,970.9
1651061856,0.0,0.1,31568.1,-0.0,-0.0,61696.6,8388.7,9793.3,2.8,2.6,0.0,0.0,0.0
1651061857,0.1,0.0,31568.1,-0.0,-0.0,61696.6,8388.7,9793.1,4.0,2.7,0.0,0.0,0.0
1651061858,48.8,5.2,31568.1,-0.0,-0.0,61696.6,8388.8,10742.9,15.0,32.1,1.0,4.0,0.0
1651061859,56.1,2.9,31568.1,-0.0,-0.0,61696.6,8388.9,10829.2,7.8,6.4,2.0,0.0,71.7
1651061860,60.7,3.8,31568.1,-0.0,-0.0,61696.6,8388.9,10887.5,3.2,2.9,0.0,0.0,0.0
1651061861,58.0,3.6,31568.1,-0.0,-0.0,61696.6,8388.9,11040.2,3.0,3.0,0.0,0.0,0.0
1651061862,62.0,4.1,31568.1,-0.0,-0.0,61696.6,8388.9,11108.0,3.1,4.5,0.0,0.0,0.0
1651061863,62.4,4.2,31568.1,-0.0,-0.0,61696.6,8388.9,11119.2,3.1,6.4,0.0,0.0,0.0
1651061864,62.3,3.8,31568.1,-0.0,-0.0,61696.6,8388.9,11177.7,3.2,4.6,0.0,0.0,0.0
1651061865,65.2,4.9,31568.1,-0.0,-0.0,61696.6,8388.9,11180.8,3.2,6.7,1.0,0.0,55.7
1651061866,63.2,4.2,31568.1,-0.0,-0.0,61696.6,8388.9,11208.7,3.2,3.8,0.0,0.0,0.0
1651061867,59.2,3.3,31568.1,-0.0,-0.0,61696.6,8388.9,11256.4,3.2,4.8,0.0,0.0,0.0
1651061868,64.6,4.5,31568.1,-0.0,-0.0,61696.6,8388.9,11276.3,3.3,2.6,0.0,0.0,0.0
1651061869,61.7,4.4,31568.1,-0.0,-0.0,61696.6,8388.9,11315.3,3.3,2.4,0.0,0.0,0.0
1651061870,66.3,5.0,31568.1,-0.0,-0.0,61696.6,8388.9,11345.9,3.3,2.3,2.0,0.0,15.9
1651061871,64.6,4.8,31568.1,-0.0,-0.0,61696.6,8388.9,11356.7,3.7,2.6,0.0,0.0,0.0
