timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651061853,0.3,0.3,31568.1,-0.0,-0.0,48623.3,11020.3,9363.2,22.8,80.1,0.0,0.0,3.6
1651061854,0.2,0.1,31568.1,-0.0,-0.0,48623.3,11020.3,9363.9,3.1,2.6,0.0,0.0,0.0
1651061855,0.1,0.0,31568.1,-0.0,-0.0,48623.3,11020.3,9363.9,3.1,2.6,0.0,0.0,0.0
1651061856,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11020.3,9363.9,3.1,3.0,0.0,0.0,0.0
1651061857,0.0,0.1,31568.1,-0.0,-0.0,48623.3,11020.4,9363.5,3.2,2.6,0.0,0.0,0.0
1651061858,51.2,5.5,31568.1,-0.0,-0.0,48623.3,11020.5,10309.3,43.9,33.1,4.0,4.0,1150.0
1651061859,56.8,3.0,31568.1,-0.0,-0.0,48623.3,11020.6,10391.5,8.1,6.8,0.0,0.0,0.0
1651061860,61.3,4.0,31568.1,-0.0,-0.0,48623.3,11020.6,10470.8,3.5,3.3,0.0,0.0,0.0
1651061861,57.6,3.3,31568.1,-0.0,-0.0,48623.3,11020.6,10570.8,3.3,3.6,0.0,0.0,0.0
1651061862,57.8,3.4,31568.1,-0.0,-0.0,48623.3,11020.6,10684.9,3.4,4.6,0.0,0.0,0.0
1651061863,59.5,3.7,31568.1,-0.0,-0.0,48623.3,11020.6,10699.9,119.6,8.2,0.0,0.0,0.0
1651061864,58.2,3.0,31568.1,-0.0,-0.0,48623.3,11020.6,10729.7,3.5,4.7,3.0,0.0,27.9
1651061865,57.1,3.1,31568.1,-0.0,-0.0,48623.3,11020.6,10749.7,3.5,7.2,0.0,0.0,0.0
1651061866,56.3,2.9,31568.1,-0.0,-0.0,48623.3,11020.6,10788.9,3.5,4.0,0.0,0.0,0.0
1651061867,57.6,3.1,31568.1,-0.0,-0.0,48623.3,11020.6,10787.9,3.5,5.2,0.0,0.0,0.0
1651061868,57.4,3.1,31568.1,-0.0,-0.0,48623.3,11020.6,10812.3,125.9,4.3,0.0,0.0,4.0
1651061869,58.2,3.4,31568.1,-0.0,-0.0,48623.3,11020.6,10882.3,3.6,2.8,2.0,0.0,16.0
1651061870,60.6,3.8,31568.1,-0.0,-0.0,48623.3,11020.6,10928.3,3.6,2.7,0.0,0.0,0.0
1651061871,65.7,5.2,31568.1,-0.0,-0.0,48623.3,11020.6,10958.4,3.7,2.6,0.0,0.0,0.0
1651061872,64.5,4.7,31568.1,-0.0,-0.0,48623.3,11020.6,10979.8,3.7,2.7,0.0,0.0,0.0
1651061873,64.1,4.5,31568.1,-0.0,-0.0,48623.3,11020.6,11008.1,3.7,3.2,0.0,0.0,0.0
1651061874,59.5,3.0,31568.1,-0.0,-0.0,48623.3,11020.6,11045.2,106.0,4.1,0.0,0.0,0.0
1651061875,59.3,3.2,31568.1,-0.0,-0.0,48623.3,11020.6,11051.5,3.8,2.6,0.0,0.0,0.0
1651061876,63.4,4.5,31568.1,-0.0,-0.0,48623.3,11020.6,11112.4,3.9,2.7,0.0,0.0,0.0
1651061877,59.3,3.0,31568.1,-0.0,-0.0,48623.3,11020.6,11061.0,3.9,2.6,0.0,0.0,0.0
1651061878,61.4,3.9,31568.1,-0.0,-0.0,48623.3,11020.6,11075.4,3.9,2.6,0.0,0.0,0.0
1651061879,57.2,2.7,31568.1,-0.0,-0.0,48623.3,11020.6,11139.4,113.1,4.0,0.0,0.0,0.0
1651061880,59.5,3.5,31568.1,-0.0,-0.0,48623.3,11020.6,11148.6,4.0,2.7,3.0,0.0,16.0
1651061881,58.7,3.4,31568.1,-0.0,-0.0,48623.3,11020.6,11150.6,4.0,3.2,0.0,0.0,0.0
1651061882,57.1,2.8,31568.1,-0.0,-0.0,48623.3,11020.6,11163.4,4.1,2.9,0.0,0.0,0.0
1651061883,58.7,3.3,31568.1,-0.0,-0.0,48623.3,11020.6,11134.2,5.4,4.4,0.0,0.0,87.7
1651061884,59.9,3.7,31568.1,-0.0,-0.0,48623.3,11020.6,11163.9,4.1,2.6,0.0,0.0,0.0
1651061885,58.0,2.9,31568.1,-0.0,-0.0,48623.3,11020.6,11137.1,4.3,3.1,0.0,0.0,0.0
1651061886,63.5,5.0,31568.1,-0.0,-0.0,48623.3,11020.6,11137.8,4.7,3.0,0.0,0.0,0.0
1651061887,55.5,2.4,31568.1,-0.0,-0.0,48623.3,11020.6,11132.3,4.3,2.8,0.0,0.0,0.0
1651061888,57.0,3.0,31568.1,-0.0,-0.0,48623.3,11020.6,11136.7,4.5,2.9,3.0,0.0,35.8
1651061889,56.6,2.6,31568.1,-0.0,-0.0,48623.3,11020.6,11151.3,5.2,3.5,0.0,0.0,0.0
1651061890,55.0,2.6,31568.1,-0.0,-0.0,48623.3,11020.6,11152.5,6.5,4.3,0.0,0.0,0.0
1651061891,56.2,2.1,31568.1,-0.0,-0.0,48623.3,11020.6,11148.6,4.5,2.7,0.0,0.0,0.0
1651061892,55.6,2.8,31568.1,-0.0,-0.0,48623.3,11020.6,11118.9,4.5,2.8,0.0,0.0,0.0
1651061893,56.2,3.0,31568.1,-0.0,-0.0,48623.3,11020.6,11121.0,4.5,3.5,0.0,0.0,0.0
1651061894,55.7,2.8,31568.1,-0.0,-0.0,48623.3,11020.6,11133.6,4.6,3.0,0.0,0.0,0.0
1651061895,55.5,2.7,31568.1,-0.0,-0.0,48623.3,11020.6,11133.3,4.6,2.8,0.0,0.0,0.0
1651061896,56.6,2.6,31568.1,-0.0,-0.0,48623.3,11020.6,11130.6,4.6,2.9,0.0,0.0,0.0
1651061897,55.7,2.6,31568.1,-0.0,-0.0,48623.3,11020.6,11132.8,4.7,2.7,0.0,0.0,0.0
1651061898,55.8,2.9,31568.1,-0.0,-0.0,48623.3,11020.6,11136.6,4.7,2.8,0.0,0.0,0.0
1651061899,55.8,2.4,31568.1,-0.0,-0.0,48623.3,11020.6,11143.2,4.7,2.7,1.0,0.0,1067.1
1651061900,58.1,3.4,31568.1,-0.0,-0.0,48623.3,11020.6,11144.0,4.8,2.7,1.0,0.0,23.9
1651061901,54.9,2.3,31568.1,-0.0,-0.0,48623.3,11020.6,11145.8,4.8,2.8,0.0,0.0,0.0
1651061902,55.7,2.5,31568.1,-0.0,-0.0,48623.3,11020.6,11128.7,4.9,2.8,0.0,0.0,0.0
1651061903,56.9,2.7,31568.1,-0.0,-0.0,48623.3,11020.6,11126.0,4.9,3.2,0.0,0.0,0.0
1651061904,56.3,2.4,31568.1,-0.0,-0.0,48623.3,11020.6,11130.1,4.9,2.7,0.0,0.0,0.0
1651061905,57.0,3.0,31568.1,-0.0,-0.0,48623.3,11020.6,11133.1,5.0,2.6,0.0,0.0,0.0
1651061906,55.6,2.7,31568.1,-0.0,-0.0,48623.3,11020.6,11135.6,5.0,2.7,0.0,0.0,0.0
1651061907,55.4,2.1,31568.1,-0.0,-0.0,48623.3,11020.6,11166.6,5.0,2.8,0.0,0.0,0.0
1651061908,59.8,3.6,31568.1,-0.0,-0.0,48623.3,11020.6,11152.2,5.1,2.6,0.0,0.0,0.0
1651061909,60.2,3.4,31568.1,-0.0,-0.0,48623.3,11020.7,11198.8,659.5,9.5,3.0,0.0,19.9
1651061910,59.8,3.6,31568.1,-0.0,-0.0,48623.3,11020.7,11168.4,5.2,2.7,0.0,0.0,0.0
1651061911,59.9,3.7,31568.1,-0.0,-0.0,48623.3,11020.7,11200.0,5.2,2.8,0.0,0.0,0.0
1651061912,59.0,3.2,31568.1,-0.0,-0.0,48623.3,11020.7,11199.6,5.2,2.7,0.0,0.0,0.0
1651061913,59.3,3.2,31568.1,-0.0,-0.0,48623.3,11020.7,11221.7,5.9,3.3,0.0,0.0,0.0
1651061914,61.3,4.3,31568.1,-0.0,-0.0,48623.3,11020.7,11215.0,5.3,2.6,0.0,0.0,51.8
1651061915,57.9,3.1,31568.1,-0.0,-0.0,48623.3,11020.7,11264.2,5.3,2.6,0.0,0.0,0.0
1651061916,58.9,3.6,31568.1,-0.0,-0.0,48623.3,11020.7,11223.3,5.4,2.8,0.0,0.0,0.0
1651061917,14.2,2.5,31568.1,-0.0,-0.0,48623.3,11021.6,9417.3,167.2,4.6,0.0,0.0,0.0
1651061918,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.6,9416.3,5.4,2.6,0.0,0.0,0.0
1651061919,0.0,0.0,31568.1,-0.0,-0.0,48623.3,11021.6,9416.3,5.5,2.6,2.0,0.0,47.7
1651061920,0.1,0.0,31568.1,-0.0,-0.0,48623.3,11021.6,9416.3,5.5,2.6,0.0,0.0,0.0
1651061921,0.0,0.1,31568.1,-0.0,-0.0,48623.3,11021.6,9416.3,5.5,2.7,0.0,0.0,0.0
1651061922,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.6,9416.3,5.6,2.6,0.0,0.0,0.0
1651061923,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.6,9416.2,5.6,2.8,0.0,0.0,0.0
1651061924,0.2,0.1,31568.1,-0.0,-0.0,48623.3,11021.6,9416.4,5.6,2.6,0.0,0.0,0.0
1651061925,0.0,0.0,31568.1,-0.0,-0.0,48623.3,11021.6,9416.5,5.6,2.7,0.0,0.0,0.0
1651061926,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.6,9416.5,5.8,2.8,0.0,0.0,0.0
1651061927,0.1,0.0,31568.1,-0.0,-0.0,48623.3,11021.6,9416.4,5.8,2.8,0.0,0.0,0.0
1651061928,0.0,0.1,31568.1,-0.0,-0.0,48623.3,11021.6,9416.5,5.8,2.7,0.0,0.0,0.0
1651061929,0.1,0.0,31568.1,-0.0,-0.0,48623.3,11021.6,9416.5,5.9,2.7,2.0,0.0,15.9
1651061930,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.6,9416.5,5.9,2.8,0.0,0.0,0.0
1651061931,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,5.9,2.6,0.0,0.0,0.0
1651061932,0.0,0.0,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,6.0,2.9,0.0,0.0,0.0
1651061933,0.3,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.4,6.0,3.3,0.0,0.0,0.0
1651061934,0.0,0.0,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,6.1,2.8,0.0,0.0,735.7
1651061935,0.0,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.6,6.1,2.8,0.0,0.0,0.0
1651061936,0.0,0.0,31568.1,-0.0,-0.0,48623.3,11021.7,9416.6,6.1,3.0,0.0,0.0,0.0
1651061937,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.7,6.2,2.7,0.0,0.0,0.0
1651061938,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.7,6.2,2.9,0.0,0.0,0.0
1651061939,0.0,0.0,31568.1,-0.0,-0.0,48623.3,11021.7,9416.8,6.3,2.6,3.0,0.0,23.9
1651061940,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.8,10.5,3.3,0.0,0.0,0.0
1651061941,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.7,6.3,2.8,0.0,0.0,0.0
1651061942,0.1,0.0,31568.1,-0.0,-0.0,48623.3,11021.7,9416.8,6.4,2.8,0.0,0.0,0.0
1651061943,0.4,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.3,6.6,3.0,0.0,0.0,0.0
1651061944,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.3,6.4,2.7,0.0,0.0,4.0
1651061945,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.6,6.9,3.2,0.0,0.0,0.0
1651061946,0.0,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,6.5,2.8,0.0,0.0,0.0
1651061947,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.3,6.5,2.8,0.0,0.0,0.0
1651061948,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.3,6.7,3.0,0.0,0.0,0.0
1651061949,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.3,6.7,2.7,3.0,0.0,67.6
1651061950,0.0,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.2,6.6,2.7,0.0,0.0,0.0
1651061951,0.0,0.0,31568.1,-0.0,-0.0,48623.3,11021.7,9416.4,6.7,2.6,0.0,0.0,0.0
1651061952,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,6.7,2.7,0.0,0.0,0.0
1651061953,0.2,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.2,6.8,2.7,0.0,0.0,0.0
1651061954,0.1,0.0,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,6.8,2.8,0.0,0.0,0.0
1651061955,0.0,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,6.8,4.4,3.0,0.0,15.9
1651061956,0.1,0.0,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,6.9,2.9,0.0,0.0,0.0
1651061957,0.1,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,6.9,2.8,0.0,0.0,0.0
1651061958,0.0,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,6.9,2.8,0.0,0.0,0.0
1651061959,0.0,0.1,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,7.0,2.8,0.0,0.0,0.0
1651061960,0.1,0.0,31568.1,-0.0,-0.0,48623.3,11021.7,9416.5,7.0,3.3,0.0,0.0,0.0
