timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651061853,0.5,0.5,31568.1,-0.0,-0.0,60334.6,7378.9,10236.0,23.8,80.6,0.0,0.0,3.6
1651061854,0.0,0.0,31568.1,-0.0,-0.0,60334.6,7378.9,10236.1,3.7,3.1,0.0,0.0,0.0
1651061855,0.1,0.0,31568.1,-0.0,-0.0,60334.6,7378.9,10236.2,3.7,3.0,0.0,0.0,0.0
1651061856,0.1,0.1,31568.1,-0.0,-0.0,60334.6,7378.9,10236.2,3.8,3.5,0.0,0.0,1055.8
1651061857,0.0,0.0,31568.1,-0.0,-0.0,60334.6,7378.9,10236.2,3.8,3.1,0.0,0.0,0.0
1651061858,52.6,5.2,31568.1,-0.0,-0.0,60334.6,7379.0,11159.2,16.7,33.3,1.0,4.0,0.0
1651061859,54.4,2.3,31568.1,-0.0,-0.0,60334.6,7379.1,11284.6,8.7,7.5,3.0,0.0,79.6
1651061860,60.2,4.3,31568.1,-0.0,-0.0,60334.6,7379.1,11348.9,3.9,3.6,0.0,0.0,0.0
1651061861,58.7,3.4,31568.1,-0.0,-0.0,60334.6,7379.1,11443.7,4.0,4.2,1.0,0.0,83.5
1651061862,56.6,2.8,31568.1,-0.0,-0.0,60334.6,7379.1,11517.9,123.7,6.5,0.0,0.0,0.0
1651061863,58.3,3.0,31568.1,-0.0,-0.0,60334.6,7379.1,11524.3,4.0,7.6,0.0,0.0,0.0
1651061864,59.7,3.4,31568.1,-0.0,-0.0,60334.6,7379.1,11539.6,4.2,5.1,0.0,0.0,0.0
1651061865,58.2,2.8,31568.1,-0.0,-0.0,60334.6,7379.1,11575.2,4.1,7.7,0.0,0.0,0.0
1651061866,57.5,3.0,31568.1,-0.0,-0.0,60334.6,7379.1,11622.9,4.6,4.8,0.0,0.0,0.0
1651061867,60.1,3.6,31568.1,-0.0,-0.0,60334.6,7379.1,11636.1,4.2,5.7,2.0,0.0,15.9
1651061868,57.1,3.1,31568.1,-0.0,-0.0,60334.6,7379.1,11671.8,4.2,3.4,0.0,0.0,0.0
1651061869,57.0,2.9,31568.1,-0.0,-0.0,60334.6,7379.1,11713.2,4.2,3.3,0.0,0.0,0.0
1651061870,59.6,3.4,31568.1,-0.0,-0.0,60334.6,7379.1,11707.7,4.3,3.1,0.0,0.0,0.0
1651061871,58.2,3.3,31568.1,-0.0,-0.0,60334.6,7379.1,11742.2,4.3,3.1,0.0,0.0,0.0
1651061872,57.7,2.8,31568.1,-0.0,-0.0,60334.6,7379.1,11758.0,4.4,3.2,0.0,0.0,0.0
1651061873,60.9,3.7,31568.1,-0.0,-0.0,60334.6,7379.1,11785.3,4.4,3.7,0.0,0.0,0.0
1651061874,56.3,2.9,31568.1,-0.0,-0.0,60334.6,7379.1,11819.0,4.4,3.3,0.0,0.0,0.0
1651061875,56.9,2.8,31568.1,-0.0,-0.0,60334.6,7379.1,11857.0,4.5,3.2,0.0,0.0,0.0
1651061876,58.0,2.9,31568.1,-0.0,-0.0,60334.6,7379.1,11846.1,4.5,3.1,0.0,0.0,4.0
1651061877,58.3,3.1,31568.1,-0.0,-0.0,60334.6,7379.1,11855.0,4.5,3.2,0.0,0.0,0.0
1651061878,57.0,3.1,31568.1,-0.0,-0.0,60334.6,7379.1,11875.2,4.6,3.0,0.0,0.0,0.0
1651061879,59.5,4.0,31568.1,-0.0,-0.0,60334.6,7379.2,11895.6,4.6,3.2,2.0,0.0,15.9
1651061880,57.3,2.7,31568.1,-0.0,-0.0,60334.6,7379.2,11899.4,4.6,3.2,0.0,0.0,0.0
1651061881,57.5,3.2,31568.1,-0.0,-0.0,60334.6,7379.2,11844.1,4.7,3.7,0.0,0.0,4.0
1651061882,58.6,3.5,31568.1,-0.0,-0.0,60334.6,7379.2,11849.4,4.7,3.4,0.0,0.0,0.0
1651061883,59.9,3.5,31568.1,-0.0,-0.0,60334.6,7379.2,11868.5,6.1,4.9,0.0,0.0,0.0
1651061884,56.4,2.8,31568.1,-0.0,-0.0,60334.6,7379.2,11889.0,4.8,3.1,0.0,0.0,0.0
1651061885,57.6,2.8,31568.1,-0.0,-0.0,60334.6,7379.2,11892.8,4.8,3.4,0.0,0.0,0.0
1651061886,60.1,3.6,31568.1,-0.0,-0.0,60334.6,7379.2,11922.7,4.9,3.1,0.0,0.0,0.0
1651061887,56.9,2.5,31568.1,-0.0,-0.0,60334.6,7379.2,11903.8,5.0,3.4,5.0,0.0,47.7
1651061888,60.1,3.5,31568.1,-0.0,-0.0,60334.6,7379.2,11903.9,5.0,3.2,0.0,0.0,0.0
1651061889,58.8,3.2,31568.1,-0.0,-0.0,60334.6,7379.2,11914.9,5.1,3.3,0.0,0.0,0.0
1651061890,59.8,3.5,31568.1,-0.0,-0.0,60334.6,7379.2,11941.3,5.1,3.1,0.0,0.0,0.0
1651061891,60.9,3.6,31568.1,-0.0,-0.0,60334.6,7379.2,11957.5,7.3,5.0,0.0,0.0,0.0
1651061892,62.5,4.3,31568.1,-0.0,-0.0,60334.6,7379.2,11988.5,5.8,3.8,0.0,0.0,0.0
1651061893,60.1,3.3,31568.1,-0.0,-0.0,60334.6,7379.2,12010.1,670.4,9.9,2.0,0.0,4.0
1651061894,65.4,4.7,31568.1,-0.0,-0.0,60334.6,7379.2,12014.6,5.2,3.5,0.0,0.0,0.0
1651061895,63.1,4.3,31568.1,-0.0,-0.0,60334.6,7379.2,11976.1,5.2,3.2,0.0,0.0,0.0
1651061896,59.5,3.6,31568.1,-0.0,-0.0,60334.6,7379.2,11989.4,5.3,3.4,0.0,0.0,0.0
1651061897,60.3,3.5,31568.1,-0.0,-0.0,60334.6,7379.2,11998.0,5.3,3.2,1.0,0.0,1051.6
1651061898,59.7,3.6,31568.1,-0.0,-0.0,60334.6,7379.2,12005.7,5.3,3.2,0.0,0.0,0.0
1651061899,58.2,3.3,31568.1,-0.0,-0.0,60334.6,7379.2,12032.0,5.4,3.2,2.0,0.0,23.9
1651061900,65.7,4.8,31568.1,-0.0,-0.0,60334.6,7379.2,12029.9,5.4,3.2,0.0,0.0,0.0
1651061901,60.7,3.8,31568.1,-0.0,-0.0,60334.6,7379.2,12024.3,5.5,3.2,0.0,0.0,0.0
1651061902,62.3,4.2,31568.1,-0.0,-0.0,60334.6,7379.2,12031.6,5.5,3.2,0.0,0.0,0.0
1651061903,59.8,3.3,31568.1,-0.0,-0.0,60334.6,7379.2,12020.7,5.5,3.7,0.0,0.0,0.0
1651061904,61.0,4.0,31568.1,-0.0,-0.0,60334.6,7379.2,12002.6,5.5,3.2,0.0,0.0,0.0
1651061905,57.5,2.9,31568.1,-0.0,-0.0,60334.6,7379.2,12013.5,5.6,3.1,0.0,0.0,0.0
1651061906,62.6,4.2,31568.1,-0.0,-0.0,60334.6,7379.2,12040.3,5.6,3.2,0.0,0.0,0.0
1651061907,59.6,3.4,31568.1,-0.0,-0.0,60334.6,7379.2,12036.5,5.7,3.2,0.0,0.0,0.0
1651061908,61.9,4.0,31568.1,-0.0,-0.0,60334.6,7379.2,12039.9,5.7,3.1,0.0,0.0,0.0
1651061909,59.1,3.2,31568.1,-0.0,-0.0,60334.6,7379.2,12072.1,5.8,3.6,0.0,0.0,11.9
1651061910,63.1,4.4,31568.1,-0.0,-0.0,60334.6,7379.2,12056.2,5.8,3.1,3.0,0.0,4.0
1651061911,60.0,3.3,31568.1,-0.0,-0.0,60334.6,7379.2,12076.3,5.8,3.2,0.0,0.0,0.0
1651061912,59.1,3.3,31568.1,-0.0,-0.0,60334.6,7379.2,12084.4,6.1,3.4,0.0,0.0,0.0
1651061913,59.1,2.9,31568.1,-0.0,-0.0,60334.6,7379.2,12090.2,6.3,3.6,0.0,0.0,0.0
1651061914,60.1,3.5,31568.1,-0.0,-0.0,60334.6,7379.2,12085.4,5.9,3.1,0.0,0.0,0.0
1651061915,58.8,3.5,31568.1,-0.0,-0.0,60334.6,7379.2,12077.3,6.0,3.2,0.0,0.0,0.0
1651061916,59.2,3.2,31568.1,-0.0,-0.0,60334.6,7379.2,12091.4,6.0,3.2,0.0,0.0,0.0
1651061917,58.6,2.9,31568.1,-0.0,-0.0,60334.6,7379.2,12063.6,6.0,3.0,0.0,0.0,39.7
1651061918,62.9,4.5,31568.1,-0.0,-0.0,60334.6,7379.2,12082.9,6.3,3.2,0.0,0.0,0.0
1651061919,56.1,2.1,31568.1,-0.0,-0.0,60334.6,7379.2,12085.6,6.1,3.1,3.0,0.0,27.9
1651061920,61.3,3.7,31568.1,-0.0,-0.0,60334.6,7379.2,12087.6,6.1,3.0,0.0,0.0,0.0
1651061921,59.0,3.6,31568.1,-0.0,-0.0,60334.6,7379.2,12067.8,6.2,3.2,0.0,0.0,0.0
