timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651061853,4.4,4.2,31568.1,-0.0,-0.0,63786.9,8585.0,13011.8,81.4,659.8,0.0,0.0,3.6
1651061854,3.4,3.2,31568.1,-0.0,-0.0,63786.9,8585.1,13011.6,4.1,3.5,0.0,0.0,0.0
1651061855,3.4,3.0,31568.1,-0.0,-0.0,63786.9,8585.1,13011.7,4.1,3.4,2.0,0.0,63.6
1651061856,3.3,3.1,31568.1,-0.0,-0.0,63786.9,8585.1,13011.6,4.1,3.8,0.0,0.0,0.0
1651061857,3.4,3.0,31568.1,-0.0,-0.0,63786.9,8585.1,13011.8,4.2,3.5,0.0,0.0,0.0
1651061858,52.1,7.4,31568.1,-0.0,-0.0,63786.9,8585.2,13948.5,19.8,37.1,1.0,4.0,0.0
1651061859,60.4,6.2,31568.1,-0.0,-0.0,63786.9,8585.2,14051.4,8.0,6.5,0.0,0.0,0.0
1651061860,65.2,7.0,31568.1,-0.0,-0.0,63786.9,8585.3,14125.1,4.8,4.3,0.0,0.0,0.0
1651061861,60.2,5.5,31568.1,-0.0,-0.0,63786.9,8585.3,14223.0,4.8,4.7,0.0,0.0,0.0
1651061862,62.3,6.1,31568.1,-0.0,-0.0,63786.9,8585.3,14269.3,4.3,5.6,0.0,0.0,0.0
1651061863,64.8,7.2,31568.1,-0.0,-0.0,63786.9,8585.3,14318.5,144.0,9.2,3.0,0.0,19.9
1651061864,61.9,6.4,31568.1,-0.0,-0.0,63786.9,8585.3,14356.8,4.5,5.7,0.0,0.0,0.0
1651061865,65.6,7.2,31568.1,-0.0,-0.0,63786.9,8585.3,14355.3,4.4,8.1,0.0,0.0,0.0
1651061866,62.2,6.3,31568.1,-0.0,-0.0,63786.9,8585.3,14392.0,4.5,4.8,0.0,0.0,0.0
1651061867,62.1,6.0,31568.1,-0.0,-0.0,63786.9,8585.3,14414.5,4.5,6.0,0.0,0.0,0.0
1651061868,63.3,6.7,31568.1,-0.0,-0.0,63786.9,8585.3,14508.1,7.4,7.5,0.0,0.0,0.0
1651061869,67.9,7.3,31568.1,-0.0,-0.0,63786.9,8585.3,14572.3,4.6,3.6,0.0,0.0,0.0
1651061870,70.3,8.7,31568.1,-0.0,-0.0,63786.9,8585.3,14588.8,4.6,3.5,0.0,0.0,27.8
1651061871,67.4,7.1,31568.1,-0.0,-0.0,63786.9,8585.3,14587.6,4.7,3.5,0.0,0.0,0.0
1651061872,67.0,7.4,31568.1,-0.0,-0.0,63786.9,8585.3,14658.2,4.7,3.5,0.0,0.0,0.0
1651061873,69.6,8.2,31568.1,-0.0,-0.0,63786.9,8585.3,14696.8,4.7,4.1,0.0,0.0,0.0
1651061874,67.4,7.6,31568.1,-0.0,-0.0,63786.9,8585.3,14720.2,207.8,5.7,2.0,0.0,31.8
1651061875,62.5,6.2,31568.1,-0.0,-0.0,63786.9,8585.3,14718.2,4.8,3.5,0.0,0.0,0.0
1651061876,68.1,7.5,31568.1,-0.0,-0.0,63786.9,8585.3,14759.1,4.8,3.5,0.0,0.0,0.0
1651061877,68.1,7.9,31568.1,-0.0,-0.0,63786.9,8585.3,14788.6,4.9,3.5,0.0,0.0,0.0
1651061878,69.1,8.2,31568.1,-0.0,-0.0,63786.9,8585.3,14796.1,7.8,7.1,0.0,0.0,0.0
1651061879,68.9,7.8,31568.1,-0.0,-0.0,63786.9,8585.3,14771.8,4.9,3.6,0.0,0.0,0.0
1651061880,66.9,7.4,31568.1,-0.0,-0.0,63786.9,8585.3,14780.8,5.2,3.7,1.0,0.0,75.6
1651061881,62.7,6.1,31568.1,-0.0,-0.0,63786.9,8585.3,14793.4,5.0,4.0,0.0,0.0,0.0
1651061882,65.9,6.7,31568.1,-0.0,-0.0,63786.9,8585.3,14813.7,5.1,3.7,0.0,0.0,0.0
1651061883,70.2,8.3,31568.1,-0.0,-0.0,63786.9,8585.3,14849.4,6.3,5.3,3.0,0.0,15.9
