timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651061853,0.3,0.5,31568.1,-0.0,-0.0,59064.9,7568.8,8906.2,23.3,80.3,0.0,0.0,3.6
1651061854,0.2,0.1,31568.1,-0.0,-0.0,59064.9,7568.8,8906.0,3.7,2.9,0.0,0.0,0.0
1651061855,0.0,0.1,31568.1,-0.0,-0.0,59064.9,7568.9,8906.1,3.8,2.9,0.0,0.0,0.0
1651061856,0.1,0.1,31568.1,-0.0,-0.0,59064.9,7568.9,8906.1,3.8,3.3,0.0,0.0,0.0
1651061857,0.0,0.0,31568.1,-0.0,-0.0,59064.9,7568.9,8906.1,3.8,2.9,4.0,0.0,95.3
1651061858,51.8,5.3,31568.1,-0.0,-0.0,59064.9,7568.9,9849.5,16.2,33.0,2.0,4.0,0.0
1651061859,54.9,2.6,31568.1,-0.0,-0.0,59064.9,7569.0,9982.9,8.8,7.4,0.0,0.0,0.0
1651061860,63.6,4.6,31568.1,-0.0,-0.0,59064.9,7569.0,10018.4,4.0,3.4,0.0,0.0,0.0
1651061861,57.9,3.3,31568.1,-0.0,-0.0,59064.9,7569.0,10127.9,4.0,4.0,0.0,0.0,0.0
1651061862,59.3,3.4,31568.1,-0.0,-0.0,59064.9,7569.0,10172.9,4.0,4.9,11.0,0.0,91.7
1651061863,59.3,3.8,31568.1,-0.0,-0.0,59064.9,7569.0,10263.7,4.1,7.4,0.0,0.0,0.0
1651061864,60.5,3.8,31568.1,-0.0,-0.0,59064.9,7569.1,10286.2,4.2,5.0,0.0,0.0,0.0
1651061865,60.1,3.4,31568.1,-0.0,-0.0,59064.9,7569.1,10274.1,178.2,9.2,0.0,0.0,0.0
1651061866,60.1,3.8,31568.1,-0.0,-0.0,59064.9,7569.1,10317.7,4.2,4.3,0.0,0.0,0.0
1651061867,60.6,3.6,31568.1,-0.0,-0.0,59064.9,7569.1,10334.4,4.2,5.5,0.0,0.0,0.0
1651061868,60.1,3.9,31568.1,-0.0,-0.0,59064.9,7569.1,10381.0,4.3,3.3,0.0,0.0,0.0
1651061869,56.9,3.1,31568.1,-0.0,-0.0,59064.9,7569.1,10387.4,4.3,3.1,4.0,0.0,11.9
1651061870,58.1,3.1,31568.1,-0.0,-0.0,59064.9,7569.1,10401.1,4.3,3.0,0.0,0.0,0.0
1651061871,59.2,2.9,31568.1,-0.0,-0.0,59064.9,7569.1,10419.2,4.3,3.0,0.0,0.0,0.0
1651061872,56.5,2.8,31568.1,-0.0,-0.0,59064.9,7569.1,10442.1,4.4,3.1,0.0,0.0,0.0
1651061873,55.8,3.1,31568.1,-0.0,-0.0,59064.9,7569.1,10459.0,4.4,3.5,0.0,0.0,0.0
1651061874,57.5,2.8,31568.1,-0.0,-0.0,59064.9,7569.1,10449.7,4.5,3.1,0.0,0.0,0.0
1651061875,57.4,3.0,31568.1,-0.0,-0.0,59064.9,7569.1,10454.3,4.5,3.0,0.0,0.0,0.0
1651061876,58.2,2.8,31568.1,-0.0,-0.0,59064.9,7569.1,10493.8,4.5,3.0,0.0,0.0,0.0
1651061877,56.3,2.6,31568.1,-0.0,-0.0,59064.9,7569.1,10525.6,4.6,3.0,0.0,0.0,0.0
1651061878,57.2,3.0,31568.1,-0.0,-0.0,59064.9,7569.1,10503.5,5.1,3.3,0.0,0.0,737.2
1651061879,57.7,3.1,31568.1,-0.0,-0.0,59064.9,7569.1,10505.6,4.6,3.1,0.0,0.0,0.0
