timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651061853,0.3,0.5,31568.1,-0.0,-0.0,61433.9,7221.2,7643.4,22.5,80.5,0.9,0.0,3.6
1651061854,0.0,0.1,31568.1,-0.0,-0.0,61433.9,7221.2,7643.6,3.0,2.4,0.0,0.0,0.0
1651061855,0.0,0.0,31568.1,-0.0,-0.0,61433.9,7221.2,7643.7,3.0,2.4,0.0,0.0,0.0
1651061856,0.1,0.1,31568.1,-0.0,-0.0,61433.9,7221.2,7643.4,3.0,2.8,0.0,0.0,23.9
1651061857,0.0,0.0,31568.1,-0.0,-0.0,61433.9,7221.2,7643.3,3.1,2.4,0.0,0.0,0.0
1651061858,50.5,5.4,31568.1,-0.0,-0.0,61433.9,7221.3,8627.2,14.1,31.4,3.0,4.0,83.7
1651061859,65.6,5.0,31568.1,-0.0,-0.0,61433.9,7221.3,8674.8,5.7,4.4,0.0,0.0,0.0
1651061860,63.4,4.5,31568.1,-0.0,-0.0,61433.9,7221.4,8792.8,4.8,4.2,0.0,0.0,0.0
1651061861,66.8,5.3,31568.1,-0.0,-0.0,61433.9,7221.4,8862.0,3.2,3.3,0.0,0.0,0.0
1651061862,68.4,5.7,31568.1,-0.0,-0.0,61433.9,7221.4,8882.9,3.5,4.7,0.0,0.0,0.0
1651061863,68.6,5.3,31568.1,-0.0,-0.0,61433.9,7221.4,8921.9,3.8,7.1,0.0,0.0,0.0
1651061864,63.1,4.3,31568.1,-0.0,-0.0,61433.9,7221.4,8959.5,3.9,5.0,0.0,0.0,0.0
1651061865,60.3,3.6,31568.1,-0.0,-0.0,61433.9,7221.4,9038.9,3.8,7.3,0.0,0.0,0.0
1651061866,62.7,4.4,31568.1,-0.0,-0.0,61433.9,7221.4,9083.5,3.9,4.2,1.0,0.0,685.8
1651061867,65.0,4.9,31568.1,-0.0,-0.0,61433.9,7221.4,9105.5,3.4,5.0,0.0,0.0,0.0
1651061868,63.2,4.1,31568.1,-0.0,-0.0,61433.9,7221.4,9114.8,214.2,4.6,2.0,0.0,23.9
1651061869,61.0,3.9,31568.1,-0.0,-0.0,61433.9,7221.4,9113.8,5.3,4.2,0.0,0.0,0.0
1651061870,60.3,3.4,31568.1,-0.0,-0.0,61433.9,7221.4,9143.9,4.4,3.3,0.0,0.0,4.0
1651061871,62.0,4.5,31568.1,-0.0,-0.0,61433.9,7221.4,9153.0,3.6,2.4,0.0,0.0,0.0
1651061872,59.7,3.3,31568.1,-0.0,-0.0,61433.9,7221.4,9170.5,3.6,2.5,0.0,0.0,0.0
1651061873,60.0,3.5,31568.1,-0.0,-0.0,61433.9,7221.4,9172.9,3.8,3.2,0.0,0.0,0.0
1651061874,63.4,4.3,31568.1,-0.0,-0.0,61433.9,7221.4,9222.4,3.7,2.6,0.0,0.0,0.0
1651061875,59.4,3.3,31568.1,-0.0,-0.0,61433.9,7221.4,9236.6,3.7,2.4,3.0,0.0,71.7
1651061876,61.1,4.0,31568.1,-0.0,-0.0,61433.9,7221.4,9254.6,3.7,2.5,0.0,0.0,0.0
1651061877,60.0,3.5,31568.1,-0.0,-0.0,61433.9,7221.4,9288.3,3.8,2.4,0.0,0.0,0.0
1651061878,62.7,4.3,31568.1,-0.0,-0.0,61433.9,7221.4,9306.4,3.8,2.4,0.0,0.0,0.0
1651061879,56.9,2.7,31568.1,-0.0,-0.0,61433.9,7221.4,9320.4,3.8,2.6,0.0,0.0,0.0
1651061880,62.0,4.2,31568.1,-0.0,-0.0,61433.9,7221.4,9315.0,3.9,2.5,0.0,0.0,0.0
1651061881,58.5,3.1,31568.1,-0.0,-0.0,61433.9,7221.4,9349.4,3.9,3.0,0.0,0.0,0.0
1651061882,58.4,3.4,31568.1,-0.0,-0.0,61433.9,7221.4,9356.7,4.0,2.7,0.0,0.0,0.0
1651061883,61.8,3.9,31568.1,-0.0,-0.0,61433.9,7221.4,9354.9,5.3,4.3,0.0,0.0,0.0
1651061884,60.6,3.4,31568.1,-0.0,-0.0,61433.9,7221.4,9398.3,4.0,2.4,0.0,0.0,0.0
1651061885,64.0,4.7,31568.1,-0.0,-0.0,61433.9,7221.4,9394.8,4.1,2.8,0.0,0.0,0.0
1651061886,60.8,3.9,31568.1,-0.0,-0.0,61433.9,7221.4,9404.7,4.1,2.4,0.0,0.0,23.9
1651061887,63.3,4.4,31568.1,-0.0,-0.0,61433.9,7221.4,9390.0,4.2,2.6,0.0,0.0,0.0
1651061888,59.1,3.0,31568.1,-0.0,-0.0,61433.9,7221.4,9418.8,4.2,2.6,1.0,0.0,31.9
1651061889,59.8,3.3,31568.1,-0.0,-0.0,61433.9,7221.4,9434.9,4.4,2.7,0.0,0.0,0.0
1651061890,60.5,3.7,31568.1,-0.0,-0.0,61433.9,7221.4,9450.1,4.3,2.5,0.0,0.0,0.0
1651061891,59.4,3.1,31568.1,-0.0,-0.0,61433.9,7221.5,9421.3,4.4,2.5,0.0,0.0,91.8
1651061892,61.0,3.6,31568.1,-0.0,-0.0,61433.9,7221.5,9416.7,4.4,2.6,0.0,0.0,0.0
1651061893,58.7,3.0,31568.1,-0.0,-0.0,61433.9,7221.5,9462.8,4.4,3.3,0.0,0.0,0.0
1651061894,60.9,4.1,31568.1,-0.0,-0.0,61433.9,7221.5,9438.8,4.5,2.8,0.0,0.0,0.0
1651061895,60.0,3.7,31568.1,-0.0,-0.0,61433.9,7221.5,9461.5,4.5,2.6,0.0,0.0,0.0
1651061896,60.9,4.1,31568.1,-0.0,-0.0,61433.9,7221.5,9432.0,5.4,3.4,0.0,0.0,0.0
1651061897,60.7,3.7,31568.1,-0.0,-0.0,61433.9,7221.5,9424.0,7.1,4.5,3.0,0.0,15.9
1651061898,59.8,3.5,31568.1,-0.0,-0.0,61433.9,7221.5,9441.3,630.3,8.5,0.0,0.0,0.0
1651061899,60.3,3.5,31568.1,-0.0,-0.0,61433.9,7221.5,9461.6,4.6,2.5,0.0,0.0,0.0
1651061900,58.8,3.2,31568.1,-0.0,-0.0,61433.9,7221.5,9464.1,4.7,2.6,0.0,0.0,0.0
1651061901,61.6,3.9,31568.1,-0.0,-0.0,61433.9,7221.5,9465.3,4.7,2.5,0.0,0.0,8.0
1651061902,62.1,4.0,31568.1,-0.0,-0.0,61433.9,7221.5,9480.4,4.7,2.6,0.0,0.0,0.0
1651061903,59.9,3.8,31568.1,-0.0,-0.0,61433.9,7221.5,9512.5,4.8,2.9,0.0,0.0,0.0
1651061904,61.6,3.9,31568.1,-0.0,-0.0,61433.9,7221.5,9475.1,4.8,2.6,0.0,0.0,0.0
1651061905,63.0,4.6,31568.1,-0.0,-0.0,61433.9,7221.5,9463.2,4.8,2.4,0.0,0.0,0.0
1651061906,58.7,3.0,31568.1,-0.0,-0.0,61433.9,7221.5,9480.1,4.9,2.6,0.0,0.0,0.0
1651061907,62.2,3.8,31568.1,-0.0,-0.0,61433.9,7221.5,9467.3,4.9,2.6,6.0,0.0,970.8
1651061908,58.5,3.3,31568.1,-0.0,-0.0,61433.9,7221.5,9522.5,5.0,2.5,0.0,0.0,0.0
1651061909,58.7,3.4,31568.1,-0.0,-0.0,61433.9,7221.5,9504.8,5.0,2.8,0.0,0.0,0.0
1651061910,61.4,3.8,31568.1,-0.0,-0.0,61433.9,7221.5,9484.9,5.0,2.5,0.0,0.0,0.0
1651061911,57.9,3.1,31568.1,-0.0,-0.0,61433.9,7221.5,9532.0,5.1,2.6,0.0,0.0,0.0
1651061912,61.2,4.2,31568.1,-0.0,-0.0,61433.9,7221.5,9488.4,5.1,2.5,3.0,0.0,19.9
1651061913,58.4,3.1,31568.1,-0.0,-0.0,61433.9,7221.5,9478.1,5.8,3.1,0.0,0.0,0.0
1651061914,61.3,4.3,31568.1,-0.0,-0.0,61433.9,7221.5,9477.5,5.2,2.5,0.0,0.0,0.0
1651061915,60.7,3.7,31568.1,-0.0,-0.0,61433.9,7221.5,9517.8,5.2,2.5,0.0,0.0,0.0
1651061916,60.7,3.6,31568.1,-0.0,-0.0,61433.9,7221.5,9489.3,5.2,2.6,0.0,0.0,0.0
1651061917,58.2,2.9,31568.1,-0.0,-0.0,61433.9,7221.5,9554.8,5.3,2.4,2.0,0.0,55.7
1651061918,64.2,4.8,31568.1,-0.0,-0.0,61433.9,7221.5,9545.7,5.6,2.6,0.0,0.0,0.0
1651061919,61.4,3.9,31568.1,-0.0,-0.0,61433.9,7221.5,9550.3,5.4,2.4,0.0,0.0,0.0
1651061920,63.1,4.1,31568.1,-0.0,-0.0,61433.9,7221.5,9547.8,5.4,2.5,0.0,0.0,0.0
1651061921,57.6,2.7,31568.1,-0.0,-0.0,61433.9,7221.5,9562.3,5.4,2.5,0.0,0.0,0.0
1651061922,60.7,3.9,31568.1,-0.0,-0.0,61433.9,7221.5,9562.6,5.5,2.4,0.0,0.0,0.0
1651061923,59.3,3.3,31568.1,-0.0,-0.0,61433.9,7221.5,9550.4,5.5,2.6,0.0,0.0,0.0
1651061924,58.5,3.4,31568.1,-0.0,-0.0,61433.9,7221.5,9559.3,5.5,2.4,0.0,0.0,0.0
1651061925,58.4,3.1,31568.1,-0.0,-0.0,61433.9,7221.5,9568.7,5.6,2.6,0.0,0.0,0.0
1651061926,61.7,4.0,31568.1,-0.0,-0.0,61433.9,7221.5,9548.8,5.7,2.6,0.0,0.0,0.0
1651061927,62.1,3.9,31568.1,-0.0,-0.0,61433.9,7221.5,9572.5,5.7,2.6,3.0,0.0,15.9
1651061928,61.0,3.7,31568.1,-0.0,-0.0,61433.9,7221.5,9557.0,5.7,2.6,0.0,0.0,0.0
1651061929,62.1,3.8,31568.1,-0.0,-0.0,61433.9,7221.5,9561.5,615.6,7.9,0.0,0.0,0.0
1651061930,59.4,3.3,31568.1,-0.0,-0.0,61433.9,7221.5,9581.5,5.8,2.6,0.0,0.0,0.0
1651061931,60.1,3.7,31568.1,-0.0,-0.0,61433.9,7221.5,9586.0,5.9,2.5,0.0,0.0,0.0
