record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
0,1651061853,32.99999999999999,27.2,347249.1,-0.0,-0.0,658153.8,87521.69999999998,117650.7,354.4,1392.2999999999997,2.7,0.0,39.70000000000001
1,1651061854,29.499999999999996,23.10000000000001,347249.1,-0.0,-0.0,658153.8,87521.9,117652.40000000002,50.60000000000001,45.0,0.0,0.0,1198.6000000000001
2,1651061855,29.400000000000006,22.300000000000004,347249.1,-0.0,-0.0,658153.8,87521.99999999999,117673.09999999999,63.1,38.9,2.0,0.0,1062.3999999999999
3,1651061856,30.80000000000001,22.400000000000013,347249.1,-0.0,-0.0,658153.8,87521.99999999999,117652.70000000001,92.49999999999999,42.8,0.0,0.0,1079.7
4,1651061857,30.4,21.500000000000004,347249.1,-0.0,-0.0,658153.8,87522.2,117665.20000000001,109.19999999999999,63.1,11.0,0.0,174.89999999999998
5,1651061858,533.2,73.2,347249.1,-0.0,-0.0,658153.8,87523.09999999999,127171.8,284.3,341.4,21.0,44.0,1305.1000000000001
6,1651061859,609.4,54.8,347249.1,-0.0,-0.0,658153.8,87523.8,128106.49999999999,135.7,509.99999999999994,11.0,0.0,382.7
7,1651061861,643.6,63.199999999999996,347249.1,-0.0,-0.0,658153.8,87524.0,128806.40000000001,136.30000000000004,50.99999999999999,0.0,0.0,4.0
8,1651061862,619.8,57.199999999999996,347249.1,-0.0,-0.0,658153.8,87524.09999999999,129871.49999999999,96.69999999999999,56.60000000000001,1.0,0.0,83.5
9,1651061863,632.6,59.1,347249.1,-0.0,-0.0,658153.8,87524.09999999999,130419.99999999997,950.9,68.0,11.0,0.0,91.7
10,1651061864,639.7,60.699999999999996,347249.1,-0.0,-0.0,658153.8,87524.09999999999,130748.5,579.7,92.60000000000001,3.0,0.0,19.9
11,1651061865,636.9,57.699999999999996,347249.1,-0.0,-0.0,658153.8,87524.2,131061.40000000001,577.6,127.59999999999998,5.0,0.0,47.8
12,1651061866,635.9,59.10000000000001,347249.1,-0.0,-0.0,658153.8,87524.2,131341.6,291.8,89.30000000000001,1.0,0.0,55.7
13,1651061867,630.2,56.699999999999996,347249.1,-0.0,-0.0,658153.8,87524.2,131814.19999999998,100.2,60.6,3.0,0.0,709.5999999999999
14,1651061868,630.8000000000001,58.6,347249.1,-0.0,-0.0,658153.8,87524.2,132117.5,382.9999999999999,70.10000000000001,2.0,0.0,15.9
15,1651061869,639.4000000000001,60.10000000000001,347249.1,-0.0,-0.0,658153.8,87524.2,132458.30000000002,663.8,48.099999999999994,2.0,0.0,27.9
16,1651061870,632.1,59.5,347249.1,-0.0,-0.0,658153.8,87524.2,132846.19999999998,322.70000000000005,44.6,11.0,0.0,63.8
17,1651061871,653.6,62.7,347249.1,-0.0,-0.0,658153.8,87524.2,133089.80000000002,122.89999999999999,41.1,2.0,0.0,79.6
18,1651061872,653.1,62.9,347249.1,-0.0,-0.0,658153.8,87524.2,133287.9,93.29999999999998,41.6,0.0,0.0,0.0
19,1651061873,643.7,59.8,347249.1,-0.0,-0.0,658153.8,87524.2,133618.90000000002,176.7,129.8,0.0,0.0,0.0
20,1651061874,648.6,62.400000000000006,347249.1,-0.0,-0.0,658153.8,87524.6,133757.7,335.8,70.7,3.0,0.0,35.9
21,1651061875,637.4,57.599999999999994,347249.1,-0.0,-0.0,658153.8,87524.7,133969.1,573.6,53.7,2.0,0.0,35.8
22,1651061876,629.9,57.0,347249.1,-0.0,-0.0,658153.8,87524.7,134155.9,115.3,43.800000000000004,3.0,0.0,75.7
23,1651061877,640.7,59.99999999999999,347249.1,-0.0,-0.0,658153.8,87524.7,134327.40000000002,116.1,48.800000000000004,0.0,0.0,19.9
24,1651061878,625.8000000000001,56.199999999999996,347249.1,-0.0,-0.0,658153.8,87524.7,134479.7,514.9,40.300000000000004,4.0,0.0,15.9
25,1651061879,638.0000000000001,60.2,347249.1,-0.0,-0.0,658153.8,87524.7,134588.6,216.3,45.79999999999999,5.0,0.0,789.0
26,1651061880,628.9,57.20000000000001,347249.1,-0.0,-0.0,658153.8,87524.8,134683.2,202.2,37.300000000000004,2.0,0.0,15.9
27,1651061881,634.3,58.2,347249.1,-0.0,-0.0,658153.8,87524.8,134742.9,128.0,42.4,10.0,0.0,689.6999999999999
28,1651061882,621.5,57.4,347249.1,-0.0,-0.0,658153.8,87524.8,134848.3,104.0,50.9,0.0,0.0,35.9
29,1651061883,617.8000000000001,54.9,347249.1,-0.0,-0.0,658153.8,87524.8,134892.6,127.2,40.300000000000004,0.0,0.0,0.0
30,1651061884,629.5999999999999,57.399999999999984,347249.1,-0.0,-0.0,658153.8,87524.8,134954.6,256.0,54.59999999999999,6.0,0.0,147.4
31,1651061885,642.9,61.5,347249.1,-0.0,-0.0,658153.8,87524.8,135137.59999999998,888.8,57.0,1.0,0.0,79.8
32,1651061886,635.6999999999999,56.699999999999996,347249.1,-0.0,-0.0,658153.8,87524.8,135196.6,128.0,46.49999999999999,0.0,0.0,1931.8999999999999
33,1651061887,627.1,57.4,347249.1,-0.0,-0.0,658153.8,87524.8,135328.7,100.6,38.7,1.0,0.0,1601.9
34,1651061888,627.8,57.4,347249.1,-0.0,-0.0,658153.8,87524.9,135256.80000000002,215.39999999999998,47.20000000000001,10.0,0.0,158.8
35,1651061889,618.3000000000001,53.800000000000004,347249.1,-0.0,-0.0,658153.8,87524.9,135438.99999999997,235.09999999999997,44.7,8.0,0.0,95.5
36,1651061890,617.2,53.5,347249.1,-0.0,-0.0,658153.8,87524.9,135486.4,112.9,39.2,11.0,0.0,139.5
37,1651061891,613.1999999999999,53.0,347249.1,-0.0,-0.0,658153.8,87524.9,135621.2,115.69999999999999,48.4,3.0,0.0,1119.6
38,1651061892,620.9,54.1,347249.1,-0.0,-0.0,658153.8,87525.0,135586.69999999998,141.5,44.800000000000004,0.0,0.0,91.8
39,1651061893,627.8,58.3,347249.1,-0.0,-0.0,658153.8,87525.0,135526.1,153.5,41.7,0.0,0.0,0.0
40,1651061894,616.4000000000001,53.3,347249.1,-0.0,-0.0,658153.8,87525.0,135693.4,831.7,59.599999999999994,2.0,0.0,31.9
41,1651061895,630.0,57.5,347249.1,-0.0,-0.0,658153.8,87525.1,135677.5,731.9,637.6999999999999,0.0,0.0,0.0
42,1651061896,626.9000000000001,56.699999999999996,347249.1,-0.0,-0.0,658153.8,87525.1,135807.0,769.7,50.7,1.0,0.0,1112.0000000000002
43,1651061897,631.5,57.2,347249.1,-0.0,-0.0,658153.8,87525.1,135785.7,132.5,44.09999999999999,8.0,0.0,557.6
44,1651061898,629.1000000000001,58.2,347249.1,-0.0,-0.0,658153.8,87525.1,135849.3,109.99999999999999,38.0,6.0,0.0,1079.4
45,1651061899,633.9999999999999,58.39999999999999,347249.1,-0.0,-0.0,658153.8,87525.1,135955.89999999997,739.4,46.7,0.0,0.0,4.0
46,1651061900,632.8,59.4,347249.1,-0.0,-0.0,658153.8,87525.1,136029.2,118.70000000000002,42.5,5.0,0.0,1118.9
47,1651061901,643.9999999999999,60.199999999999996,347249.1,-0.0,-0.0,658153.8,87525.3,136053.69999999998,752.3,43.9,9.0,0.0,83.7
48,1651061902,632.8,57.69999999999999,347249.1,-0.0,-0.0,658153.8,87525.20000000001,136142.80000000002,135.79999999999998,43.300000000000004,0.0,0.0,63.8
49,1651061903,628.1000000000001,56.7,347249.1,-0.0,-0.0,658153.8,87525.20000000001,136242.9,115.3,41.0,4.0,0.0,15.9
50,1651061904,632.0,57.99999999999999,347249.1,-0.0,-0.0,658153.8,87525.3,136278.0,147.70000000000002,42.5,5.0,0.0,39.7
51,1651061905,639.8000000000001,59.50000000000001,347249.1,-0.0,-0.0,658153.8,87525.20000000001,136401.0,788.8999999999999,50.70000000000001,0.0,0.0,0.0
52,1651061906,632.6,56.7,347249.1,-0.0,-0.0,658153.8,87525.20000000001,136304.6,121.79999999999998,45.4,1.0,0.0,11.9
53,1651061907,630.2,57.10000000000001,347249.1,-0.0,-0.0,658153.8,87525.20000000001,136416.5,136.7,37.300000000000004,0.0,0.0,4.0
54,1651061908,626.0000000000001,54.8,347249.1,-0.0,-0.0,658153.8,87525.20000000001,136465.6,110.9,36.900000000000006,6.0,0.0,970.8
55,1651061909,635.8,58.3,347249.1,-0.0,-0.0,658153.8,87525.20000000001,136641.69999999998,1214.1000000000001,134.39999999999998,2.0,0.0,11.9
56,1651061910,623.3000000000001,54.69999999999999,347249.1,-0.0,-0.0,658153.8,87525.30000000002,136674.1,767.5999999999999,45.599999999999994,13.0,0.0,95.6
57,1651061911,639.2,60.2,347249.1,-0.0,-0.0,658153.8,87525.30000000002,136627.39999999997,111.8,39.4,4.0,0.0,8.0
58,1651061912,631.6999999999999,58.8,347249.1,-0.0,-0.0,658153.8,87525.30000000002,136743.6,140.0,49.900000000000006,3.0,0.0,16.0
59,1651061913,624.7,55.800000000000004,347249.1,-0.0,-0.0,658153.8,87525.30000000002,136610.0,111.9,36.49999999999999,3.0,0.0,19.9
60,1651061914,606.3,52.8,347249.1,-0.0,-0.0,658153.8,87525.40000000001,136627.6,173.4,64.4,5.0,2.0,15.9
61,1651061915,589.4,58.19999999999999,347249.1,-0.0,-0.0,658153.8,87525.70000000001,134892.8,396.2,43.7,0.0,0.0,51.8
62,1651061916,560.7,52.1,347249.1,-0.0,-0.0,658153.8,87525.6,135009.1,119.7,43.3,4.0,0.0,131.3
63,1651061917,571.4,54.0,347249.1,-0.0,-0.0,658153.8,87525.70000000001,134969.59999999998,171.6,41.7,2.0,0.0,892.9
64,1651061918,518.4,50.400000000000006,347249.1,-0.0,-0.0,658153.8,87526.59999999999,133206.5,280.0,53.39999999999999,5.0,0.0,99.4
65,1651061919,512.6,52.3,347249.1,-0.0,-0.0,658153.8,87526.59999999999,133299.7,241.20000000000005,45.400000000000006,0.0,0.0,1139.7
66,1651061920,500.70000000000005,46.800000000000004,347249.1,-0.0,-0.0,658153.8,87526.59999999999,133389.2,643.6,45.800000000000004,10.0,0.0,131.3
67,1651061921,501.6,51.0,347249.1,-0.0,-0.0,658153.8,87526.59999999999,133342.2,127.1,45.1,2.0,0.0,87.4
