timestamp,total,used,free,shared,buff/cache,available
0,33101,12530,5862,649,14708,19448
972,33101,12543,5848,649,14708,19434
88080,33101,12554,5838,649,14708,19423
135654,33101,12554,5838,649,14708,19423
48473,33101,12555,5837,649,14708,19422
87652,33101,12555,5837,649,14708,19422
137357,33101,12555,5837,649,14708,19422
1,33101,12554,5838,649,14708,19423
973,33101,12554,5837,649,14708,19423
88081,33101,12554,5838,649,14708,19423
135655,33101,12554,5837,649,14708,19423
48474,33101,12554,5837,649,14708,19423
137358,33101,12554,5837,649,14708,19423
87653,33101,12554,5837,649,14708,19423
2,33101,12554,5838,649,14708,19423
974,33101,12554,5838,649,14708,19424
88082,33101,12554,5838,649,14708,19424
135656,33101,12554,5838,649,14708,19424
48475,33101,12555,5837,649,14708,19423
87654,33101,12554,5838,649,14708,19423
137359,33101,12554,5838,649,14708,19423
3,33101,12554,5838,649,14708,19423
975,33101,12554,5838,649,14708,19424
88083,33101,12582,5809,649,14708,19395
135657,33101,12583,5809,649,14708,19394
48476,33101,12584,5808,649,14708,19393
87655,33101,12584,5807,649,14708,19393
137360,33101,12584,5807,649,14708,19393
4,33101,12554,5837,649,14708,19423
976,33101,12555,5837,649,14708,19422
88084,33101,12555,5837,649,14708,19422
135658,33101,12555,5837,649,14708,19422
48477,33101,12555,5836,649,14708,19422
87656,33101,12555,5836,649,14708,19422
137361,33101,12555,5836,649,14708,19422
5,33101,12557,5835,649,14708,19420
977,33101,12568,5823,649,14708,19409
88085,33101,12569,5823,649,14708,19409
135659,33101,12569,5823,649,14708,19408
48478,33101,12569,5823,649,14708,19408
137362,33101,12569,5822,649,14708,19408
87657,33101,12569,5822,649,14708,19408
6,33101,12569,5823,649,14708,19408
978,33101,12569,5823,649,14708,19409
88086,33101,12568,5824,649,14708,19409
135660,33101,12568,5823,649,14708,19409
48479,33101,12568,5823,649,14708,19409
137363,33101,12568,5824,649,14708,19410
87658,33101,12568,5824,649,14708,19410
7,33101,12568,5824,649,14708,19409
979,33101,12568,5824,649,14708,19409
88087,33101,12568,5824,649,14708,19409
135661,33101,12568,5824,649,14708,19409
48480,33101,12568,5824,649,14708,19409
137364,33101,12568,5824,649,14708,19409
87659,33101,12568,5824,649,14708,19410
8,33101,12568,5824,649,14708,19409
980,33101,12568,5824,649,14708,19409
88088,33101,12599,5793,649,14708,19379
135662,33101,12599,5793,649,14708,19379
48481,33101,12599,5793,649,14708,19378
137365,33101,12599,5793,649,14708,19378
87660,33101,12599,5793,649,14708,19378
9,33101,12568,5823,649,14708,19409
981,33101,12567,5824,649,14708,19410
88089,33101,12568,5824,649,14708,19409
135663,33101,12568,5824,649,14708,19409
48482,33101,12568,5824,649,14708,19410
137366,33101,12568,5824,649,14708,19410
87661,33101,12568,5824,649,14708,19409
10,33101,12567,5825,649,14709,19410
982,33101,12567,5824,649,14709,19410
