timestamp,total,used,free,shared,buff/cache,available
0,33101,6695,12784,2441,13621,23448
1,33101,6695,12784,2441,13621,23448
2,33101,6695,12784,2441,13621,23448
3,33101,6695,12784,2441,13621,23448
4,33101,6695,12784,2441,13621,23448
5,33101,7351,12128,2441,13621,22792
6,33101,7712,11767,2442,13621,22431
7,33101,7848,11629,2443,13623,22293
8,33101,7912,11565,2443,13623,22229
9,33101,8048,11428,2445,13624,22092
10,33101,8094,11381,2445,13625,22046
11,33101,8121,11354,2446,13626,22018
12,33101,8184,11289,2446,13626,21954
13,33101,8206,11268,2446,13627,21932
14,33101,8203,11271,2447,13627,21935
15,33101,8265,11207,2448,13628,21871
16,33101,8270,11202,2448,13628,21867
17,33101,8315,11156,2449,13629,21821
18,33101,8355,11115,2449,13629,21780
19,33101,8369,11101,2450,13630,21766
20,33101,8420,11050,2450,13630,21715
21,33101,8441,11028,2451,13631,21693
22,33101,8482,10986,2451,13631,21651
23,33101,8489,10979,2452,13632,21644
24,33101,8476,10992,2452,13632,21656
25,33101,8504,10962,2453,13634,21627
26,33101,8480,10987,2453,13634,21651
27,33101,8525,10939,2455,13635,21604
28,33101,8510,10955,2455,13636,21620
29,33101,8534,10930,2456,13636,21595
30,33101,8551,10912,2456,13637,21577
31,33101,8560,10902,2457,13637,21568
32,33101,8575,10887,2457,13638,21553
33,33101,8583,10879,2457,13639,21544
34,33101,8624,10836,2458,13639,21502
35,33101,8651,10810,2458,13640,21475
36,33101,8670,10790,2459,13640,21456
37,33101,8686,10774,2459,13640,21440
38,33101,8688,10772,2459,13641,21437
39,33101,8714,10745,2460,13641,21411
40,33101,8700,10759,2460,13642,21425
41,33101,8688,10770,2461,13642,21435
42,33101,8702,10756,2461,13643,21422
43,33101,8701,10757,2461,13643,21423
44,33101,8705,10753,2461,13643,21419
45,33101,8716,10741,2462,13643,21407
46,33101,8764,10692,2462,13644,21358
47,33101,8780,10676,2462,13644,21342
48,33101,8840,10616,2463,13644,21282
49,33101,8842,10614,2463,13645,21280
50,33101,8846,10609,2463,13645,21275
51,33101,8868,10587,2463,13645,21254
52,33101,8883,10571,2463,13645,21238
53,33101,8878,10577,2463,13646,21243
54,33101,8879,10575,2464,13646,21242
55,33101,8869,10585,2464,13646,21251
56,33101,8868,10585,2465,13647,21252
57,33101,8871,10581,2466,13648,21247
58,33101,8818,10634,2466,13648,21300
59,33101,8823,10628,2467,13649,21294
60,33101,8766,10684,2468,13650,21351
61,33101,8787,10662,2469,13651,21329
62,33101,8798,10650,2470,13652,21317
63,33101,8793,10654,2470,13653,21321
64,33101,8813,10633,2471,13654,21300
65,33101,8810,10636,2472,13655,21303
66,33101,8804,10640,2473,13655,21307
67,33101,8809,10635,2474,13656,21302
68,33101,8804,10639,2474,13657,21306
69,33101,8834,10608,2475,13658,21275
70,33101,8831,10611,2476,13659,21278
71,33101,8811,10630,2477,13659,21297
72,33101,8911,10528,2478,13660,21196
73,33101,8927,10512,2478,13661,21179
74,33101,8981,10458,2478,13661,21125
75,33101,8981,10457,2479,13662,21125
76,33101,8984,10454,2479,13662,21121
77,33101,9000,10439,2479,13662,21106
78,33101,8993,10445,2479,13662,21113
79,33101,9020,10419,2479,13662,21086
80,33101,9049,10389,2479,13662,21056
81,33101,9094,10344,2479,13662,21011
82,33101,9103,10335,2479,13663,21002
83,33101,9106,10331,2480,13663,20999
84,33101,9111,10326,2480,13663,20993
85,33101,9143,10293,2480,13663,20961
86,33101,9177,10260,2480,13663,20928
87,33101,9193,10244,2480,13664,20912
88,33101,9187,10249,2480,13664,20917
89,33101,9203,10234,2480,13664,20901
90,33101,9187,10248,2481,13664,20916
91,33101,9208,10227,2481,13664,20895
92,33101,9202,10233,2481,13665,20901
93,33101,9212,10223,2482,13665,20891
94,33101,9208,10226,2482,13666,20895
95,33101,9205,10229,2482,13666,20898
96,33101,9174,10259,2483,13667,20927
97,33101,9174,10259,2484,13668,20927
98,33101,9168,10264,2484,13668,20933
99,33101,9185,10246,2485,13669,20914
100,33101,9184,10246,2486,13670,20915
101,33101,9159,10271,2486,13670,20940
102,33101,9194,10234,2487,13672,20903
103,33101,9153,10275,2488,13672,20944
104,33101,9081,10346,2489,13673,21014
105,33101,9068,10358,2490,13674,21027
106,33101,9073,10353,2490,13675,21022
107,33101,9117,10307,2491,13676,20976
108,33101,9058,10366,2492,13676,21035
109,33101,9049,10374,2493,13677,21043
110,33101,6704,12718,2494,13678,23387
111,33101,6703,12719,2494,13678,23387
112,33101,6703,12719,2494,13678,23387
113,33101,6704,12718,2494,13678,23387
114,33101,6703,12719,2494,13678,23388
115,33101,6703,12719,2494,13678,23388
116,33101,6702,12720,2494,13678,23389
117,33101,6701,12720,2494,13678,23389
118,33101,6701,12721,2494,13678,23390
119,33101,6701,12720,2494,13678,23389
120,33101,6702,12720,2494,13678,23389
121,33101,6701,12720,2494,13679,23390
122,33101,6702,12720,2494,13679,23389
123,33101,6701,12720,2494,13679,23389
124,33101,6702,12720,2494,13679,23389
125,33101,6701,12720,2494,13679,23389
126,33101,6702,12720,2494,13679,23389
127,33101,6701,12721,2494,13679,23390
128,33101,6701,12721,2494,13679,23390
129,33101,6700,12721,2494,13679,23391
