timestamp,total,used,free,shared,buff/cache,available
0,33101,4443,19451,1550,9206,26616
1,33101,4444,19450,1550,9206,26615
2,33101,4444,19450,1550,9206,26615
3,33101,4444,19450,1550,9206,26616
4,33101,4444,19450,1550,9206,26616
5,33101,5166,18728,1550,9206,25893
6,33101,5456,18437,1550,9206,25603
7,33101,5579,18314,1552,9208,25479
8,33101,5708,18183,1553,9209,25349
9,33101,5751,18140,1553,9209,25305
10,33101,5831,18058,1555,9211,25224
11,33101,5830,18059,1555,9211,25224
12,33101,5848,18039,1556,9213,25205
13,33101,5933,17954,1557,9214,25120
14,33101,5973,17913,1558,9215,25079
15,33101,6042,17843,1559,9215,25009
16,33101,6046,17839,1559,9215,25005
17,33101,6112,17772,1560,9216,24938
18,33101,6171,17712,1560,9217,24878
19,33101,6180,17703,1561,9217,24869
20,33101,6266,17616,1561,9218,24782
21,33101,6290,17592,1562,9218,24758
22,33101,6301,17581,1562,9219,24747
23,33101,6324,17557,1562,9219,24723
24,33101,6350,17525,1563,9225,24697
25,33101,6362,17513,1563,9226,24684
26,33101,6397,17477,1564,9226,24649
27,33101,6386,17486,1564,9227,24660
28,33101,6397,17475,1564,9228,24648
29,33101,6401,17470,1565,9229,24644
30,33101,6339,17531,1566,9231,24705
31,33101,6371,17497,1567,9232,24671
32,33101,6372,17495,1568,9232,24669
33,33101,6380,17486,1569,9234,24660
34,33101,6373,17492,1571,9235,24666
35,33101,6362,17502,1571,9236,24676
36,33101,6351,17511,1572,9237,24686
37,33101,6371,17490,1574,9239,24665
38,33101,6393,17468,1575,9239,24642
39,33101,6395,17464,1576,9241,24638
40,33101,6381,17477,1577,9242,24652
41,33101,6381,17476,1578,9243,24651
42,33101,6388,17467,1579,9244,24642
43,33101,6407,17447,1580,9246,24623
44,33101,6387,17467,1581,9246,24642
45,33101,6375,17478,1582,9248,24653
46,33101,6386,17465,1583,9249,24641
47,33101,6396,17454,1584,9250,24629
48,33101,6385,17464,1585,9251,24640
49,33101,6387,17462,1586,9252,24637
50,33101,6395,17452,1587,9252,24627
51,33101,6403,17443,1588,9254,24618
52,33101,6424,17421,1589,9256,24597
53,33101,6380,17464,1590,9256,24640
54,33101,6384,17459,1591,9258,24635
55,33101,6427,17414,1592,9259,24590
56,33101,6415,17425,1593,9260,24602
57,33101,6412,17427,1594,9261,24604
58,33101,6421,17417,1594,9261,24594
59,33101,6438,17400,1595,9262,24577
60,33101,6424,17413,1596,9262,24590
61,33101,6442,17395,1597,9263,24571
62,33101,6432,17404,1597,9264,24581
63,33101,6445,17390,1598,9265,24567
64,33101,6441,17394,1599,9266,24571
65,33101,6451,17383,1599,9266,24560
66,33101,6441,17392,1600,9267,24569
67,33101,6415,17417,1601,9268,24594
68,33101,6396,17435,1602,9269,24611
69,33101,4516,19315,1602,9269,26492
70,33101,4512,19320,1602,9268,26496
71,33101,4511,19321,1602,9268,26496
72,33101,4511,19321,1602,9268,26496
73,33101,4511,19320,1602,9268,26496
74,33101,4511,19321,1602,9268,26496
75,33101,4511,19320,1602,9268,26496
76,33101,4511,19321,1602,9268,26497
77,33101,4511,19321,1602,9268,26497
78,33101,4511,19321,1602,9268,26496
79,33101,4511,19321,1602,9268,26496
80,33101,4511,19321,1602,9268,26497
81,33101,4511,19321,1602,9269,26496
82,33101,4510,19321,1602,9269,26497
83,33101,4510,19321,1602,9269,26497
84,33101,4511,19321,1602,9269,26496
85,33101,4511,19321,1602,9269,26497
86,33101,4510,19321,1602,9269,26497
87,33101,4511,19321,1602,9269,26496
88,33101,4511,19321,1602,9269,26497
89,33101,4511,19321,1602,9269,26497
90,33101,4510,19321,1602,9269,26497
91,33101,4511,19320,1602,9269,26496
92,33101,4511,19320,1602,9269,26497
93,33101,4511,19320,1602,9269,26496
94,33101,4511,19320,1602,9269,26496
95,33101,4511,19319,1602,9269,26496
96,33101,4512,19319,1602,9269,26496
97,33101,4511,19320,1602,9269,26496
98,33101,4511,19320,1602,9269,26496
99,33101,4512,19318,1602,9269,26495
100,33101,4512,19319,1602,9269,26496
101,33101,4511,19320,1602,9269,26496
102,33101,4511,19320,1602,9269,26496
103,33101,4511,19320,1602,9269,26496
104,33101,4511,19319,1602,9269,26496
105,33101,4511,19320,1602,9269,26496
106,33101,4511,19320,1602,9270,26496
107,33101,4511,19320,1602,9269,26496
108,33101,4511,19320,1602,9269,26496
109,33101,4511,19320,1602,9269,26496
110,33101,4511,19320,1602,9269,26496
111,33101,4511,19319,1602,9270,26496
112,33101,4511,19319,1602,9270,26496
113,33101,4511,19319,1602,9270,26496
114,33101,4511,19320,1602,9270,26496
115,33101,4511,19319,1602,9270,26496
116,33101,4511,19319,1602,9270,26496
117,33101,4521,19310,1602,9270,26487
118,33101,4511,19319,1602,9270,26496
119,33101,4511,19319,1602,9270,26496
120,33101,4511,19319,1602,9270,26496
121,33101,4512,19319,1602,9270,26496
122,33101,4511,19319,1602,9270,26496
123,33101,4511,19319,1602,9270,26496
124,33101,4511,19320,1602,9270,26497
125,33101,4511,19320,1602,9270,26497
126,33101,4510,19320,1602,9270,26497
127,33101,4511,19320,1602,9270,26496
128,33101,4510,19320,1602,9270,26497
129,33101,4510,19320,1602,9270,26497
130,33101,4552,19279,1602,9270,26455
