timestamp,total,used,free,shared,buff/cache,available
0,33101,6250,12807,1546,14043,24831
1,33101,6250,12807,1546,14043,24830
2,33101,6250,12807,1546,14043,24830
3,33101,6250,12807,1546,14043,24830
4,33101,6250,12807,1546,14043,24830
5,33101,6972,12085,1546,14043,24108
6,33101,7264,11793,1546,14043,23816
7,33101,7395,11661,1547,14044,23684
8,33101,7439,11617,1548,14045,23640
9,33101,7552,11502,1549,14046,23526
10,33101,7616,11438,1549,14047,23461
11,33101,7634,11419,1550,14047,23442
12,33101,7681,11370,1551,14049,23394
13,33101,7690,11361,1552,14049,23384
14,33101,7747,11303,1553,14050,23326
15,33101,7802,11247,1554,14051,23270
16,33101,7799,11250,1554,14052,23274
17,33101,7848,11199,1555,14053,23223
18,33101,7872,11175,1556,14053,23198
19,33101,7888,11158,1557,14054,23181
20,33101,7917,11127,1558,14056,23151
21,33101,7905,11139,1559,14057,23163
22,33101,7910,11132,1560,14058,23156
23,33101,7936,11106,1561,14059,23130
24,33101,7974,11066,1562,14060,23090
25,33101,7974,11066,1563,14060,23090
26,33101,8000,11038,1564,14061,23063
27,33101,8016,11022,1565,14062,23046
28,33101,8019,11018,1566,14063,23042
29,33101,8015,11021,1566,14065,23046
30,33101,8013,11021,1567,14066,23046
31,33101,8004,11029,1569,14067,23054
32,33101,8012,11020,1569,14068,23045
33,33101,8071,10960,1570,14069,22985
34,33101,8101,10929,1571,14070,22954
35,33101,8075,10954,1572,14070,22979
36,33101,8070,10959,1573,14072,22983
37,33101,8091,10936,1574,14073,22961
38,33101,8103,10923,1576,14074,22948
39,33101,8125,10900,1577,14075,22925
40,33101,8069,10956,1577,14076,22981
41,33101,8096,10927,1578,14077,22952
42,33101,8122,10900,1580,14078,22925
43,33101,8121,10900,1581,14079,22925
44,33101,8122,10898,1581,14080,22924
45,33101,8154,10865,1582,14081,22890
46,33101,8127,10891,1583,14082,22916
47,33101,8098,10919,1584,14083,22945
48,33101,8105,10911,1585,14084,22936
49,33101,8137,10878,1586,14086,22903
50,33101,8138,10875,1588,14087,22900
51,33101,8100,10913,1588,14087,22938
52,33101,8125,10887,1589,14088,22913
53,33101,8132,10879,1590,14089,22904
54,33101,8133,10877,1591,14090,22903
55,33101,8135,10874,1592,14091,22899
56,33101,8170,10838,1593,14092,22864
57,33101,8150,10857,1594,14093,22883
58,33101,8144,10861,1595,14095,22887
59,33101,8157,10847,1596,14095,22873
60,33101,8161,10843,1596,14096,22869
61,33101,8122,10881,1598,14097,22907
62,33101,6259,12744,1598,14098,24770
63,33101,6258,12744,1598,14098,24770
64,33101,6258,12744,1598,14098,24770
65,33101,6258,12745,1598,14098,24771
66,33101,6258,12744,1598,14098,24770
67,33101,6258,12744,1598,14098,24770
68,33101,6258,12744,1598,14098,24770
69,33101,6258,12744,1598,14098,24770
70,33101,6258,12744,1598,14098,24770
71,33101,6258,12744,1598,14098,24770
72,33101,6258,12744,1598,14098,24770
73,33101,6258,12744,1598,14098,24770
74,33101,6258,12744,1598,14098,24770
75,33101,6258,12744,1598,14098,24771
76,33101,6258,12744,1598,14098,24770
77,33101,6258,12744,1598,14098,24770
78,33101,6258,12744,1598,14098,24770
79,33101,6258,12744,1598,14098,24770
80,33101,6258,12744,1598,14098,24770
81,33101,6258,12744,1598,14098,24771
82,33101,6258,12744,1598,14098,24770
83,33101,6258,12744,1598,14098,24770
84,33101,6258,12744,1598,14098,24771
85,33101,6258,12745,1598,14098,24771
86,33101,6258,12745,1598,14098,24771
87,33101,6258,12744,1598,14098,24771
88,33101,6258,12744,1598,14098,24771
89,33101,6257,12745,1598,14098,24772
90,33101,6257,12745,1598,14099,24772
91,33101,6257,12745,1598,14099,24772
92,33101,6257,12745,1598,14099,24772
93,33101,6257,12745,1598,14099,24772
94,33101,6257,12745,1598,14099,24772
95,33101,6257,12745,1598,14099,24772
96,33101,6257,12745,1598,14099,24772
97,33101,6257,12744,1598,14099,24771
98,33101,6257,12745,1598,14099,24772
99,33101,6257,12744,1598,14099,24772
100,33101,6257,12745,1598,14099,24772
101,33101,6257,12744,1598,14099,24771
102,33101,6257,12744,1598,14099,24772
103,33101,6257,12744,1598,14099,24771
104,33101,6257,12744,1598,14099,24772
105,33101,6257,12744,1598,14099,24771
106,33101,6257,12744,1598,14099,24771
107,33101,6257,12744,1598,14099,24771
108,33101,6257,12744,1598,14099,24772
109,33101,6257,12744,1598,14099,24772
110,33101,6257,12744,1598,14099,24771
111,33101,6257,12744,1598,14099,24772
112,33101,6257,12744,1598,14099,24772
113,33101,6257,12744,1598,14099,24771
114,33101,6257,12744,1598,14099,24772
115,33101,6257,12744,1598,14099,24772
116,33101,6257,12744,1598,14099,24771
117,33101,6257,12744,1598,14099,24772
118,33101,6257,12744,1598,14099,24772
119,33101,6257,12744,1598,14099,24772
120,33101,6257,12744,1598,14099,24772
121,33101,6257,12744,1598,14099,24772
122,33101,6257,12744,1598,14099,24772
123,33101,6257,12744,1598,14099,24772
124,33101,6257,12744,1598,14099,24772
125,33101,6257,12744,1598,14099,24772
126,33101,6258,12743,1598,14099,24771
127,33101,6256,12744,1598,14099,24772
128,33101,6256,12745,1598,14099,24773
129,33101,6256,12745,1598,14099,24773
130,33101,6257,12744,1598,14099,24772
