timestamp,total,used,free,shared,buff/cache,available
0,33101,11284,7900,1392,13916,19858
1,33101,11284,7900,1392,13916,19858
2,33101,11284,7900,1392,13916,19858
3,33101,11285,7899,1392,13916,19857
4,33101,11284,7900,1392,13916,19858
5,33101,11998,7186,1392,13916,19144
6,33101,12305,6879,1392,13917,18837
7,33101,12445,6737,1393,13918,18696
8,33101,12511,6671,1394,13919,18629
9,33101,12609,6572,1395,13919,18530
10,33101,12702,6478,1396,13920,18436
11,33101,12727,6452,1397,13921,18410
12,33101,12746,6432,1398,13922,18391
13,33101,12771,6406,1399,13924,18364
14,33101,12828,6347,1400,13925,18306
15,33101,12843,6332,1401,13925,18291
16,33101,12872,6301,1402,13927,18260
17,33101,12885,6288,1403,13928,18247
18,33101,12970,6201,1404,13928,18160
19,33101,12996,6175,1404,13929,18134
20,33101,13033,6138,1405,13929,18097
21,33101,13035,6135,1405,13930,18094
22,33101,13082,6088,1405,13931,18047
23,33101,13100,6069,1406,13932,18028
24,33101,13120,6048,1407,13932,18007
25,33101,13101,6066,1408,13933,18025
26,33101,13112,6055,1408,13934,18014
27,33101,13163,6002,1409,13935,17961
28,33101,13175,5989,1410,13936,17948
29,33101,13170,5994,1411,13936,17953
30,33101,13174,5988,1412,13938,17948
31,33101,13170,5991,1413,13939,17950
32,33101,13111,6049,1414,13940,18009
33,33101,13154,6006,1415,13941,17966
34,33101,13145,6014,1415,13941,17975
35,33101,13157,6001,1416,13942,17961
36,33101,13145,6012,1417,13943,17972
37,33101,13152,6004,1418,13944,17964
38,33101,13162,5993,1419,13945,17953
39,33101,13158,5995,1420,13946,17956
40,33101,13130,6022,1421,13948,17983
41,33101,13133,6018,1422,13949,17978
42,33101,13142,6008,1423,13950,17969
43,33101,13143,6006,1424,13951,17966
44,33101,13134,6014,1425,13952,17974
45,33101,13142,6005,1427,13953,17966
46,33101,13149,5997,1428,13954,17957
47,33101,13160,5984,1429,13955,17945
48,33101,13149,5995,1429,13956,17955
49,33101,13147,5995,1431,13957,17956
50,33101,13143,5998,1432,13958,17959
51,33101,13122,6018,1433,13960,17979
52,33101,13143,5996,1434,13961,17957
53,33101,13123,6016,1435,13962,17977
54,33101,13135,6002,1436,13963,17963
55,33101,13160,5976,1437,13964,17937
56,33101,13162,5973,1437,13965,17934
57,33101,13188,5947,1438,13965,17908
58,33101,13174,5960,1439,13966,17921
59,33101,13201,5932,1440,13967,17894
60,33101,13187,5946,1441,13968,17907
61,33101,13228,5904,1441,13968,17865
62,33101,13212,5918,1442,13969,17880
63,33101,13263,5867,1443,13970,17828
64,33101,13209,5919,1444,13971,17881
65,33101,11292,7836,1444,13972,19798
66,33101,11289,7839,1444,13972,19801
67,33101,11289,7839,1444,13972,19801
68,33101,11289,7839,1444,13972,19801
69,33101,11289,7839,1444,13972,19801
70,33101,11289,7839,1444,13972,19801
71,33101,11289,7839,1444,13972,19801
72,33101,11289,7839,1444,13972,19801
73,33101,11289,7839,1444,13972,19801
74,33101,11289,7839,1444,13972,19801
75,33101,11289,7839,1444,13972,19801
76,33101,11289,7839,1444,13972,19801
77,33101,11289,7839,1444,13972,19801
78,33101,11289,7839,1444,13972,19801
79,33101,11289,7839,1444,13972,19801
80,33101,11289,7839,1444,13972,19801
81,33101,11289,7839,1444,13972,19801
82,33101,11289,7839,1444,13972,19801
83,33101,11289,7839,1444,13972,19801
84,33101,11289,7839,1444,13972,19801
85,33101,11289,7839,1444,13972,19801
86,33101,11289,7839,1444,13972,19801
87,33101,11289,7839,1444,13972,19801
88,33101,11289,7838,1444,13972,19800
89,33101,11289,7839,1444,13972,19801
90,33101,11289,7839,1444,13972,19800
91,33101,11288,7840,1444,13973,19802
92,33101,11288,7839,1444,13973,19802
93,33101,11289,7839,1444,13973,19801
94,33101,11289,7838,1444,13973,19801
95,33101,11288,7839,1444,13973,19802
96,33101,11288,7840,1444,13973,19802
97,33101,11288,7840,1444,13973,19802
98,33101,11288,7839,1444,13973,19802
99,33101,11288,7839,1444,13973,19802
100,33101,11288,7840,1444,13973,19802
101,33101,11288,7840,1444,13973,19802
102,33101,11288,7839,1444,13973,19802
103,33101,11288,7839,1444,13973,19802
104,33101,11288,7839,1444,13973,19802
105,33101,11288,7839,1444,13973,19802
106,33101,11288,7839,1444,13973,19802
107,33101,11288,7839,1444,13973,19802
108,33101,11288,7839,1444,13973,19802
109,33101,11288,7839,1444,13973,19802
110,33101,11288,7839,1444,13973,19802
111,33101,11288,7839,1444,13973,19802
112,33101,11288,7839,1444,13973,19802
113,33101,11288,7839,1444,13973,19802
114,33101,11288,7839,1444,13973,19802
115,33101,11288,7839,1444,13973,19802
116,33101,11288,7839,1444,13973,19802
117,33101,11288,7839,1444,13973,19802
118,33101,11288,7839,1444,13973,19802
119,33101,11288,7839,1444,13973,19802
120,33101,11288,7839,1444,13973,19802
121,33101,11287,7839,1444,13973,19802
122,33101,11287,7839,1444,13973,19802
123,33101,11288,7839,1444,13973,19802
124,33101,11288,7839,1444,13973,19802
125,33101,11288,7839,1444,13973,19802
126,33101,11288,7839,1444,13973,19802
127,33101,11286,7840,1444,13973,19803
128,33101,11286,7841,1444,13973,19804
129,33101,11286,7841,1444,13973,19804
130,33101,11286,7841,1444,13973,19804
