timestamp,total,used,free,shared,buff/cache,available
0,33101,6834,13340,1612,12926,24151
1,33101,6834,13340,1612,12926,24151
2,33101,6834,13339,1612,12926,24151
3,33101,6834,13339,1612,12926,24151
4,33101,6834,13339,1612,12926,24151
5,33101,7569,12604,1612,12926,23416
6,33101,7819,12355,1612,12927,23167
7,33101,7981,12191,1613,12928,23002
8,33101,8099,12073,1614,12929,22884
9,33101,8146,12024,1615,12930,22836
10,33101,8209,11960,1616,12931,22772
11,33101,8225,11943,1617,12932,22755
12,33101,8232,11935,1618,12933,22747
13,33101,8264,11902,1619,12934,22715
14,33101,8319,11847,1620,12935,22659
15,33101,8330,11834,1620,12936,22646
16,33101,8371,11792,1621,12937,22605
17,33101,8407,11755,1622,12938,22568
18,33101,8404,11757,1623,12939,22569
19,33101,8441,11719,1624,12940,22531
20,33101,8466,11694,1625,12941,22506
21,33101,8483,11675,1626,12941,22488
22,33101,8522,11635,1627,12943,22448
23,33101,8547,11609,1628,12944,22421
24,33101,8542,11613,1629,12945,22426
25,33101,8545,11609,1630,12946,22421
26,33101,8582,11572,1631,12947,22384
27,33101,8571,11582,1632,12948,22395
28,33101,8588,11563,1633,12949,22376
29,33101,8534,11617,1634,12949,22430
30,33101,8562,11587,1635,12951,22400
31,33101,8563,11585,1636,12952,22398
32,33101,8578,11568,1637,12953,22382
33,33101,8599,11547,1638,12954,22360
34,33101,8611,11534,1639,12955,22347
35,33101,8599,11545,1640,12956,22358
36,33101,8586,11558,1640,12956,22371
37,33101,8617,11526,1641,12957,22339
38,33101,8616,11526,1642,12958,22339
39,33101,8655,11486,1643,12959,22299
40,33101,8654,11487,1643,12959,22301
41,33101,8694,11446,1644,12961,22260
42,33101,8693,11447,1644,12961,22260
43,33101,8667,11472,1644,12961,22285
44,33101,8672,11467,1645,12962,22280
45,33101,8673,11465,1646,12963,22278
46,33101,8696,11440,1647,12963,22254
47,33101,8692,11444,1647,12964,22257
48,33101,8715,11420,1648,12965,22234
49,33101,8709,11426,1648,12965,22240
50,33101,8711,11423,1649,12966,22237
51,33101,8704,11429,1650,12966,22243
52,33101,8676,11457,1650,12967,22271
53,33101,8722,11410,1651,12968,22224
54,33101,8722,11409,1652,12969,22223
55,33101,8728,11403,1652,12969,22217
56,33101,8738,11392,1653,12970,22206
57,33101,8754,11375,1654,12971,22190
58,33101,8728,11401,1654,12971,22215
59,33101,8754,11374,1655,12972,22188
60,33101,8766,11362,1655,12973,22176
61,33101,8738,11388,1656,12973,22203
62,33101,8752,11373,1657,12975,22188
63,33101,8764,11361,1658,12975,22175
64,33101,8757,11367,1659,12976,22181
65,33101,8745,11378,1659,12977,22192
66,33101,8753,11370,1660,12977,22185
67,33101,8768,11354,1661,12978,22168
68,33101,8754,11367,1661,12979,22182
69,33101,8740,11380,1662,12980,22195
70,33101,8721,11398,1663,12981,22212
71,33101,6841,13278,1664,12981,24093
72,33101,6840,13278,1664,12981,24093
73,33101,6840,13278,1664,12981,24093
74,33101,6830,13289,1664,12981,24103
75,33101,6841,13278,1664,12981,24093
76,33101,6841,13278,1664,12981,24093
77,33101,6841,13278,1664,12981,24093
78,33101,6840,13278,1664,12981,24093
79,33101,6840,13278,1664,12981,24093
80,33101,6841,13278,1664,12981,24092
81,33101,6840,13278,1664,12982,24093
82,33101,6840,13278,1664,12982,24093
83,33101,6840,13279,1664,12982,24093
84,33101,6830,13289,1664,12982,24104
85,33101,6840,13279,1664,12982,24093
86,33101,6840,13278,1664,12982,24093
87,33101,6840,13279,1664,12982,24094
88,33101,6840,13278,1664,12982,24093
89,33101,6830,13289,1664,12982,24104
90,33101,6840,13279,1664,12982,24093
91,33101,6840,13278,1664,12982,24093
92,33101,6840,13278,1664,12982,24093
93,33101,6840,13277,1664,12982,24093
94,33101,6830,13288,1664,12982,24103
95,33101,6840,13277,1664,12982,24093
96,33101,6840,13277,1664,12982,24093
97,33101,6840,13278,1664,12982,24093
98,33101,6840,13278,1664,12982,24093
99,33101,6830,13288,1664,12982,24103
100,33101,6840,13277,1664,12982,24093
101,33101,6841,13277,1664,12982,24092
102,33101,6841,13277,1664,12982,24092
103,33101,6840,13277,1664,12982,24093
104,33101,6830,13288,1664,12982,24103
105,33101,6840,13277,1664,12982,24093
106,33101,6840,13277,1664,12982,24093
107,33101,6840,13277,1664,12982,24093
108,33101,6840,13277,1664,12982,24093
109,33101,6830,13288,1664,12982,24103
110,33101,6840,13277,1664,12982,24093
111,33101,6840,13277,1664,12983,24093
112,33101,6840,13277,1664,12983,24093
113,33101,6840,13277,1664,12983,24093
114,33101,6830,13287,1664,12983,24103
115,33101,6840,13277,1664,12983,24093
116,33101,6840,13277,1664,12983,24093
117,33101,6840,13277,1664,12983,24093
118,33101,6840,13277,1664,12983,24093
119,33101,6830,13288,1664,12983,24103
120,33101,6840,13277,1664,12983,24093
121,33101,6840,13277,1664,12983,24093
122,33101,6840,13277,1664,12983,24093
123,33101,6840,13277,1664,12983,24093
124,33101,6840,13277,1664,12983,24093
125,33101,6840,13277,1664,12983,24093
126,33101,6841,13276,1664,12983,24092
127,33101,6840,13278,1664,12983,24093
128,33101,6840,13277,1664,12983,24093
129,33101,6839,13278,1664,12983,24094
130,33101,6839,13278,1664,12983,24094
