timestamp,total,used,free,shared,buff/cache,available
0,33101,9711,9103,2709,14286,20144
1,33101,9685,9129,2709,14286,20169
2,33101,9685,9129,2709,14286,20169
3,33101,9685,9128,2709,14286,20169
4,33101,9686,9128,2709,14286,20169
5,33101,10338,8476,2709,14286,19517
6,33101,10693,8120,2709,14287,19162
7,33101,10818,7994,2710,14288,19035
8,33101,10893,7918,2711,14288,18959
9,33101,10992,7819,2712,14290,18860
10,33101,11053,7757,2712,14290,18798
11,33101,11106,7704,2713,14291,18745
12,33101,11123,7685,2714,14292,18727
13,33101,11154,7654,2714,14292,18695
14,33101,11172,7635,2715,14293,18676
15,33101,11213,7593,2716,14294,18634
16,33101,11266,7540,2717,14295,18581
17,33101,11352,7453,2717,14295,18494
18,33101,11354,7451,2717,14295,18493
19,33101,11375,7429,2717,14296,18471
20,33101,11434,7369,2718,14296,18411
21,33101,11498,7305,2718,14296,18347
22,33101,11499,7305,2718,14296,18346
23,33101,11536,7267,2719,14297,18308
24,33101,11545,7257,2719,14297,18299
25,33101,11563,7240,2719,14298,18281
26,33101,11560,7242,2720,14298,18284
27,33101,11572,7229,2720,14298,18271
28,33101,11568,7233,2720,14298,18275
29,33101,11566,7236,2720,14299,18278
30,33101,11594,7207,2721,14299,18249
31,33101,11636,7164,2721,14300,18206
32,33101,11636,7164,2721,14300,18206
33,33101,11656,7144,2722,14300,18186
34,33101,11652,7148,2722,14300,18190
35,33101,11645,7154,2723,14301,18196
36,33101,11656,7142,2723,14302,18184
37,33101,11637,7161,2724,14303,18203
38,33101,11621,7176,2724,14303,18219
39,33101,11601,7194,2726,14305,18237
40,33101,11609,7186,2726,14305,18228
41,33101,11652,7142,2727,14306,18185
42,33101,11674,7119,2728,14307,18161
43,33101,11693,7101,2728,14307,18143
44,33101,11735,7058,2728,14307,18100
45,33101,11726,7067,2728,14307,18109
46,33101,11732,7060,2728,14308,18103
47,33101,11764,7028,2728,14308,18071
48,33101,11789,7002,2728,14308,18046
49,33101,11800,6992,2729,14308,18035
50,33101,11783,7008,2729,14309,18052
51,33101,11875,6916,2729,14309,17960
52,33101,11863,6928,2729,14309,17972
53,33101,11878,6913,2729,14309,17956
54,33101,11881,6909,2729,14309,17953
55,33101,11871,6920,2730,14310,17963
56,33101,11897,6893,2730,14310,17936
57,33101,11895,6894,2730,14310,17938
58,33101,11902,6887,2730,14311,17931
59,33101,11937,6851,2731,14311,17895
60,33101,11948,6840,2731,14312,17884
61,33101,11965,6823,2732,14312,17867
62,33101,11906,6882,2732,14313,17926
63,33101,11897,6891,2733,14313,17934
64,33101,11906,6880,2733,14314,17924
65,33101,11893,6892,2734,14315,17936
66,33101,11959,6826,2735,14315,17870
67,33101,11985,6799,2736,14316,17843
68,33101,11965,6819,2736,14317,17863
69,33101,11996,6787,2737,14318,17831
70,33101,11951,6831,2737,14318,17875
71,33101,11898,6883,2738,14319,17927
72,33101,11884,6897,2739,14319,17941
73,33101,11922,6858,2739,14320,17902
74,33101,11910,6870,2740,14321,17914
75,33101,11917,6861,2741,14322,17906
76,33101,11940,6838,2741,14322,17882
77,33101,11939,6838,2742,14323,17883
78,33101,11920,6856,2743,14324,17901
79,33101,11921,6855,2743,14325,17899
80,33101,11904,6871,2744,14325,17916
81,33101,11897,6877,2745,14326,17922
82,33101,11898,6876,2745,14326,17921
83,33101,11920,6853,2746,14327,17898
84,33101,11928,6844,2746,14328,17889
85,33101,11935,6837,2746,14328,17882
86,33101,11940,6832,2747,14328,17877
87,33101,11962,6810,2747,14329,17854
88,33101,11954,6817,2747,14329,17862
89,33101,11965,6806,2748,14330,17851
90,33101,11971,6799,2748,14330,17844
91,33101,11945,6825,2748,14330,17870
92,33101,11979,6791,2749,14330,17836
93,33101,11999,6770,2749,14331,17815
94,33101,11982,6787,2749,14331,17832
95,33101,11959,6809,2750,14332,17855
96,33101,11976,6792,2750,14332,17837
97,33101,11984,6783,2750,14332,17829
98,33101,12007,6760,2751,14333,17806
99,33101,12016,6751,2751,14333,17797
100,33101,12003,6764,2751,14333,17809
101,33101,12016,6750,2752,14334,17796
102,33101,12050,6716,2752,14334,17761
103,33101,12057,6709,2753,14335,17754
104,33101,12036,6729,2753,14335,17775
105,33101,12053,6712,2753,14335,17758
106,33101,12053,6711,2753,14336,17757
107,33101,12071,6693,2754,14336,17739
108,33101,12094,6669,2754,14337,17716
109,33101,12109,6654,2754,14337,17700
110,33101,12146,6617,2754,14337,17664
111,33101,12027,6736,2755,14337,17782
112,33101,12054,6708,2755,14338,17754
113,33101,12049,6713,2755,14338,17759
114,33101,12069,6692,2756,14339,17738
115,33101,12072,6689,2756,14339,17735
116,33101,12073,6687,2757,14340,17733
117,33101,12071,6688,2758,14341,17735
118,33101,12067,6692,2758,14342,17739
119,33101,12089,6669,2759,14343,17716
120,33101,12038,6719,2760,14343,17766
121,33101,9692,9063,2761,14344,20110
122,33101,9691,9064,2761,14344,20111
123,33101,9691,9065,2761,14344,20112
124,33101,9691,9065,2761,14344,20112
125,33101,9691,9064,2761,14344,20111
126,33101,9692,9064,2761,14345,20111
127,33101,9688,9067,2761,14345,20114
128,33101,9688,9067,2761,14345,20115
129,33101,9688,9067,2761,14345,20114
130,33101,9688,9067,2761,14345,20114
131,33101,9716,9040,2761,14345,20087
