timestamp,total,used,free,shared,buff/cache,available
0,33101,5188,14579,1605,13334,25833
1,33101,5188,14579,1605,13334,25833
2,33101,5188,14578,1605,13334,25833
3,33101,5188,14578,1605,13334,25833
4,33101,5188,14578,1605,13334,25833
5,33101,5930,13836,1605,13334,25091
6,33101,6199,13567,1605,13334,24822
7,33101,6366,13399,1607,13335,24654
8,33101,6410,13355,1607,13335,24610
9,33101,6505,13258,1608,13337,24513
10,33101,6577,13186,1609,13338,24441
11,33101,6635,13127,1610,13338,24382
12,33101,6661,13100,1610,13339,24355
13,33101,6667,13093,1611,13340,24348
14,33101,6687,13072,1612,13341,24328
15,33101,6728,13030,1613,13342,24285
16,33101,6762,12996,1614,13343,24251
17,33101,6781,12976,1614,13343,24231
18,33101,6785,12971,1615,13344,24227
19,33101,6781,12974,1616,13345,24229
20,33101,6802,12951,1618,13347,24206
21,33101,6831,12921,1619,13348,24177
22,33101,6842,12910,1620,13349,24165
23,33101,6846,12904,1621,13350,24160
24,33101,6855,12894,1622,13351,24150
25,33101,6870,12878,1623,13352,24133
26,33101,6914,12833,1624,13353,24088
27,33101,6902,12844,1625,13354,24100
28,33101,6892,12853,1626,13355,24108
29,33101,6916,12828,1627,13356,24083
30,33101,6945,12797,1628,13357,24053
31,33101,6941,12801,1629,13359,24057
32,33101,6979,12762,1629,13359,24019
33,33101,6963,12778,1629,13359,24034
34,33101,7015,12725,1630,13360,23981
35,33101,6992,12748,1631,13361,24004
36,33101,7016,12722,1632,13362,23979
37,33101,7006,12732,1632,13362,23989
38,33101,7028,12709,1633,13363,23966
39,33101,7030,12707,1633,13363,23964
40,33101,7046,12691,1633,13364,23947
41,33101,7070,12666,1634,13364,23922
42,33101,7062,12674,1634,13365,23930
43,33101,7047,12687,1635,13365,23944
44,33101,7071,12662,1636,13366,23919
45,33101,7068,12666,1636,13366,23922
46,33101,7076,12658,1636,13367,23914
47,33101,7092,12640,1637,13368,23897
48,33101,7047,12685,1637,13368,23942
49,33101,7092,12639,1638,13369,23896
50,33101,7097,12634,1639,13370,23890
51,33101,7081,12648,1640,13371,23905
52,33101,7086,12642,1641,13372,23899
53,33101,7117,12610,1642,13373,23867
54,33101,7081,12645,1643,13374,23903
55,33101,7082,12643,1644,13375,23901
56,33101,7117,12607,1645,13376,23864
57,33101,7116,12607,1646,13377,23865
58,33101,7090,12632,1647,13378,23889
59,33101,7103,12618,1648,13379,23875
60,33101,7094,12627,1648,13379,23884
61,33101,7079,12640,1650,13381,23897
62,33101,7105,12614,1650,13382,23871
63,33101,7120,12598,1652,13383,23855
64,33101,7101,12616,1653,13384,23873
65,33101,7088,12628,1653,13385,23886
66,33101,7117,12597,1654,13386,23855
67,33101,7116,12597,1655,13387,23855
68,33101,7117,12596,1656,13387,23854
69,33101,7093,12619,1657,13388,23877
70,33101,5195,14516,1657,13389,25774
71,33101,5195,14516,1657,13389,25774
72,33101,5194,14517,1657,13389,25775
73,33101,5195,14516,1657,13389,25774
74,33101,5194,14517,1657,13389,25775
75,33101,5195,14516,1657,13389,25774
76,33101,5195,14516,1657,13389,25774
77,33101,5194,14517,1657,13389,25775
78,33101,5194,14517,1657,13389,25775
79,33101,5195,14516,1657,13389,25774
80,33101,5195,14516,1657,13389,25774
81,33101,5194,14516,1657,13389,25775
82,33101,5194,14516,1657,13389,25775
83,33101,5194,14517,1657,13389,25775
84,33101,5193,14517,1657,13389,25776
85,33101,5193,14517,1657,13389,25776
86,33101,5193,14517,1657,13389,25776
87,33101,5193,14518,1657,13389,25776
88,33101,5193,14518,1657,13389,25776
89,33101,5193,14518,1657,13389,25776
90,33101,5193,14518,1657,13389,25776
91,33101,5193,14518,1657,13390,25776
92,33101,5193,14517,1657,13390,25776
93,33101,5193,14517,1657,13390,25776
94,33101,5193,14517,1657,13390,25776
95,33101,5193,14517,1657,13390,25776
96,33101,5193,14518,1657,13390,25776
97,33101,5193,14517,1657,13390,25776
98,33101,5192,14518,1657,13390,25777
99,33101,5193,14517,1657,13390,25776
100,33101,5193,14518,1657,13390,25776
101,33101,5193,14517,1657,13390,25776
102,33101,5192,14517,1657,13390,25776
103,33101,5193,14517,1657,13390,25776
104,33101,5193,14517,1657,13390,25776
105,33101,5193,14517,1657,13390,25776
106,33101,5193,14517,1657,13390,25776
107,33101,5192,14518,1657,13390,25776
108,33101,5193,14517,1657,13390,25776
109,33101,5193,14517,1657,13390,25776
110,33101,5193,14517,1657,13390,25776
111,33101,5193,14517,1657,13390,25776
112,33101,5193,14517,1657,13390,25776
113,33101,5193,14517,1658,13390,25776
114,33101,5193,14517,1658,13390,25776
115,33101,5193,14517,1658,13390,25776
116,33101,5193,14517,1658,13390,25776
117,33101,5193,14517,1658,13390,25776
118,33101,5193,14517,1658,13390,25776
119,33101,5193,14517,1658,13390,25776
120,33101,5193,14517,1658,13390,25776
121,33101,5193,14517,1658,13391,25776
122,33101,5193,14516,1658,13391,25776
123,33101,5193,14516,1658,13391,25776
124,33101,5193,14517,1658,13391,25776
125,33101,5193,14517,1658,13391,25776
126,33101,5193,14516,1658,13391,25775
127,33101,5192,14517,1658,13391,25777
128,33101,5192,14517,1658,13391,25776
129,33101,5191,14518,1658,13391,25777
130,33101,5192,14518,1658,13391,25777
131,33101,5191,14518,1658,13391,25778
