timestamp,total,used,free,shared,buff/cache,available
0,33101,6644,3918,6274,22538,19498
1,33101,6644,3918,6274,22538,19499
2,33101,6644,3918,6274,22538,19499
3,33101,6644,3919,6274,22538,19499
4,33101,6644,3919,6274,22538,19499
5,33101,7379,3184,6274,22538,18764
6,33101,7638,2924,6274,22538,18504
7,33101,7775,2785,6275,22540,18366
8,33101,7921,2638,6277,22541,18219
9,33101,8011,2548,6278,22542,18128
10,33101,8005,2552,6279,22543,18133
11,33101,8040,2516,6280,22544,18097
12,33101,8064,2491,6281,22545,18072
13,33101,8080,2474,6282,22546,18055
14,33101,8112,2441,6283,22547,18022
15,33101,8170,2382,6284,22548,17963
16,33101,8225,2326,6285,22549,17907
17,33101,8271,2279,6285,22550,17860
18,33101,8291,2258,6286,22550,17839
19,33101,8315,2234,6287,22551,17815
20,33101,8350,2199,6287,22552,17780
21,33101,8351,2197,6288,22552,17778
22,33101,8377,2170,6288,22553,17751
23,33101,8397,2150,6289,22554,17731
24,33101,8393,2152,6290,22554,17733
25,33101,8425,2120,6290,22555,17701
26,33101,8468,2076,6291,22556,17657
27,33101,8436,2108,6291,22556,17689
28,33101,8470,2073,6292,22557,17654
29,33101,8483,2060,6293,22558,17641
30,33101,8460,2082,6293,22558,17663
31,33101,8474,2067,6294,22559,17648
32,33101,8467,2073,6295,22560,17655
33,33101,8484,2055,6296,22561,17637
34,33101,8494,2045,6297,22562,17626
35,33101,8479,2058,6297,22562,17640
36,33101,8505,2031,6298,22563,17613
37,33101,8510,2026,6299,22564,17607
38,33101,8512,2023,6300,22565,17604
39,33101,8526,2008,6301,22566,17590
40,33101,8483,2050,6301,22567,17632
41,33101,8498,2034,6302,22568,17616
42,33101,8486,2045,6304,22569,17627
43,33101,8544,1987,6305,22570,17568
44,33101,8519,2011,6305,22570,17593
45,33101,8516,2013,6306,22572,17595
46,33101,8537,1990,6307,22572,17573
47,33101,8488,2038,6308,22573,17621
48,33101,8521,2005,6308,22574,17587
49,33101,8515,2010,6309,22575,17592
50,33101,8564,1960,6310,22576,17542
51,33101,8539,1984,6311,22577,17566
52,33101,8544,1978,6312,22578,17561
53,33101,8532,1989,6313,22579,17572
54,33101,8531,1990,6313,22579,17572
55,33101,8564,1956,6314,22580,17539
56,33101,8560,1959,6315,22581,17542
57,33101,8607,1911,6316,22582,17493
58,33101,8614,1904,6316,22582,17487
59,33101,8611,1906,6316,22582,17489
60,33101,8619,1898,6317,22583,17481
61,33101,8651,1866,6317,22584,17449
62,33101,8658,1858,6318,22584,17441
63,33101,8675,1841,6318,22585,17424
64,33101,8678,1837,6318,22585,17420
65,33101,8711,1804,6318,22585,17387
66,33101,8731,1783,6319,22585,17366
67,33101,8745,1770,6319,22585,17353
68,33101,8747,1768,6319,22586,17351
69,33101,8792,1722,6319,22586,17305
70,33101,8792,1722,6319,22586,17305
71,33101,8792,1722,6320,22586,17305
72,33101,8784,1729,6320,22587,17312
73,33101,8792,1721,6320,22587,17304
74,33101,8787,1725,6321,22587,17308
75,33101,8814,1697,6321,22588,17281
76,33101,8747,1764,6322,22589,17347
77,33101,8739,1772,6322,22589,17355
78,33101,8750,1760,6323,22590,17343
79,33101,8761,1749,6324,22591,17332
80,33101,8757,1751,6325,22592,17335
81,33101,8740,1767,6326,22593,17350
82,33101,6652,3855,6326,22593,19438
83,33101,6650,3857,6326,22593,19440
84,33101,6651,3857,6326,22593,19440
85,33101,6650,3857,6326,22593,19440
86,33101,6650,3857,6326,22593,19440
87,33101,6650,3857,6326,22593,19440
88,33101,6650,3857,6326,22593,19440
89,33101,6650,3857,6326,22593,19441
90,33101,6650,3857,6326,22593,19441
91,33101,6649,3858,6326,22593,19441
92,33101,6649,3858,6326,22593,19441
93,33101,6650,3857,6326,22593,19441
94,33101,6649,3858,6326,22593,19441
95,33101,6649,3858,6326,22593,19441
96,33101,6650,3857,6326,22593,19441
97,33101,6650,3857,6326,22593,19441
98,33101,6650,3857,6326,22593,19441
99,33101,6650,3857,6326,22593,19441
100,33101,6649,3857,6326,22593,19441
101,33101,6649,3857,6326,22593,19441
102,33101,6649,3858,6326,22593,19441
103,33101,6650,3857,6326,22593,19441
104,33101,6650,3857,6326,22593,19441
105,33101,6650,3857,6326,22594,19441
106,33101,6650,3856,6326,22594,19441
107,33101,6650,3856,6326,22594,19440
108,33101,6650,3856,6326,22594,19441
109,33101,6650,3856,6326,22594,19441
110,33101,6650,3856,6326,22594,19441
111,33101,6650,3856,6326,22594,19441
112,33101,6650,3856,6326,22594,19440
113,33101,6650,3856,6326,22594,19440
114,33101,6651,3856,6326,22594,19440
115,33101,6650,3856,6326,22594,19440
116,33101,6650,3856,6326,22594,19441
117,33101,6650,3856,6326,22594,19441
118,33101,6650,3856,6326,22594,19441
119,33101,6650,3856,6326,22594,19441
120,33101,6650,3856,6326,22594,19440
121,33101,6650,3856,6326,22594,19440
122,33101,6650,3856,6326,22594,19440
123,33101,6650,3857,6326,22594,19441
124,33101,6650,3856,6326,22594,19441
125,33101,6650,3857,6326,22594,19441
126,33101,6651,3855,6326,22594,19440
127,33101,6648,3858,6326,22594,19442
128,33101,6648,3858,6326,22594,19442
129,33101,6648,3858,6326,22594,19442
130,33101,6648,3858,6326,22594,19443
131,33101,6649,3857,6326,22594,19441
