timestamp,total,used,free,shared,buff/cache,available
0,33101,4488,16391,1602,12221,26528
1,33101,4488,16390,1602,12221,26528
2,33101,4489,16390,1602,12221,26528
3,33101,4488,16391,1602,12221,26528
4,33101,4488,16391,1602,12221,26528
5,33101,5123,15755,1602,12221,25893
6,33101,5563,15316,1602,12221,25453
7,33101,5641,15237,1602,12222,25375
8,33101,5749,15128,1603,12222,25266
9,33101,5821,15056,1603,12223,25194
10,33101,5820,15057,1603,12223,25195
11,33101,5876,15001,1603,12223,25139
12,33101,5970,14907,1603,12223,25044
13,33101,6004,14872,1604,12224,25010
14,33101,6039,14837,1604,12224,24975
15,33101,6048,14827,1605,12225,24965
16,33101,6071,14804,1605,12225,24942
17,33101,6071,14804,1606,12226,24942
18,33101,6085,14789,1606,12226,24927
19,33101,6089,14784,1607,12227,24922
20,33101,6120,14752,1608,12228,24890
21,33101,6153,14718,1609,12229,24856
22,33101,6161,14710,1609,12229,24848
23,33101,6205,14664,1610,12230,24802
24,33101,6243,14627,1610,12231,24765
25,33101,6258,14611,1611,12231,24749
26,33101,6238,14630,1612,12232,24769
27,33101,6290,14577,1613,12233,24716
28,33101,6285,14582,1613,12234,24720
29,33101,6298,14567,1614,12235,24706
30,33101,6322,14542,1615,12236,24681
31,33101,6309,14554,1616,12237,24693
32,33101,6356,14507,1617,12238,24646
33,33101,6344,14518,1617,12238,24657
34,33101,6352,14509,1618,12239,24648
35,33101,6340,14521,1618,12239,24660
36,33101,6371,14489,1619,12240,24628
37,33101,6374,14485,1620,12241,24624
38,33101,6403,14455,1620,12241,24594
39,33101,6390,14468,1621,12242,24607
40,33101,6370,14488,1621,12243,24627
41,33101,6427,14429,1622,12244,24569
42,33101,6383,14473,1623,12244,24613
43,33101,6412,14442,1624,12245,24582
44,33101,6393,14461,1625,12246,24600
45,33101,6380,14473,1625,12246,24613
46,33101,6396,14456,1626,12247,24596
47,33101,6429,14423,1626,12248,24563
48,33101,6405,14446,1627,12249,24586
49,33101,6406,14445,1628,12249,24585
50,33101,6427,14423,1628,12250,24563
51,33101,6439,14410,1629,12251,24550
52,33101,6418,14430,1630,12251,24570
53,33101,6412,14436,1630,12252,24576
54,33101,6436,14412,1631,12253,24551
55,33101,6421,14426,1631,12253,24566
56,33101,6448,14398,1632,12254,24538
57,33101,6460,14385,1633,12255,24525
58,33101,6428,14416,1634,12256,24556
59,33101,6457,14387,1635,12257,24527
60,33101,6431,14412,1635,12257,24552
61,33101,6405,14437,1636,12258,24577
62,33101,6432,14409,1637,12259,24549
63,33101,6451,14389,1637,12259,24529
64,33101,6411,14428,1638,12260,24569
65,33101,6490,14349,1639,12261,24490
66,33101,6472,14367,1639,12261,24508
67,33101,6491,14347,1640,12262,24487
68,33101,6468,14369,1640,12263,24510
69,33101,6489,14347,1641,12263,24488
70,33101,6489,14347,1642,12264,24487
71,33101,6492,14343,1642,12265,24484
72,33101,6505,14329,1643,12266,24470
73,33101,6500,14333,1644,12267,24474
74,33101,6496,14337,1644,12267,24478
75,33101,6500,14333,1645,12268,24473
76,33101,6487,14345,1646,12269,24485
77,33101,6499,14332,1646,12269,24472
78,33101,6522,14308,1647,12270,24449
79,33101,6519,14311,1647,12270,24452
80,33101,6502,14327,1648,12271,24468
81,33101,6495,14333,1649,12272,24474
82,33101,6520,14307,1650,12273,24448
83,33101,6521,14304,1651,12275,24445
84,33101,6504,14321,1652,12275,24462
85,33101,6447,14377,1653,12277,24518
86,33101,4495,16328,1654,12277,26469
87,33101,4495,16328,1654,12277,26469
88,33101,4495,16328,1654,12277,26469
89,33101,4495,16328,1654,12277,26470
90,33101,4495,16327,1654,12278,26469
91,33101,4495,16327,1654,12278,26469
92,33101,4495,16327,1654,12278,26469
93,33101,4495,16327,1654,12278,26469
94,33101,4495,16328,1654,12278,26469
95,33101,4494,16328,1654,12278,26470
96,33101,4495,16327,1654,12278,26469
97,33101,4495,16327,1654,12278,26469
98,33101,4495,16327,1654,12278,26469
99,33101,4495,16327,1654,12278,26469
100,33101,4496,16327,1654,12278,26468
101,33101,4495,16327,1654,12278,26469
102,33101,4495,16327,1654,12278,26469
103,33101,4495,16328,1654,12278,26470
104,33101,4495,16327,1654,12278,26469
105,33101,4495,16327,1654,12278,26469
106,33101,4495,16327,1654,12278,26469
107,33101,4495,16327,1654,12278,26469
108,33101,4495,16327,1654,12278,26469
109,33101,4495,16327,1654,12278,26469
110,33101,4495,16327,1654,12278,26469
111,33101,4495,16327,1654,12278,26469
112,33101,4495,16327,1654,12278,26469
113,33101,4495,16327,1654,12278,26469
114,33101,4495,16327,1654,12278,26469
115,33101,4495,16327,1654,12278,26469
116,33101,4495,16327,1654,12278,26469
117,33101,4495,16327,1654,12278,26469
118,33101,4495,16327,1654,12278,26469
119,33101,4496,16326,1654,12278,26469
120,33101,4495,16327,1654,12278,26469
121,33101,4495,16326,1654,12278,26469
122,33101,4495,16327,1654,12278,26469
123,33101,4495,16326,1654,12278,26469
124,33101,4495,16327,1654,12278,26469
125,33101,4495,16327,1654,12278,26469
126,33101,4497,16325,1654,12278,26467
127,33101,4495,16327,1654,12278,26469
128,33101,4494,16328,1654,12278,26470
129,33101,4521,16300,1654,12278,26443
130,33101,4494,16328,1654,12278,26470
131,33101,4494,16328,1654,12278,26470
