timestamp,total,used,free,shared,buff/cache,available
0,33101,5403,14819,1254,12878,25970
1,33101,5403,14819,1254,12878,25970
2,33101,5403,14819,1254,12878,25970
3,33101,5402,14819,1254,12878,25970
4,33101,5403,14819,1254,12878,25970
5,33101,6041,14180,1254,12878,25332
6,33101,6519,13703,1254,12879,24854
7,33101,6558,13664,1254,12879,24815
8,33101,6568,13654,1254,12879,24805
9,33101,6732,13489,1255,12880,24640
10,33101,6748,13473,1255,12880,24624
11,33101,6783,13437,1255,12880,24588
12,33101,6821,13399,1255,12880,24550
13,33101,6882,13337,1256,12881,24488
14,33101,6954,13265,1256,12881,24416
15,33101,7036,13183,1256,12881,24334
16,33101,7059,13160,1256,12881,24311
17,33101,7064,13154,1257,12882,24305
18,33101,7077,13142,1257,12882,24293
19,33101,7069,13148,1257,12882,24300
20,33101,7105,13112,1258,12883,24264
21,33101,7141,13076,1258,12883,24227
22,33101,7102,13114,1259,12884,24266
23,33101,7148,13068,1260,12885,24219
24,33101,7115,13099,1260,12886,24251
25,33101,7147,13066,1261,12887,24218
26,33101,7170,13043,1262,12887,24195
27,33101,7201,13011,1263,12888,24162
28,33101,7220,12991,1264,12889,24143
29,33101,7242,12968,1265,12890,24120
30,33101,7209,13001,1265,12891,24152
31,33101,7263,12945,1266,12892,24097
32,33101,7257,12950,1267,12893,24102
33,33101,7271,12936,1268,12894,24088
34,33101,7275,12930,1269,12894,24083
35,33101,7298,12907,1269,12895,24059
36,33101,7283,12921,1270,12896,24073
37,33101,7270,12933,1271,12897,24086
38,33101,7299,12903,1272,12898,24055
39,33101,7320,12881,1273,12899,24033
40,33101,7322,12878,1274,12900,24030
41,33101,7263,12935,1275,12901,24088
42,33101,7293,12905,1276,12902,24057
43,33101,7301,12896,1277,12903,24049
44,33101,7322,12874,1278,12904,24026
45,33101,7328,12867,1279,12905,24020
46,33101,7349,12845,1279,12906,23998
47,33101,7305,12889,1280,12906,24042
48,33101,7319,12875,1280,12906,24028
49,33101,7355,12838,1280,12907,23991
50,33101,7370,12822,1281,12907,23975
51,33101,7404,12788,1281,12908,23941
52,33101,7397,12794,1282,12908,23947
53,33101,7385,12806,1282,12909,23959
54,33101,7410,12780,1283,12909,23933
55,33101,7416,12774,1283,12910,23927
56,33101,7415,12775,1284,12910,23928
57,33101,7419,12771,1284,12911,23924
58,33101,7416,12773,1285,12912,23926
59,33101,7358,12830,1285,12912,23983
60,33101,7350,12837,1286,12913,23990
61,33101,7368,12818,1287,12914,23971
62,33101,7358,12827,1288,12915,23980
63,33101,7368,12816,1289,12916,23969
64,33101,7375,12808,1290,12917,23961
65,33101,7390,12792,1291,12918,23945
66,33101,7386,12795,1292,12919,23948
67,33101,7395,12785,1294,12921,23938
68,33101,7395,12784,1295,12922,23937
69,33101,7397,12781,1296,12923,23934
70,33101,7398,12778,1296,12923,23932
71,33101,7389,12786,1298,12925,23940
72,33101,7383,12791,1299,12926,23945
73,33101,7385,12788,1300,12927,23942
74,33101,7426,12746,1301,12928,23900
75,33101,7402,12769,1302,12929,23922
76,33101,7403,12767,1302,12930,23921
77,33101,7445,12724,1303,12931,23878
78,33101,7429,12740,1304,12931,23894
79,33101,7456,12712,1305,12932,23866
80,33101,7450,12717,1306,12934,23871
81,33101,7449,12717,1306,12934,23871
82,33101,7436,12730,1307,12934,23884
83,33101,5410,14755,1307,12935,25909
84,33101,5410,14756,1307,12935,25910
85,33101,5410,14756,1307,12935,25909
86,33101,5410,14756,1307,12935,25910
87,33101,5410,14756,1307,12935,25910
88,33101,5409,14756,1307,12934,25910
89,33101,5410,14756,1307,12935,25910
90,33101,5410,14755,1307,12935,25909
91,33101,5409,14756,1307,12935,25911
92,33101,5409,14756,1307,12935,25910
93,33101,5409,14756,1307,12935,25910
94,33101,5409,14756,1307,12935,25910
95,33101,5409,14756,1307,12935,25910
96,33101,5409,14756,1307,12935,25910
97,33101,5409,14756,1307,12935,25910
98,33101,5410,14755,1307,12935,25910
99,33101,5409,14756,1307,12935,25910
100,33101,5410,14755,1307,12935,25910
101,33101,5409,14756,1307,12935,25910
102,33101,5409,14756,1307,12935,25910
103,33101,5410,14756,1307,12935,25910
104,33101,5409,14755,1307,12935,25910
105,33101,5409,14755,1307,12935,25910
106,33101,5409,14756,1307,12935,25910
107,33101,5409,14756,1307,12935,25910
108,33101,5409,14756,1307,12935,25910
109,33101,5409,14756,1307,12935,25910
110,33101,5410,14755,1307,12935,25910
111,33101,5409,14755,1307,12935,25910
112,33101,5409,14756,1307,12935,25910
113,33101,5409,14755,1307,12935,25910
114,33101,5409,14755,1307,12935,25910
115,33101,5409,14755,1307,12935,25910
116,33101,5410,14755,1307,12935,25910
117,33101,5409,14755,1307,12935,25910
118,33101,5409,14756,1307,12935,25910
119,33101,5409,14756,1307,12935,25910
120,33101,5410,14755,1307,12935,25910
121,33101,5409,14755,1307,12936,25910
122,33101,5409,14756,1307,12936,25911
123,33101,5409,14756,1307,12936,25911
124,33101,5409,14755,1307,12936,25910
125,33101,5409,14755,1307,12936,25910
126,33101,5409,14755,1307,12936,25910
127,33101,5409,14756,1307,12936,25911
128,33101,5408,14756,1307,12936,25911
129,33101,5408,14756,1307,12936,25911
130,33101,5408,14756,1307,12936,25911
131,33101,5408,14756,1307,12936,25911
132,33101,5408,14756,1307,12936,25911
