timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651013192,0.3,0.4,31568.1,-0.0,-0.0,64512.0,7047.7,9254.7,21.5,79.1,0.0,0.0,3.6
1651013193,0.2,0.1,31568.1,-0.0,-0.0,64512.0,7047.7,9254.8,2.5,2.2,0.0,0.0,0.0
1651013194,0.1,0.1,31568.1,-0.0,-0.0,64512.0,7047.7,9254.8,2.5,2.2,4.0,0.0,159.6
1651013195,0.0,0.1,31568.1,-0.0,-0.0,64512.0,7047.7,9254.9,2.5,2.2,0.0,0.0,0.0
1651013196,0.0,0.0,31568.1,-0.0,-0.0,64512.0,7047.7,9254.9,2.6,2.1,0.0,0.0,0.0
1651013197,7.5,0.7,31568.1,-0.0,-0.0,64512.0,7047.8,9307.0,6.2,23.0,0.0,0.0,0.0
1651013198,8.5,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9312.4,6.3,400.4,0.0,0.0,0.0
1651013199,7.5,0.5,31568.1,-0.0,-0.0,64512.0,7047.8,9331.8,5.3,174.1,0.0,0.0,139.5
1651013200,9.5,1.0,31568.1,-0.0,-0.0,64512.0,7047.8,9339.6,2.7,2.3,0.0,0.0,0.0
1651013201,7.3,0.4,31568.1,-0.0,-0.0,64512.0,7047.8,9343.5,4.0,3.6,0.0,0.0,0.0
1651013202,8.7,0.8,31568.1,-0.0,-0.0,64512.0,7047.8,9347.6,31.5,4.1,0.0,0.0,0.0
1651013203,8.0,0.5,31568.1,-0.0,-0.0,64512.0,7047.8,9348.8,2.8,2.4,0.0,0.0,0.0
1651013204,7.8,0.6,31568.1,-0.0,-0.0,64512.0,7047.8,9367.4,2.9,2.1,0.0,0.0,0.0
1651013205,9.2,0.7,31568.1,-0.0,-0.0,64512.0,7047.8,9368.9,2.9,2.2,0.0,0.0,0.0
1651013206,8.8,0.8,31568.1,-0.0,-0.0,64512.0,7047.8,9369.9,2.9,2.1,0.0,0.0,0.0
1651013207,6.7,0.2,31568.1,-0.0,-0.0,64512.0,7047.8,9397.4,3.0,2.2,0.0,0.0,0.0
1651013208,9.2,1.1,31568.1,-0.0,-0.0,64512.0,7047.8,9399.3,3.0,2.0,4.0,0.0,16.0
1651013209,9.0,1.1,31568.1,-0.0,-0.0,64512.0,7047.8,9400.6,3.0,2.3,0.0,0.0,0.0
1651013210,9.6,1.2,31568.1,-0.0,-0.0,64512.0,7047.8,9403.6,3.1,2.2,0.0,0.0,0.0
1651013211,9.5,1.1,31568.1,-0.0,-0.0,64512.0,7047.8,9402.5,3.1,2.3,0.0,0.0,0.0
1651013212,9.2,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9404.6,3.2,2.2,0.0,0.0,0.0
1651013213,8.4,0.8,31568.1,-0.0,-0.0,64512.0,7047.8,9425.1,3.4,2.4,0.0,0.0,0.0
1651013214,6.9,0.4,31568.1,-0.0,-0.0,64512.0,7047.8,9428.1,3.2,2.0,0.0,0.0,0.0
1651013215,7.6,0.4,31568.1,-0.0,-0.0,64512.0,7047.8,9467.2,3.3,2.1,0.0,0.0,0.0
1651013216,9.0,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9470.3,3.3,2.1,0.0,0.0,0.0
1651013217,9.3,1.1,31568.1,-0.0,-0.0,64512.0,7047.8,9470.6,3.3,2.1,0.0,0.0,0.0
1651013218,8.0,0.4,31568.1,-0.0,-0.0,64512.0,7047.8,9468.9,3.4,1.9,3.0,0.0,15.9
1651013219,7.6,0.6,31568.1,-0.0,-0.0,64512.0,7047.8,9477.4,3.4,2.1,0.0,0.0,0.0
1651013220,8.7,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9484.2,3.4,2.1,0.0,0.0,0.0
1651013221,7.1,0.3,31568.1,-0.0,-0.0,64512.0,7047.8,9405.7,3.5,2.1,0.0,0.0,0.0
1651013222,8.0,0.7,31568.1,-0.0,-0.0,64512.0,7047.8,9407.8,4.0,2.5,0.0,0.0,0.0
1651013223,8.5,0.8,31568.1,-0.0,-0.0,64512.0,7047.8,9408.4,3.5,2.2,0.0,0.0,0.0
1651013224,7.5,0.5,31568.1,-0.0,-0.0,64512.0,7047.8,9442.8,3.6,2.1,0.0,0.0,812.6
1651013225,8.9,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9443.4,3.9,2.5,0.0,0.0,0.0
1651013226,8.9,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9444.0,3.7,2.3,0.0,0.0,0.0
1651013227,8.8,1.2,31568.1,-0.0,-0.0,64512.0,7047.8,9446.1,3.8,2.1,0.0,0.0,0.0
1651013228,7.6,0.5,31568.1,-0.0,-0.0,64512.0,7047.8,9449.2,3.8,2.1,4.0,0.0,43.9
1651013229,6.7,0.2,31568.1,-0.0,-0.0,64512.0,7047.8,9457.7,3.8,2.2,0.0,0.0,0.0
1651013230,9.1,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9466.7,4.0,2.1,0.0,0.0,0.0
1651013231,8.0,0.6,31568.1,-0.0,-0.0,64512.0,7047.8,9460.6,3.9,2.5,0.0,0.0,0.0
1651013232,7.9,0.7,31568.1,-0.0,-0.0,64512.0,7047.8,9453.5,3.9,1.9,0.0,0.0,0.0
1651013233,9.7,1.1,31568.1,-0.0,-0.0,64512.0,7047.8,9454.8,85.7,2.9,0.0,0.0,0.0
1651013234,9.3,1.0,31568.1,-0.0,-0.0,64512.0,7047.8,9461.4,4.0,2.1,0.0,0.0,0.0
1651013235,8.0,0.7,31568.1,-0.0,-0.0,64512.0,7047.8,9455.6,4.1,2.1,0.0,0.0,4.0
1651013236,6.6,0.2,31568.1,-0.0,-0.0,64512.0,7047.8,9459.1,4.1,2.0,0.0,0.0,0.0
1651013237,8.8,1.0,31568.1,-0.0,-0.0,64512.0,7047.8,9466.0,4.1,2.2,0.0,0.0,0.0
1651013238,9.0,1.1,31568.1,-0.0,-0.0,64512.0,7047.8,9462.5,4.2,2.1,2.0,0.0,16.0
1651013239,7.2,0.4,31568.1,-0.0,-0.0,64512.0,7047.8,9456.4,4.2,2.1,0.0,0.0,0.0
1651013240,7.8,0.6,31568.1,-0.0,-0.0,64512.0,7047.8,9474.0,4.2,2.0,0.0,0.0,35.9
1651013241,9.3,1.1,31568.1,-0.0,-0.0,64512.0,7047.8,9472.3,4.3,2.2,0.0,0.0,0.0
1651013242,6.8,0.4,31568.1,-0.0,-0.0,64512.0,7047.8,9470.1,4.3,2.1,0.0,0.0,0.0
1651013243,8.7,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9472.4,4.3,2.1,0.0,0.0,0.0
1651013244,9.2,1.2,31568.1,-0.0,-0.0,64512.0,7047.8,9473.0,4.4,2.3,0.0,0.0,0.0
1651013245,7.0,0.4,31568.1,-0.0,-0.0,64512.0,7047.8,9465.9,4.4,2.0,0.0,0.0,0.0
1651013246,8.4,0.7,31568.1,-0.0,-0.0,64512.0,7047.8,9466.9,4.4,2.1,0.0,0.0,0.0
1651013247,7.6,0.5,31568.1,-0.0,-0.0,64512.0,7047.8,9454.9,4.5,2.1,0.0,0.0,0.0
1651013248,8.3,0.8,31568.1,-0.0,-0.0,64512.0,7047.8,9488.1,4.5,2.1,3.0,0.0,16.0
1651013249,8.0,0.7,31568.1,-0.0,-0.0,64512.0,7047.8,9484.5,4.6,2.1,0.0,0.0,0.0
1651013250,7.6,0.6,31568.1,-0.0,-0.0,64512.0,7047.8,9509.6,4.6,2.1,0.0,0.0,0.0
1651013251,9.3,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9512.5,4.6,2.1,0.0,0.0,0.0
1651013252,9.5,1.0,31568.1,-0.0,-0.0,64512.0,7047.8,9511.2,5.4,2.9,0.0,0.0,0.0
1651013253,9.5,1.1,31568.1,-0.0,-0.0,64512.0,7047.8,9513.8,4.7,2.4,0.0,0.0,0.0
1651013254,9.2,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9511.8,4.7,2.1,0.0,0.0,0.0
1651013255,8.5,0.7,31568.1,-0.0,-0.0,64512.0,7047.8,9520.7,5.0,2.4,0.0,0.0,27.9
1651013256,7.2,0.3,31568.1,-0.0,-0.0,64512.0,7047.8,9520.8,4.8,2.3,0.0,0.0,0.0
1651013257,7.6,0.6,31568.1,-0.0,-0.0,64512.0,7047.8,9501.9,5.1,2.8,0.0,0.0,0.0
1651013258,8.8,0.9,31568.1,-0.0,-0.0,64512.0,7047.8,9502.2,4.9,2.3,3.0,0.0,27.9
1651013259,7.5,0.6,31568.1,-0.0,-0.0,64512.0,7047.8,9499.0,4.9,2.4,0.0,0.0,0.0
1651013260,8.1,0.7,31568.1,-0.0,-0.0,64512.0,7047.8,9502.9,5.0,2.6,0.0,0.0,4.0
1651013261,9.7,1.0,31568.1,-0.0,-0.0,64512.0,7047.9,9503.3,5.0,2.7,0.0,0.0,0.0
1651013262,9.7,0.9,31568.1,-0.0,-0.0,64512.0,7047.9,9501.3,6.8,4.1,0.0,0.0,0.0
1651013263,6.7,0.2,31568.1,-0.0,-0.0,64512.0,7047.9,9527.4,5.1,2.2,0.0,0.0,0.0
1651013264,8.8,1.2,31568.1,-0.0,-0.0,64512.0,7047.9,9536.1,89.4,4.1,0.0,0.0,0.0
1651013265,8.9,0.9,31568.1,-0.0,-0.0,64512.0,7047.9,9530.4,5.2,2.4,4.0,0.0,598.6
