timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651060877,0.3,0.6,31568.1,-0.0,-0.0,61217.3,7472.8,10516.6,24.5,81.3,0.0,0.0,3.6
1651060878,0.0,0.0,31568.1,-0.0,-0.0,61217.3,7472.8,10516.8,3.4,2.6,0.0,0.0,0.0
1651060879,0.1,0.1,31568.1,-0.0,-0.0,61217.3,7472.8,10516.8,3.5,2.9,0.0,0.0,0.0
1651060880,0.0,0.0,31568.1,-0.0,-0.0,61217.3,7472.8,10516.8,3.4,2.8,0.0,0.0,0.0
1651060881,0.2,0.1,31568.1,-0.0,-0.0,61217.3,7472.8,10516.8,3.4,2.8,0.0,0.0,0.0
1651060882,6.9,0.7,31568.1,-0.0,-0.0,61217.3,7472.9,10560.8,23.3,28.7,3.0,0.0,75.5
1651060883,7.5,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10578.9,4.9,3.9,0.0,0.0,0.0
1651060884,7.7,0.8,31568.1,-0.0,-0.0,61217.3,7472.9,10591.3,3.6,2.7,0.0,0.0,0.0
1651060885,7.3,0.4,31568.1,-0.0,-0.0,61217.3,7472.9,10602.6,3.6,2.7,0.0,0.0,0.0
1651060886,7.0,0.4,31568.1,-0.0,-0.0,61217.3,7472.9,10614.9,3.6,2.7,0.0,0.0,1044.6
1651060887,8.1,0.7,31568.1,-0.0,-0.0,61217.3,7472.9,10611.1,24.8,3.2,0.0,0.0,0.0
1651060888,7.7,0.8,31568.1,-0.0,-0.0,61217.3,7472.9,10624.6,3.7,2.7,0.0,0.0,0.0
1651060889,7.4,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10630.6,3.7,2.7,0.0,0.0,0.0
1651060890,7.4,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10640.0,3.9,2.7,0.0,0.0,0.0
1651060891,7.8,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10637.1,3.8,2.7,7.0,0.0,119.5
1651060892,7.1,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10638.0,25.0,3.3,0.0,0.0,0.0
1651060893,7.7,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10634.2,3.9,2.8,0.0,0.0,0.0
1651060894,7.4,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10637.0,3.9,2.7,0.0,0.0,0.0
1651060895,8.0,0.7,31568.1,-0.0,-0.0,61217.3,7472.9,10637.2,4.0,2.7,0.0,0.0,0.0
1651060896,7.7,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10641.9,4.0,2.7,1.0,0.0,27.9
1651060897,7.2,0.4,31568.1,-0.0,-0.0,61217.3,7472.9,10644.4,26.7,3.3,0.0,0.0,0.0
1651060898,7.4,0.7,31568.1,-0.0,-0.0,61217.3,7472.9,10645.0,4.0,2.7,0.0,0.0,0.0
1651060899,7.7,0.7,31568.1,-0.0,-0.0,61217.3,7472.9,10636.9,4.1,2.8,0.0,0.0,0.0
1651060900,7.5,0.4,31568.1,-0.0,-0.0,61217.3,7472.9,10629.1,4.1,2.8,0.0,0.0,0.0
1651060901,7.5,0.4,31568.1,-0.0,-0.0,61217.3,7472.9,10646.8,4.2,2.7,0.0,0.0,0.0
1651060902,8.3,0.7,31568.1,-0.0,-0.0,61217.3,7472.9,10644.2,4.2,2.8,3.0,0.0,31.9
1651060903,7.2,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10648.7,23.7,3.2,0.0,0.0,0.0
1651060904,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10652.4,4.2,2.6,0.0,0.0,0.0
1651060905,7.1,0.3,31568.1,-0.0,-0.0,61217.3,7472.9,10655.8,4.3,2.7,0.0,0.0,0.0
1651060906,7.5,0.5,31568.1,-0.0,-0.0,61217.3,7472.9,10652.1,4.4,2.7,0.0,0.0,0.0
1651060908,7.4,0.7,31568.1,-0.0,-0.0,61217.3,7472.9,10654.6,5.2,3.6,3.0,0.0,3.0
1651060909,7.5,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10656.5,25.4,3.3,0.0,0.0,0.0
1651060910,7.5,0.6,31568.1,-0.0,-0.0,61217.3,7472.9,10642.2,4.4,2.8,0.0,0.0,0.0
1651060911,8.3,0.7,31568.1,-0.0,-0.0,61217.3,7472.9,10642.3,4.5,2.9,0.0,0.0,0.0
1651060912,7.9,0.7,31568.1,-0.0,-0.0,61217.3,7472.9,10647.8,4.6,2.8,0.0,0.0,8.0
1651060913,7.1,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10650.0,4.6,3.4,0.0,0.0,0.0
1651060914,7.4,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10645.6,26.2,3.3,1.0,0.0,19.9
1651060915,8.3,0.8,31568.1,-0.0,-0.0,61217.3,7473.0,10645.6,4.7,2.8,0.0,0.0,0.0
1651060916,7.2,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10647.9,5.2,3.2,0.0,0.0,0.0
1651060917,7.6,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10652.9,4.8,3.0,0.0,0.0,0.0
1651060918,7.0,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10653.2,4.8,2.7,0.0,0.0,0.0
1651060919,7.3,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10650.3,21.8,3.4,0.0,0.0,0.0
1651060920,7.2,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10654.8,4.9,2.8,0.0,0.0,0.0
1651060921,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10651.9,5.1,3.2,0.0,0.0,0.0
1651060922,8.5,1.0,31568.1,-0.0,-0.0,61217.3,7473.0,10650.0,5.0,2.8,1.0,0.0,1079.3
1651060923,8.2,0.9,31568.1,-0.0,-0.0,61217.3,7473.0,10661.7,5.0,2.9,0.0,0.0,0.0
1651060924,7.3,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10661.3,26.7,3.7,0.0,0.0,0.0
1651060925,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10675.1,5.2,2.9,0.0,0.0,0.0
1651060926,8.2,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10679.4,5.1,2.8,0.0,0.0,0.0
1651060927,7.4,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10678.7,5.1,2.8,2.0,0.0,27.9
1651060928,7.5,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10682.8,5.2,2.7,0.0,0.0,0.0
1651060929,7.1,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10665.8,22.9,3.4,0.0,0.0,0.0
1651060930,7.0,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10662.0,5.3,2.8,0.0,0.0,0.0
1651060931,7.6,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10660.1,5.3,2.9,0.0,0.0,0.0
1651060932,7.5,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10663.7,5.3,2.8,0.0,0.0,0.0
1651060933,7.6,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10665.7,5.4,2.8,0.0,0.0,4.0
1651060934,7.4,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10667.9,24.9,3.3,0.0,0.0,0.0
1651060935,8.1,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10680.6,5.4,2.7,0.0,0.0,0.0
1651060936,7.0,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10686.9,5.5,2.8,0.0,0.0,0.0
1651060937,7.3,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10687.8,5.8,3.1,3.0,0.0,11.9
1651060938,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10688.8,5.9,3.2,0.0,0.0,0.0
1651060939,7.5,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10698.9,25.7,3.4,0.0,0.0,0.0
1651060940,7.5,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10686.8,5.6,2.8,0.0,0.0,0.0
1651060941,8.1,0.9,31568.1,-0.0,-0.0,61217.3,7473.0,10693.3,5.6,2.8,0.0,0.0,0.0
1651060942,7.7,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10700.6,5.7,3.2,0.0,0.0,0.0
1651060943,7.2,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10699.6,8.6,5.9,0.0,0.0,1.0
1651060944,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10701.9,27.3,3.3,0.0,0.0,0.0
1651060945,7.1,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10695.8,5.8,3.0,0.0,0.0,0.0
1651060946,7.5,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10691.8,5.8,2.8,0.0,0.0,0.0
1651060947,8.3,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10700.7,5.9,2.8,3.0,0.0,12.0
1651060948,7.2,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10702.8,5.9,2.8,0.0,0.0,0.0
1651060949,7.4,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10705.2,24.0,3.4,0.0,0.0,0.0
1651060950,7.1,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10699.0,6.0,2.8,0.0,0.0,0.0
1651060951,8.3,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10695.4,6.1,3.0,0.0,0.0,0.0
1651060952,8.3,0.8,31568.1,-0.0,-0.0,61217.3,7473.0,10706.0,6.2,3.4,0.0,0.0,0.0
1651060953,7.0,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10706.3,6.2,2.9,0.0,0.0,31.9
1651060954,7.5,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10704.4,6.2,2.8,0.0,0.0,0.0
1651060955,7.1,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10700.4,24.7,3.3,0.0,0.0,0.0
1651060956,7.4,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10698.7,6.3,2.8,0.0,0.0,0.0
1651060957,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10699.2,6.3,2.9,2.0,0.0,23.9
1651060958,7.3,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10706.2,6.3,2.9,1.0,0.0,43.7
1651060959,8.2,0.9,31568.1,-0.0,-0.0,61217.3,7473.0,10702.6,6.4,2.8,0.0,0.0,0.0
1651060960,7.6,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10707.4,25.7,3.3,0.0,0.0,0.0
1651060961,7.7,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10709.8,6.4,2.7,0.0,0.0,0.0
1651060962,7.7,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10710.5,6.5,2.8,0.0,0.0,0.0
1651060963,7.3,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10712.7,6.5,2.8,3.0,0.0,750.9
1651060964,7.1,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10704.8,6.5,2.8,0.0,0.0,0.0
1651060965,7.4,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10705.3,27.0,3.2,0.0,0.0,0.0
1651060966,7.2,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10705.5,6.6,2.9,0.0,0.0,0.0
1651060967,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10713.9,6.9,3.1,0.0,0.0,0.0
1651060968,7.3,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10708.0,6.6,2.9,0.0,0.0,0.0
1651060969,6.9,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10706.1,6.7,2.8,0.0,0.0,0.0
1651060970,7.8,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10710.3,29.2,3.6,0.0,0.0,0.0
1651060971,7.5,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10710.6,6.8,4.2,0.0,0.0,0.0
1651060972,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10711.2,6.9,3.0,0.0,0.0,0.0
1651060973,7.7,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10703.0,6.9,3.4,0.0,0.0,1.0
1651060974,7.4,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10703.4,6.9,3.0,0.0,0.0,0.0
1651060975,7.8,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10703.6,26.7,3.4,0.0,0.0,0.0
1651060976,7.7,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10707.8,7.5,3.1,2.0,0.0,11.9
1651060977,7.3,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10707.9,7.0,2.8,0.0,0.0,0.0
1651060978,7.3,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10706.0,7.1,2.9,0.0,0.0,0.0
1651060979,7.5,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10715.0,7.1,2.7,0.0,0.0,0.0
1651060980,7.1,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10719.1,28.4,3.7,0.0,0.0,0.0
1651060981,7.5,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10720.3,7.4,3.0,0.0,0.0,0.0
1651060982,7.2,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10723.4,7.3,3.0,0.0,0.0,0.0
1651060983,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10712.7,7.3,2.9,0.0,0.0,0.0
1651060984,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.0,10712.9,7.3,2.8,0.0,0.0,0.0
1651060985,7.4,0.7,31568.1,-0.0,-0.0,61217.3,7473.0,10708.8,29.3,3.6,0.0,0.0,0.0
1651060986,7.0,0.5,31568.1,-0.0,-0.0,61217.3,7473.0,10713.0,7.3,2.9,0.0,0.0,0.0
1651060987,7.3,0.4,31568.1,-0.0,-0.0,61217.3,7473.0,10710.9,7.4,3.1,4.0,0.0,23.9
1651060988,7.3,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10711.4,3.4,3.0,0.0,0.0,0.0
1651060989,7.1,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10711.6,3.3,2.8,0.0,0.0,0.0
1651060990,6.8,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10717.8,22.8,3.4,0.0,0.0,0.0
1651060991,7.7,0.7,31568.1,-0.0,-0.0,61217.3,7473.1,10709.9,3.4,2.8,0.0,0.0,0.0
1651060992,7.4,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10710.3,3.4,2.8,0.0,0.0,0.0
1651060993,7.0,0.3,31568.1,-0.0,-0.0,61217.3,7473.1,10714.7,3.5,2.8,0.0,0.0,0.0
1651060994,7.3,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10718.8,3.4,2.6,0.0,0.0,23.8
1651060995,7.7,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10708.8,24.1,3.3,0.0,0.0,0.0
1651060996,7.8,0.9,31568.1,-0.0,-0.0,61217.3,7473.1,10715.1,3.5,2.7,2.0,0.0,11.9
1651060997,7.6,0.7,31568.1,-0.0,-0.0,61217.3,7473.1,10717.3,4.0,3.3,0.0,0.0,0.0
1651060998,7.4,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10721.8,3.6,3.5,0.0,0.0,0.0
1651060999,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10719.9,3.6,2.8,0.0,0.0,0.0
1651061000,7.3,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10719.9,25.4,3.4,0.0,0.0,0.0
1651061001,7.5,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10724.5,3.6,3.0,0.0,0.0,0.0
1651061002,7.4,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10722.6,3.7,2.7,0.0,0.0,0.0
1651061003,7.4,0.7,31568.1,-0.0,-0.0,61217.3,7473.1,10724.6,6.4,5.9,0.0,0.0,0.0
1651061004,7.1,0.2,31568.1,-0.0,-0.0,61217.3,7473.1,10718.7,3.7,2.6,0.0,0.0,1045.3
1651061005,7.3,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10718.9,23.1,3.3,0.0,0.0,0.0
1651061006,7.4,0.7,31568.1,-0.0,-0.0,61217.3,7473.1,10719.2,3.8,2.7,2.0,0.0,19.9
1651061007,7.3,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10721.3,3.9,2.8,0.0,0.0,0.0
1651061008,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10717.4,3.9,2.9,0.0,0.0,0.0
1651061009,7.8,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10713.4,3.9,2.9,0.0,0.0,0.0
1651061010,7.5,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10715.6,5.4,3.5,0.0,0.0,0.0
1651061011,7.6,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10722.3,25.2,3.6,0.0,0.0,0.0
1651061012,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10722.3,4.1,3.0,0.0,0.0,0.0
1651061013,7.2,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10718.4,4.2,2.9,0.0,0.0,0.0
1651061014,7.5,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10718.6,4.2,2.9,0.0,0.0,43.9
1651061015,7.3,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10722.7,4.2,2.8,0.0,0.0,0.0
1651061016,7.6,0.7,31568.1,-0.0,-0.0,61217.3,7473.1,10722.9,27.0,3.4,2.0,0.0,23.9
1651061017,7.4,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10719.0,4.4,2.9,0.0,0.0,0.0
1651061018,7.5,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10721.1,4.3,2.8,0.0,0.0,0.0
1651061019,7.8,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10717.4,4.3,2.8,0.0,0.0,4.0
1651061020,7.8,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10719.4,4.5,3.0,0.0,0.0,0.0
1651061021,7.4,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10715.7,25.3,3.4,0.0,0.0,0.0
1651061022,7.5,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10721.9,4.5,5.5,0.0,0.0,0.0
1651061023,7.5,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10724.1,4.6,2.9,0.0,0.0,0.0
1651061024,7.1,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10726.4,4.6,5.6,0.0,0.0,0.0
1651061025,7.3,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10720.6,4.6,2.8,3.0,0.0,15.9
1651061026,7.1,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10720.5,25.1,6.3,0.0,0.0,0.0
1651061027,7.7,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10726.9,5.1,3.2,0.0,0.0,0.0
1651061028,7.2,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10729.1,4.7,2.9,0.0,0.0,0.0
1651061029,7.4,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10731.4,4.8,2.8,0.0,0.0,23.9
1651061030,7.0,0.4,31568.1,-0.0,-0.0,61217.3,7473.1,10721.7,4.8,2.7,0.0,0.0,0.0
1651061031,7.3,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10725.8,27.3,3.5,0.0,0.0,0.0
1651061032,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10726.4,4.9,2.8,0.0,0.0,0.0
1651061033,7.5,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10726.5,4.9,3.3,0.0,0.0,0.0
1651061034,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10722.6,5.0,2.8,0.0,0.0,4.0
1651061035,7.1,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10723.0,5.0,2.9,0.0,0.0,0.0
1651061036,7.2,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10718.9,24.8,3.8,2.0,0.0,11.8
1651061037,7.8,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10724.5,5.2,2.8,0.0,0.0,0.0
1651061038,7.7,0.9,31568.1,-0.0,-0.0,61217.3,7473.1,10730.7,5.2,2.8,0.0,0.0,0.0
1651061039,7.6,0.5,31568.1,-0.0,-0.0,61217.3,7473.1,10736.2,5.3,2.8,0.0,0.0,0.0
1651061040,7.0,0.3,31568.1,-0.0,-0.0,61217.3,7473.1,10730.7,5.6,3.0,0.0,0.0,0.0
1651061041,7.7,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10742.2,25.9,3.4,0.0,0.0,0.0
1651061042,7.3,0.6,31568.1,-0.0,-0.0,61217.3,7473.1,10742.7,5.6,3.1,0.0,0.0,0.0
