timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651013192,0.3,0.6,31568.1,-0.0,-0.0,48610.3,11001.6,9520.7,24.8,82.7,0.0,0.0,7.2
1651013193,0.0,0.0,31568.1,-0.0,-0.0,48610.3,11001.6,9520.7,3.3,3.2,0.0,0.0,0.0
1651013194,0.2,0.1,31568.1,-0.0,-0.0,48610.3,11001.6,9520.8,3.2,3.0,0.0,0.0,0.0
1651013195,0.1,0.0,31568.1,-0.0,-0.0,48610.3,11001.6,9521.0,3.4,3.2,0.0,0.0,51.7
1651013196,0.1,0.0,31568.1,-0.0,-0.0,48610.3,11001.6,9521.0,3.8,3.2,0.0,0.0,0.0
1651013197,7.5,0.9,31568.1,-0.0,-0.0,48610.3,11001.7,9566.8,25.4,29.8,2.0,0.0,131.5
1651013198,7.0,0.2,31568.1,-0.0,-0.0,48610.3,11001.7,9584.5,10.8,573.4,0.0,0.0,0.0
1651013199,7.3,0.7,31568.1,-0.0,-0.0,48610.3,11001.7,9597.3,3.6,3.2,0.0,0.0,0.0
1651013200,7.2,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9601.8,3.7,3.5,0.0,0.0,8.0
1651013201,7.2,0.5,31568.1,-0.0,-0.0,48610.3,11001.7,9604.8,4.0,4.1,0.0,0.0,0.0
1651013202,7.5,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9605.6,3.8,3.5,0.0,0.0,0.0
1651013203,8.1,0.8,31568.1,-0.0,-0.0,48610.3,11001.7,9615.0,3.5,3.3,1.0,0.0,11.9
1651013204,8.0,0.7,31568.1,-0.0,-0.0,48610.3,11001.7,9616.1,58.4,9.5,0.0,0.0,0.0
1651013205,7.3,0.5,31568.1,-0.0,-0.0,48610.3,11001.7,9617.6,4.4,3.9,0.0,0.0,0.0
1651013206,7.2,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9628.7,4.0,3.3,1.0,0.0,733.7
1651013207,8.7,0.9,31568.1,-0.0,-0.0,48610.3,11001.7,9623.1,167.4,101.6,0.0,0.0,0.0
1651013208,7.3,0.5,31568.1,-0.0,-0.0,48610.3,11001.7,9623.8,3.6,2.7,0.0,0.0,0.0
1651013209,9.2,1.1,31568.1,-0.0,-0.0,48610.3,11001.7,9628.4,3.6,2.9,2.0,0.0,23.9
1651013210,7.0,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9639.8,3.7,2.9,0.0,0.0,0.0
1651013211,7.4,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9641.6,3.7,3.0,0.0,0.0,0.0
1651013212,7.5,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9642.7,3.8,2.9,0.0,0.0,0.0
1651013213,7.5,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9643.7,4.5,3.6,0.0,0.0,0.0
1651013214,7.9,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9659.2,18.8,55.1,0.0,0.0,0.0
1651013215,7.1,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9665.6,3.9,2.7,0.0,0.0,0.0
1651013216,7.6,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9662.0,5.0,3.8,0.0,0.0,4.0
1651013217,7.2,0.3,31568.1,-0.0,-0.0,48610.3,11001.7,9666.2,6.3,4.8,0.0,0.0,0.0
1651013218,6.9,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9666.7,4.0,2.6,0.0,0.0,0.0
1651013219,7.3,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9663.9,4.0,2.8,3.0,0.0,15.9
1651013220,7.7,0.7,31568.1,-0.0,-0.0,48610.3,11001.7,9660.0,4.0,2.7,0.0,0.0,0.0
1651013221,7.0,0.5,31568.1,-0.0,-0.0,48610.3,11001.7,9662.3,4.1,2.8,0.0,0.0,131.5
1651013222,8.4,0.7,31568.1,-0.0,-0.0,48610.3,11001.7,9665.2,4.5,3.2,3.0,2.0,0.0
1651013223,7.8,0.7,31568.1,-0.0,-0.0,48610.3,11001.7,9669.8,4.1,2.9,0.0,0.0,0.0
1651013224,7.6,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9671.5,4.2,2.8,0.0,0.0,0.0
1651013225,7.2,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9667.9,4.5,3.2,0.0,0.0,0.0
1651013226,7.7,0.7,31568.1,-0.0,-0.0,48610.3,11001.7,9667.5,13.1,3.3,0.0,0.0,4.0
1651013227,7.3,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9667.9,4.4,2.9,0.0,0.0,0.0
1651013228,8.5,0.9,31568.1,-0.0,-0.0,48610.3,11001.7,9674.5,4.4,2.8,0.0,0.0,0.0
1651013229,7.2,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9674.3,4.4,2.9,3.0,0.0,27.9
1651013230,6.9,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9680.4,131.7,4.3,0.0,0.0,0.0
1651013231,7.3,0.5,31568.1,-0.0,-0.0,48610.3,11001.7,9685.7,5.9,4.6,0.0,0.0,4.0
1651013232,7.1,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9675.9,4.5,2.6,0.0,0.0,0.0
1651013233,8.0,0.8,31568.1,-0.0,-0.0,48610.3,11001.7,9681.5,4.6,2.7,0.0,0.0,0.0
1651013234,7.1,0.2,31568.1,-0.0,-0.0,48610.3,11001.7,9675.3,4.6,2.8,0.0,0.0,0.0
1651013235,7.3,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9675.5,4.6,2.8,0.0,0.0,0.0
1651013236,7.3,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9680.0,4.8,2.8,0.0,0.0,0.0
1651013237,7.5,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9679.1,7.3,5.3,3.0,0.0,15.9
1651013238,7.2,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9681.4,4.8,2.8,0.0,0.0,0.0
1651013239,7.0,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9682.0,4.8,2.8,0.0,0.0,0.0
1651013240,7.4,0.5,31568.1,-0.0,-0.0,48610.3,11001.7,9677.5,4.8,2.7,0.0,0.0,0.0
1651013241,7.5,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9678.6,4.9,2.9,0.0,0.0,0.0
1651013242,7.4,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9680.8,4.9,2.8,0.0,0.0,0.0
1651013243,7.3,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9683.5,4.9,2.7,0.0,0.0,0.0
1651013244,7.5,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9683.7,5.0,3.0,0.0,0.0,0.0
1651013245,7.5,0.7,31568.1,-0.0,-0.0,48610.3,11001.7,9683.8,5.0,2.7,0.0,0.0,0.0
1651013246,6.9,0.5,31568.1,-0.0,-0.0,48610.3,11001.7,9675.8,5.0,2.8,0.0,0.0,1076.8
1651013247,7.0,0.5,31568.1,-0.0,-0.0,48610.3,11001.7,9678.0,5.2,3.0,0.0,0.0,0.0
1651013248,7.5,0.6,31568.1,-0.0,-0.0,48610.3,11001.7,9680.3,7.0,4.5,0.0,0.0,0.0
1651013249,7.2,0.2,31568.1,-0.0,-0.0,48610.3,11001.7,9682.6,5.2,2.8,1.0,0.0,23.9
1651013250,7.4,0.4,31568.1,-0.0,-0.0,48610.3,11001.7,9680.8,5.2,2.8,0.0,0.0,0.0
1651013251,7.7,0.5,31568.1,-0.0,-0.0,48610.3,11001.7,9681.0,5.5,2.9,0.0,0.0,0.0
1651013252,7.3,0.5,31568.1,-0.0,-0.0,48610.3,11001.8,9689.2,6.0,3.5,0.0,0.0,0.0
1651013253,7.9,0.7,31568.1,-0.0,-0.0,48610.3,11001.8,9689.7,5.3,3.1,0.0,0.0,0.0
1651013254,7.0,0.4,31568.1,-0.0,-0.0,48610.3,11001.8,9681.7,5.3,2.8,0.0,0.0,0.0
