timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1650973830,4.1,4.2,31568.1,-0.0,-0.0,63786.9,8397.6,11799.1,79.3,665.4,0.0,0.0,3.6
1650973831,3.3,3.0,31568.1,-0.0,-0.0,63786.9,8397.6,11799.1,4.0,4.1,0.0,0.0,0.0
1650973832,3.3,3.1,31568.1,-0.0,-0.0,63786.9,8397.6,11799.1,4.3,5.0,0.0,0.0,0.0
1650973833,3.3,2.9,31568.1,-0.0,-0.0,63786.9,8397.6,11799.1,4.1,4.0,0.0,0.0,0.0
1650973834,3.2,3.2,31568.1,-0.0,-0.0,63786.9,8397.7,11799.2,4.2,4.3,3.0,0.0,51.6
1650973835,10.9,3.6,31568.1,-0.0,-0.0,63786.9,8397.7,11842.3,24.5,27.6,0.0,0.0,0.0
1650973836,9.7,3.5,31568.1,-0.0,-0.0,63786.9,8397.7,11867.4,4.8,4.7,0.0,0.0,23.9
1650973837,11.1,3.6,31568.1,-0.0,-0.0,63786.9,8397.7,11881.9,4.3,4.0,0.0,0.0,0.0
1650973838,12.6,3.8,31568.1,-0.0,-0.0,63786.9,8397.7,11891.2,7.1,7.6,0.0,0.0,0.0
1650973839,12.1,3.8,31568.1,-0.0,-0.0,63786.9,8397.7,11885.9,4.3,3.7,0.0,0.0,0.0
1650973840,10.1,3.2,31568.1,-0.0,-0.0,63786.9,8397.7,11900.0,25.8,4.8,0.0,0.0,0.0
1650973841,11.3,3.5,31568.1,-0.0,-0.0,63786.9,8397.7,11909.7,4.4,4.1,2.0,0.0,63.7
1650973842,10.0,3.2,31568.1,-0.0,-0.0,63786.9,8397.7,11908.9,4.4,4.1,0.0,0.0,0.0
1650973843,10.5,3.5,31568.1,-0.0,-0.0,63786.9,8397.7,11936.9,4.5,4.1,0.0,0.0,0.0
1650973844,10.6,3.5,31568.1,-0.0,-0.0,63786.9,8397.7,11935.4,4.5,4.2,0.0,0.0,0.0
1650973845,11.3,3.9,31568.1,-0.0,-0.0,63786.9,8397.7,11934.1,30.2,5.0,0.0,0.0,0.0
1650973846,10.5,3.6,31568.1,-0.0,-0.0,63786.9,8397.7,11936.5,4.6,5.0,0.0,0.0,0.0
1650973847,11.3,3.6,31568.1,-0.0,-0.0,63786.9,8397.7,11932.9,4.6,4.1,0.0,0.0,0.0
1650973848,11.4,3.8,31568.1,-0.0,-0.0,63786.9,8397.7,11937.6,7.7,8.1,0.0,0.0,0.0
1650973849,11.3,3.8,31568.1,-0.0,-0.0,63786.9,8397.7,11938.0,4.7,4.0,0.0,0.0,0.0
1650973850,11.3,3.6,31568.1,-0.0,-0.0,63786.9,8397.7,11922.7,27.9,5.0,0.0,0.0,0.0
1650973851,10.7,3.5,31568.1,-0.0,-0.0,63786.9,8397.7,11932.0,4.7,3.9,0.0,0.0,1289.3
1650973852,10.6,3.6,31568.1,-0.0,-0.0,63786.9,8397.7,11942.9,5.0,4.3,0.0,0.0,0.0
1650973853,11.1,3.6,31568.1,-0.0,-0.0,63786.9,8397.7,11947.9,4.8,4.1,2.0,0.0,31.8
1650973854,11.2,3.3,31568.1,-0.0,-0.0,63786.9,8397.7,11950.9,4.9,4.3,0.0,0.0,0.0
1650973855,10.7,3.5,31568.1,-0.0,-0.0,63786.9,8397.7,11957.7,26.7,4.7,0.0,0.0,0.0
1650973856,11.0,3.8,31568.1,-0.0,-0.0,63786.9,8397.7,11961.2,4.9,4.0,0.0,0.0,0.0
1650973857,10.6,3.7,31568.1,-0.0,-0.0,63786.9,8397.7,11963.8,5.0,4.2,0.0,0.0,0.0
1650973858,11.7,3.5,31568.1,-0.0,-0.0,63786.9,8397.7,11962.5,7.9,7.8,0.0,0.0,0.0
1650973859,11.0,3.5,31568.1,-0.0,-0.0,63786.9,8397.7,11966.7,5.2,4.3,0.0,0.0,0.0
1650973860,11.6,3.8,31568.1,-0.0,-0.0,63786.9,8397.7,11961.8,24.9,5.2,0.0,0.0,0.0
1650973861,12.2,3.8,31568.1,-0.0,-0.0,63786.9,8397.7,11966.4,5.1,4.2,2.0,0.0,19.9
1650973862,11.1,3.5,31568.1,-0.0,-0.0,63786.9,8397.8,11960.5,5.2,4.6,0.0,0.0,0.0
1650973863,11.0,3.6,31568.1,-0.0,-0.0,63786.9,8397.8,11966.4,5.2,4.2,0.0,0.0,0.0
1650973864,10.8,3.5,31568.1,-0.0,-0.0,63786.9,8397.8,11960.6,5.5,4.5,0.0,0.0,0.0
1650973865,10.4,3.7,31568.1,-0.0,-0.0,63786.9,8397.8,11970.7,5.5,4.7,0.0,0.0,0.0
1650973866,11.1,3.5,31568.1,-0.0,-0.0,63786.9,8397.8,11969.8,25.7,5.0,0.0,0.0,0.0
1650973867,12.4,3.9,31568.1,-0.0,-0.0,63786.9,8397.8,11978.4,5.4,4.7,0.0,0.0,0.0
1650973868,11.3,3.7,31568.1,-0.0,-0.0,63786.9,8397.8,11965.3,8.6,8.2,0.0,0.0,0.0
1650973869,11.0,3.5,31568.1,-0.0,-0.0,63786.9,8397.8,11971.6,5.6,4.2,0.0,0.0,0.0
1650973870,10.7,3.4,31568.1,-0.0,-0.0,63786.9,8397.8,11972.4,5.5,4.3,3.0,0.0,19.9
1650973871,12.0,3.9,31568.1,-0.0,-0.0,63786.9,8397.8,11964.5,26.2,4.8,1.0,0.0,31.8
1650973872,10.3,3.5,31568.1,-0.0,-0.0,63786.9,8397.8,11971.7,5.6,4.2,0.0,0.0,0.0
1650973873,10.9,3.3,31568.1,-0.0,-0.0,63786.9,8397.8,11983.4,5.6,4.3,0.0,0.0,0.0
