timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:hightotal,MEM:lowtotal,MEM:swapfree,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,DISKBUSY:sda,DISKREAD:sda,DISKWRITE:sda
1651060877,0.3,0.4,31568.1,-0.0,-0.0,61433.9,7218.9,7575.2,24.0,80.5,2.7,0.0,67.6
1651060878,0.1,0.1,31568.1,-0.0,-0.0,61433.9,7218.9,7575.2,3.0,2.3,0.0,0.0,0.0
1651060879,0.0,0.1,31568.1,-0.0,-0.0,61433.9,7218.9,7575.2,3.1,2.6,0.0,0.0,0.0
1651060880,0.0,0.0,31568.1,-0.0,-0.0,61433.9,7218.9,7575.3,3.0,2.4,0.0,0.0,0.0
1651060881,0.1,0.1,31568.1,-0.0,-0.0,61433.9,7218.9,7575.3,3.0,2.4,0.0,0.0,0.0
1651060882,7.8,0.7,31568.1,-0.0,-0.0,61433.9,7218.9,7633.9,22.4,28.4,3.0,0.0,59.8
1651060883,9.1,0.9,31568.1,-0.0,-0.0,61433.9,7218.9,7636.7,3.2,2.5,0.0,0.0,0.0
1651060884,8.7,1.1,31568.1,-0.0,-0.0,61433.9,7218.9,7645.0,3.4,2.5,0.0,0.0,0.0
1651060885,6.5,0.2,31568.1,-0.0,-0.0,61433.9,7219.0,7667.3,4.6,3.5,0.0,0.0,0.0
1651060886,8.7,0.7,31568.1,-0.0,-0.0,61433.9,7219.0,7685.8,3.2,2.3,0.0,0.0,0.0
1651060887,9.4,1.4,31568.1,-0.0,-0.0,61433.9,7219.0,7680.7,19.7,2.8,0.0,0.0,0.0
1651060888,8.9,1.1,31568.1,-0.0,-0.0,61433.9,7219.0,7682.8,3.3,2.3,0.0,0.0,0.0
1651060889,9.0,0.9,31568.1,-0.0,-0.0,61433.9,7219.0,7697.3,3.3,2.3,0.0,0.0,0.0
1651060890,7.0,0.3,31568.1,-0.0,-0.0,61433.9,7219.0,7700.5,3.4,2.3,0.0,0.0,0.0
1651060891,7.9,0.7,31568.1,-0.0,-0.0,61433.9,7219.0,7692.5,3.4,2.4,0.0,0.0,0.0
1651060892,8.3,0.6,31568.1,-0.0,-0.0,61433.9,7219.0,7693.7,21.1,2.9,0.0,0.0,965.7
1651060893,7.4,0.6,31568.1,-0.0,-0.0,61433.9,7219.0,7685.1,3.5,2.5,0.0,0.0,0.0
1651060894,7.8,0.7,31568.1,-0.0,-0.0,61433.9,7219.0,7681.2,3.5,2.4,0.0,0.0,0.0
1651060895,8.2,0.8,31568.1,-0.0,-0.0,61433.9,7219.0,7718.9,3.6,2.4,0.0,0.0,0.0
1651060896,9.6,0.9,31568.1,-0.0,-0.0,61433.9,7219.0,7721.8,3.6,2.3,4.0,0.0,39.9
1651060897,9.4,1.1,31568.1,-0.0,-0.0,61433.9,7219.0,7722.9,18.2,2.9,0.0,0.0,47.9
1651060898,9.4,1.1,31568.1,-0.0,-0.0,61433.9,7219.0,7723.3,3.7,2.3,0.0,0.0,0.0
1651060899,8.0,0.7,31568.1,-0.0,-0.0,61433.9,7219.0,7739.9,3.7,2.4,0.0,0.0,0.0
1651060900,7.1,0.2,31568.1,-0.0,-0.0,61433.9,7219.0,7736.0,3.8,2.5,0.0,0.0,0.0
1651060901,8.1,0.7,31568.1,-0.0,-0.0,61433.9,7219.0,7743.4,3.8,2.3,0.0,0.0,0.0
1651060902,7.9,0.6,31568.1,-0.0,-0.0,61433.9,7219.0,7745.3,20.6,3.0,0.0,0.0,15.9
1651060903,7.3,0.5,31568.1,-0.0,-0.0,61433.9,7219.0,7747.6,3.8,2.3,4.0,0.0,4.0
1651060904,7.5,0.6,31568.1,-0.0,-0.0,61433.9,7219.0,7743.7,3.9,2.3,0.0,0.0,0.0
1651060905,7.1,0.4,31568.1,-0.0,-0.0,61433.9,7219.0,7745.6,3.9,2.4,0.0,0.0,0.0
1651060906,9.3,1.1,31568.1,-0.0,-0.0,61433.9,7219.0,7748.3,4.0,2.3,0.0,0.0,0.0
1651060907,9.8,1.0,31568.1,-0.0,-0.0,61433.9,7219.0,7755.6,4.8,3.3,0.0,0.0,0.0
1651060909,9.1,1.0,31568.1,-0.0,-0.0,61433.9,7219.0,7749.7,24.4,2.9,0.0,0.0,99.7
1651060910,7.4,0.6,31568.1,-0.0,-0.0,61433.9,7219.0,7753.9,4.0,2.4,0.0,0.0,0.0
1651060911,6.9,0.2,31568.1,-0.0,-0.0,61433.9,7219.0,7764.9,4.1,2.6,0.0,0.0,0.0
1651060912,9.4,1.2,31568.1,-0.0,-0.0,61433.9,7219.0,7770.1,4.2,2.4,0.0,0.0,0.0
1651060913,9.2,1.2,31568.1,-0.0,-0.0,61433.9,7219.0,7770.4,4.2,3.1,0.0,0.0,0.0
1651060914,7.0,0.4,31568.1,-0.0,-0.0,61433.9,7219.0,7764.5,21.5,3.1,3.0,0.0,16.0
1651060915,8.4,0.9,31568.1,-0.0,-0.0,61433.9,7219.0,7770.4,4.3,2.5,0.0,0.0,0.0
1651060916,9.2,0.9,31568.1,-0.0,-0.0,61433.9,7219.0,7770.4,4.4,2.5,0.0,0.0,0.0
1651060917,7.1,0.4,31568.1,-0.0,-0.0,61433.9,7219.0,7748.0,4.4,2.7,0.0,0.0,0.0
1651060918,8.1,0.6,31568.1,-0.0,-0.0,61433.9,7219.0,7768.0,4.4,2.4,0.0,0.0,0.0
1651060919,9.5,1.0,31568.1,-0.0,-0.0,61433.9,7219.0,7766.3,22.5,3.2,0.0,0.0,0.0
1651060920,7.3,0.4,31568.1,-0.0,-0.0,61433.9,7219.0,7758.5,4.5,2.5,0.0,0.0,0.0
1651060921,8.6,0.8,31568.1,-0.0,-0.0,61433.9,7219.0,7773.2,4.5,2.7,0.0,0.0,0.0
1651060922,9.3,1.1,31568.1,-0.0,-0.0,61433.9,7219.0,7775.0,4.6,2.5,0.0,0.0,0.0
1651060923,7.5,0.4,31568.1,-0.0,-0.0,61433.9,7219.0,7769.9,4.6,2.6,0.0,0.0,0.0
1651060924,8.2,0.7,31568.1,-0.0,-0.0,61433.9,7219.0,7786.7,20.6,3.3,0.0,0.0,4.0
1651060925,9.1,1.2,31568.1,-0.0,-0.0,61433.9,7219.0,7787.4,4.7,2.5,0.0,0.0,0.0
1651060926,8.8,0.9,31568.1,-0.0,-0.0,61433.9,7219.0,7785.6,4.7,2.5,0.0,0.0,0.0
1651060927,6.7,0.2,31568.1,-0.0,-0.0,61433.9,7219.0,7781.2,4.7,2.5,0.0,0.0,0.0
1651060928,8.7,1.0,31568.1,-0.0,-0.0,61433.9,7219.0,7788.4,4.8,2.4,3.0,0.0,31.8
1651060929,9.0,1.4,31568.1,-0.0,-0.0,61433.9,7219.0,7788.4,21.4,3.0,0.0,0.0,0.0
1651060930,8.1,0.7,31568.1,-0.0,-0.0,61433.9,7219.0,7788.3,4.9,2.5,0.0,0.0,0.0
1651060931,6.6,0.4,31568.1,-0.0,-0.0,61433.9,7219.0,7787.1,4.9,2.4,0.0,0.0,0.0
1651060932,9.4,1.1,31568.1,-0.0,-0.0,61433.9,7219.0,7788.2,4.9,2.6,0.0,0.0,0.0
1651060933,8.3,0.7,31568.1,-0.0,-0.0,61433.9,7219.0,7788.2,5.0,2.5,0.0,0.0,0.0
1651060934,7.4,0.4,31568.1,-0.0,-0.0,61433.9,7219.0,7790.7,22.9,3.0,3.0,0.0,942.4
1651060935,7.5,0.4,31568.1,-0.0,-0.0,61433.9,7219.0,7796.7,5.0,2.4,0.0,0.0,4.0
