timestamp,total,used,free,shared,buff/cache,available
0,33101,10176,9069,635,13856,21816
39180,33101,10177,9067,635,13856,21814
87182,33101,10178,9066,635,13856,21814
39608,33101,10178,9066,635,13856,21814
88885,33101,10178,9066,635,13856,21814
1,33101,10177,9067,635,13856,21814
87183,33101,10178,9066,635,13856,21814
39181,33101,10178,9066,635,13856,21814
39609,33101,10177,9066,635,13856,21814
88886,33101,10177,9066,635,13856,21814
2,33101,10178,9066,635,13856,21814
87184,33101,10177,9066,635,13856,21814
39182,33101,10177,9066,635,13856,21814
39610,33101,10178,9066,635,13856,21814
88887,33101,10178,9066,635,13856,21814
3,33101,10177,9067,635,13856,21815
87185,33101,10177,9067,635,13856,21815
39183,33101,10177,9066,635,13856,21814
39611,33101,10177,9066,635,13856,21814
88888,33101,10177,9067,635,13856,21815
4,33101,10177,9067,635,13856,21814
87186,33101,10177,9067,635,13856,21815
39184,33101,10178,9066,635,13856,21814
39612,33101,10177,9067,635,13856,21814
88889,33101,10177,9067,635,13856,21814
5,33101,10181,9064,635,13856,21811
87187,33101,10187,9058,635,13856,21805
39185,33101,10187,9058,635,13856,21805
39613,33101,10187,9057,635,13856,21804
88890,33101,10187,9057,635,13856,21804
6,33101,10187,9058,635,13856,21805
87188,33101,10187,9057,635,13856,21804
39186,33101,10187,9057,635,13856,21804
39614,33101,10188,9057,635,13856,21804
88891,33101,10188,9057,635,13856,21804
7,33101,10187,9057,635,13856,21804
87189,33101,10187,9058,635,13856,21805
39187,33101,10187,9057,635,13856,21804
39615,33101,10187,9057,635,13856,21804
88892,33101,10187,9057,635,13856,21804
8,33101,10187,9058,635,13856,21805
87190,33101,10187,9057,635,13856,21805
39188,33101,10187,9057,635,13856,21805
39616,33101,10187,9057,635,13856,21805
88893,33101,10187,9058,635,13856,21805
9,33101,10187,9058,635,13856,21805
87191,33101,10187,9058,635,13856,21805
39189,33101,10187,9057,635,13856,21804
39617,33101,10188,9057,635,13856,21804
88894,33101,10188,9057,635,13856,21804
10,33101,10188,9057,635,13856,21804
87192,33101,10187,9057,635,13856,21805
39190,33101,10187,9057,635,13856,21804
39618,33101,10187,9057,635,13856,21804
88895,33101,10187,9057,635,13856,21804
11,33101,10187,9057,635,13856,21804
87193,33101,10187,9061,631,13852,21809
39191,33101,10188,9061,631,13852,21808
39619,33101,10188,9061,631,13852,21808
88896,33101,10188,9061,631,13852,21808
12,33101,10187,9061,631,13852,21809
87194,33101,10187,9062,631,13852,21809
39192,33101,10187,9061,631,13852,21809
88897,33101,10187,9061,631,13852,21809
39620,33101,10187,9061,631,13852,21809
13,33101,10187,9061,631,13852,21808
87195,33101,10186,9062,631,13852,21809
39193,33101,10187,9061,631,13852,21809
88898,33101,10186,9062,631,13852,21809
39621,33101,10186,9062,631,13852,21809
14,33101,10187,9061,631,13852,21809
87196,33101,10188,9060,631,13852,21807
39194,33101,10188,9060,631,13852,21807
88899,33101,10188,9060,631,13852,21807
39622,33101,10188,9060,631,13852,21807
15,33101,10189,9059,631,13852,21806
87197,33101,10215,9034,631,13852,21781
39195,33101,10214,9034,631,13852,21782
39623,33101,10215,9034,631,13852,21781
88900,33101,10215,9033,631,13852,21781
16,33101,10215,9034,631,13852,21781
87198,33101,10214,9034,631,13852,21781
39196,33101,10214,9034,631,13852,21781
39624,33101,10215,9034,631,13852,21781
88901,33101,10215,9034,631,13852,21781
17,33101,10215,9034,631,13852,21781
87199,33101,10215,9034,631,13852,21781
39197,33101,10215,9034,631,13852,21781
39625,33101,10215,9033,631,13852,21781
88902,33101,10215,9033,631,13852,21781
18,33101,10215,9033,631,13852,21781
87200,33101,10187,9061,631,13852,21808
39198,33101,10187,9061,631,13852,21808
39626,33101,10187,9061,631,13852,21808
88903,33101,10187,9061,631,13852,21808
19,33101,10187,9061,631,13852,21809
87201,33101,10188,9061,631,13852,21808
39199,33101,10188,9060,631,13852,21808
39627,33101,10188,9061,631,13852,21808
