timestamp,total,used,free,shared,buff/cache,available
0,33101,6719,12929,2328,13453,23538
1,33101,6719,12928,2328,13453,23538
2,33101,6719,12928,2328,13453,23538
3,33101,6719,12928,2328,13453,23538
4,33101,6719,12928,2328,13453,23538
5,33101,6748,12899,2328,13453,23509
6,33101,6765,12881,2328,13454,23491
7,33101,6785,12861,2328,13454,23471
8,33101,6802,12843,2328,13454,23454
9,33101,6820,12826,2328,13454,23436
10,33101,6827,12819,2328,13454,23429
11,33101,6820,12825,2329,13455,23436
12,33101,6826,12820,2329,13455,23430
13,33101,6836,12809,2329,13455,23420
14,33101,6840,12805,2329,13456,23416
15,33101,6842,12803,2329,13456,23413
16,33101,6839,12805,2329,13456,23416
17,33101,6839,12805,2330,13456,23416
18,33101,6842,12802,2330,13456,23413
19,33101,6842,12802,2330,13456,23412
20,33101,6843,12801,2330,13456,23411
21,33101,6844,12800,2330,13457,23410
22,33101,6847,12796,2330,13457,23407
23,33101,6857,12787,2331,13457,23397
24,33101,6845,12798,2331,13457,23409
25,33101,6855,12788,2331,13457,23399
26,33101,6857,12786,2331,13458,23397
27,33101,6854,12789,2331,13458,23400
28,33101,6856,12786,2331,13458,23397
29,33101,6860,12782,2331,13458,23393
30,33101,6863,12779,2331,13458,23390
31,33101,6888,12753,2332,13459,23365
32,33101,6882,12760,2332,13459,23371
33,33101,6886,12755,2332,13459,23367
34,33101,6885,12757,2332,13459,23368
35,33101,6863,12778,2332,13459,23389
36,33101,6860,12781,2332,13459,23393
37,33101,6866,12775,2332,13459,23387
38,33101,6869,12772,2332,13459,23383
39,33101,6869,12771,2332,13459,23383
40,33101,6872,12768,2332,13459,23380
41,33101,6870,12770,2332,13460,23382
42,33101,6881,12759,2333,13460,23371
43,33101,6890,12750,2333,13460,23361
44,33101,6884,12756,2333,13460,23368
45,33101,6893,12747,2333,13460,23359
46,33101,6893,12747,2333,13460,23358
47,33101,6896,12744,2333,13460,23356
48,33101,6895,12744,2333,13460,23356
49,33101,6890,12749,2333,13461,23361
50,33101,6889,12751,2333,13461,23362
51,33101,6911,12729,2333,13461,23341
52,33101,6893,12746,2333,13461,23358
53,33101,6894,12746,2333,13461,23358
54,33101,6900,12739,2334,13461,23351
55,33101,6897,12742,2334,13461,23354
56,33101,6902,12737,2334,13461,23349
57,33101,6899,12739,2334,13461,23351
58,33101,6897,12741,2334,13461,23353
59,33101,6893,12745,2334,13462,23357
60,33101,6909,12729,2334,13462,23341
61,33101,6909,12729,2334,13462,23341
62,33101,6910,12728,2334,13462,23340
63,33101,6912,12726,2335,13462,23338
64,33101,6920,12718,2335,13462,23330
65,33101,6902,12736,2335,13462,23348
66,33101,6918,12720,2335,13462,23332
67,33101,6921,12717,2335,13463,23329
68,33101,6919,12718,2335,13463,23330
69,33101,6933,12704,2335,13463,23316
70,33101,6934,12704,2335,13463,23316
71,33101,6929,12708,2335,13463,23320
72,33101,6925,12712,2335,13463,23324
73,33101,6928,12709,2335,13463,23321
74,33101,6930,12707,2335,13463,23319
75,33101,6931,12706,2335,13463,23318
76,33101,6928,12709,2335,13463,23321
77,33101,6924,12712,2336,13463,23325
78,33101,6920,12716,2336,13463,23328
79,33101,6935,12701,2336,13464,23313
80,33101,6934,12703,2336,13464,23315
81,33101,6928,12709,2336,13464,23321
82,33101,6928,12708,2336,13464,23320
83,33101,6929,12707,2336,13464,23320
84,33101,6928,12708,2336,13464,23320
85,33101,6926,12710,2336,13464,23322
86,33101,6929,12707,2336,13464,23320
87,33101,6925,12711,2336,13464,23323
88,33101,6921,12715,2336,13464,23327
89,33101,6923,12713,2336,13464,23325
90,33101,6921,12714,2337,13465,23326
91,33101,6922,12713,2337,13465,23326
