timestamp,total,used,free,shared,buff/cache,available
0,33101,2958,22043,942,8100,28710
1,33101,2958,22042,942,8100,28709
2,33101,2958,22042,942,8100,28709
3,33101,2958,22042,942,8100,28709
4,33101,2958,22042,942,8100,28709
5,33101,2975,22026,942,8100,28693
6,33101,3018,21982,942,8100,28650
7,33101,3023,21976,943,8101,28644
8,33101,3035,21964,943,8101,28632
9,33101,3044,21955,943,8101,28623
10,33101,3051,21948,943,8101,28616
11,33101,3055,21943,943,8101,28611
12,33101,3060,21939,943,8102,28607
13,33101,3069,21929,944,8102,28597
14,33101,3069,21929,944,8102,28597
15,33101,3074,21924,944,8102,28591
16,33101,3089,21909,944,8102,28577
17,33101,3087,21910,944,8102,28578
18,33101,3094,21903,944,8103,28571
19,33101,3083,21914,944,8103,28582
20,33101,3087,21910,945,8103,28578
21,33101,3093,21904,945,8103,28572
22,33101,3089,21908,945,8104,28576
23,33101,3084,21912,945,8104,28580
24,33101,3086,21910,945,8104,28578
25,33101,3096,21900,946,8104,28568
26,33101,3092,21904,946,8104,28572
27,33101,3090,21905,946,8104,28573
28,33101,3096,21900,946,8104,28568
29,33101,3089,21907,946,8105,28575
30,33101,3087,21909,946,8105,28577
31,33101,3088,21907,946,8105,28575
32,33101,3095,21899,947,8106,28568
33,33101,3095,21899,947,8106,28568
34,33101,3100,21894,947,8106,28563
35,33101,3111,21883,947,8106,28552
36,33101,3105,21889,947,8106,28557
37,33101,3123,21870,948,8107,28539
38,33101,3127,21866,948,8107,28534
39,33101,3127,21866,948,8107,28535
40,33101,3123,21870,948,8107,28539
41,33101,3125,21867,948,8107,28536
42,33101,3132,21860,948,8108,28529
43,33101,3116,21877,948,8108,28545
44,33101,3116,21876,949,8108,28545
45,33101,3118,21874,949,8108,28542
46,33101,3121,21871,949,8108,28540
47,33101,3105,21887,949,8109,28556
48,33101,3106,21886,949,8109,28555
49,33101,3111,21881,949,8109,28549
50,33101,3114,21877,950,8109,28545
51,33101,3115,21876,950,8109,28545
52,33101,3116,21874,950,8109,28543
53,33101,3118,21872,950,8110,28541
54,33101,3121,21869,950,8110,28538
55,33101,3141,21849,951,8110,28518
56,33101,3143,21847,951,8110,28516
57,33101,3144,21846,951,8110,28515
58,33101,3140,21850,951,8110,28519
59,33101,3147,21843,951,8110,28512
60,33101,3146,21844,951,8110,28513
61,33101,3141,21848,951,8110,28517
62,33101,3139,21850,951,8111,28519
63,33101,3138,21851,951,8111,28521
64,33101,3147,21843,951,8111,28512
65,33101,3149,21840,951,8111,28509
66,33101,3156,21834,951,8111,28503
67,33101,3174,21815,951,8111,28485
68,33101,3176,21813,952,8111,28482
69,33101,3175,21814,952,8111,28483
70,33101,3178,21811,952,8111,28480
71,33101,3175,21813,952,8111,28483
72,33101,3182,21806,952,8111,28476
73,33101,3178,21811,952,8112,28480
74,33101,3179,21810,952,8112,28479
75,33101,3178,21810,952,8112,28479
76,33101,3181,21807,952,8112,28476
77,33101,3186,21802,952,8112,28472
78,33101,3181,21807,952,8112,28476
79,33101,3179,21809,952,8112,28478
80,33101,3181,21806,953,8112,28476
81,33101,3181,21806,953,8113,28476
82,33101,3184,21803,953,8113,28473
83,33101,3185,21802,953,8113,28472
84,33101,3182,21805,953,8113,28474
85,33101,3198,21789,953,8113,28459
86,33101,3198,21789,953,8113,28458
87,33101,3194,21793,953,8113,28463
88,33101,3166,21821,953,8113,28491
89,33101,3178,21809,953,8114,28478
90,33101,3189,21798,954,8114,28468
91,33101,3197,21790,954,8114,28459
92,33101,3201,21785,954,8114,28455
93,33101,3200,21786,954,8114,28456
94,33101,3200,21786,954,8114,28456
95,33101,3200,21786,954,8114,28456
96,33101,3220,21766,954,8114,28436
97,33101,3224,21762,954,8114,28432
98,33101,3224,21762,954,8114,28432
99,33101,3171,21815,954,8115,28485
100,33101,3173,21812,954,8115,28482
101,33101,3174,21812,954,8115,28482
102,33101,3181,21804,954,8115,28474
103,33101,3186,21799,954,8115,28470
104,33101,3186,21799,954,8115,28469
105,33101,3193,21792,954,8115,28462
106,33101,3205,21779,955,8115,28450
107,33101,3208,21776,955,8115,28447
108,33101,3208,21776,955,8115,28447
109,33101,3208,21776,955,8115,28447
110,33101,3206,21778,955,8116,28449
111,33101,3210,21775,955,8116,28445
112,33101,3205,21780,955,8116,28450
113,33101,3193,21792,955,8116,28462
114,33101,3202,21782,955,8116,28453
115,33101,3209,21775,955,8116,28446
116,33101,3207,21777,955,8116,28447
117,33101,3205,21779,955,8116,28450
118,33101,3200,21783,955,8116,28454
119,33101,3203,21781,955,8117,28452
120,33101,3216,21767,956,8117,28438
121,33101,3201,21782,956,8117,28453
122,33101,3202,21781,956,8117,28452
123,33101,3193,21790,956,8117,28461
124,33101,3201,21782,956,8117,28453
125,33101,3198,21784,956,8117,28455
126,33101,3199,21784,956,8117,28455
127,33101,3203,21779,956,8118,28450
128,33101,3213,21770,956,8118,28440
129,33101,3209,21773,956,8118,28444
130,33101,3212,21770,956,8118,28441
131,33101,3206,21777,956,8118,28448
132,33101,3215,21767,957,8118,28438
133,33101,3219,21763,957,8118,28434
134,33101,3218,21763,957,8118,28435
135,33101,3219,21763,957,8118,28434
136,33101,3221,21760,957,8119,28431
137,33101,3221,21760,957,8119,28431
138,33101,3227,21755,957,8119,28426
139,33101,3207,21774,957,8119,28445
140,33101,3199,21782,957,8119,28453
141,33101,3222,21759,957,8119,28430
142,33101,3221,21759,958,8119,28431
143,33101,3221,21759,958,8119,28431
144,33101,3225,21756,958,8120,28427
145,33101,3225,21756,958,8120,28427
146,33101,3225,21755,958,8120,28427
147,33101,3225,21755,958,8120,28427
148,33101,3229,21750,959,8120,28422
149,33101,3224,21756,959,8120,28427
