timestamp,total,used,free,shared,buff/cache,available
0,33101,6805,12588,1440,13707,24381
1,33101,6806,12587,1440,13707,24380
2,33101,6806,12587,1440,13707,24380
3,33101,6806,12588,1440,13707,24381
4,33101,6806,12587,1440,13707,24380
5,33101,6837,12557,1440,13707,24349
6,33101,6853,12539,1440,13708,24333
7,33101,6873,12519,1441,13708,24313
8,33101,6879,12513,1441,13708,24307
9,33101,6902,12490,1441,13708,24283
10,33101,6907,12485,1441,13708,24279
11,33101,6914,12478,1441,13709,24272
12,33101,6918,12473,1441,13709,24267
13,33101,6915,12476,1441,13709,24270
14,33101,6926,12465,1442,13709,24258
15,33101,6928,12463,1442,13709,24257
16,33101,6931,12459,1442,13709,24253
17,33101,6930,12461,1442,13710,24255
18,33101,6936,12454,1442,13710,24248
19,33101,6932,12458,1442,13710,24252
20,33101,6930,12460,1442,13710,24254
21,33101,6937,12453,1443,13710,24247
22,33101,6936,12454,1443,13710,24248
23,33101,6940,12450,1443,13711,24244
24,33101,6936,12453,1443,13711,24247
25,33101,6936,12453,1443,13711,24247
26,33101,6942,12447,1443,13711,24241
27,33101,6939,12450,1443,13711,24244
28,33101,6942,12447,1444,13711,24241
29,33101,6940,12448,1444,13711,24243
30,33101,6940,12448,1444,13712,24243
31,33101,6941,12447,1444,13712,24242
32,33101,6951,12436,1444,13712,24231
33,33101,6955,12432,1444,13713,24227
34,33101,6952,12436,1444,13713,24230
35,33101,6945,12442,1445,13713,24236
36,33101,6960,12427,1445,13713,24222
37,33101,6957,12429,1445,13713,24224
38,33101,6947,12440,1445,13713,24234
39,33101,6948,12438,1445,13714,24233
40,33101,6947,12440,1445,13714,24234
41,33101,6957,12429,1445,13714,24224
42,33101,6946,12440,1446,13714,24235
43,33101,6957,12429,1446,13714,24224
44,33101,6959,12427,1446,13714,24222
45,33101,6962,12424,1446,13714,24219
46,33101,6963,12422,1446,13715,24217
47,33101,6962,12423,1446,13715,24218
48,33101,6981,12404,1446,13715,24199
49,33101,6976,12409,1446,13715,24204
50,33101,6979,12406,1447,13715,24201
51,33101,6975,12410,1447,13715,24205
52,33101,6975,12409,1447,13716,24204
53,33101,6944,12441,1447,13716,24236
54,33101,6944,12441,1447,13716,24236
55,33101,6960,12424,1447,13716,24219
56,33101,6962,12422,1448,13716,24217
57,33101,6966,12418,1448,13716,24213
58,33101,6959,12424,1448,13717,24219
59,33101,6959,12424,1448,13717,24219
60,33101,6965,12419,1448,13717,24214
61,33101,6960,12423,1448,13717,24218
62,33101,6968,12414,1448,13717,24210
63,33101,6965,12418,1449,13718,24213
64,33101,6969,12413,1449,13718,24209
65,33101,6971,12412,1449,13718,24207
66,33101,6975,12407,1449,13718,24202
67,33101,6977,12405,1449,13718,24200
68,33101,6977,12405,1449,13718,24200
69,33101,6977,12404,1450,13719,24199
70,33101,6969,12413,1450,13719,24208
71,33101,6972,12409,1450,13719,24204
72,33101,6979,12402,1450,13719,24197
73,33101,6979,12402,1450,13719,24197
74,33101,6977,12404,1450,13719,24199
75,33101,6973,12407,1450,13719,24203
76,33101,6962,12418,1450,13719,24214
77,33101,6969,12412,1451,13720,24207
78,33101,6968,12412,1451,13720,24207
79,33101,6974,12406,1451,13720,24201
80,33101,6979,12401,1451,13720,24197
81,33101,6975,12405,1451,13721,24201
82,33101,6982,12398,1451,13721,24193
83,33101,6980,12399,1452,13721,24195
84,33101,6978,12401,1452,13721,24196
85,33101,6974,12405,1452,13721,24201
86,33101,6979,12400,1452,13721,24196
87,33101,6980,12398,1452,13721,24194
88,33101,6984,12394,1452,13722,24190
89,33101,6981,12397,1452,13722,24193
90,33101,6985,12392,1453,13722,24189
91,33101,6981,12397,1453,13723,24193
92,33101,6981,12396,1453,13723,24192
93,33101,6985,12392,1453,13723,24188
94,33101,6982,12395,1453,13723,24192
95,33101,6987,12390,1453,13723,24186
96,33101,6989,12388,1454,13723,24184
97,33101,6989,12387,1454,13724,24183
98,33101,6992,12384,1454,13724,24181
99,33101,6978,12398,1454,13724,24194
100,33101,6983,12393,1454,13724,24189
101,33101,6983,12393,1454,13725,24189
102,33101,6977,12399,1454,13725,24195
103,33101,6978,12398,1455,13725,24194
104,33101,6979,12396,1455,13725,24192
105,33101,6987,12388,1455,13725,24184
106,33101,6987,12388,1455,13725,24184
