timestamp,total,used,free,shared,buff/cache,available
0,33101,11294,7968,1339,13838,19901
1,33101,11294,7968,1339,13838,19901
2,33101,11294,7968,1339,13838,19900
3,33101,11294,7968,1340,13838,19901
4,33101,11294,7968,1340,13838,19901
5,33101,11327,7935,1340,13838,19868
6,33101,11345,7918,1340,13838,19850
7,33101,11363,7899,1340,13838,19832
8,33101,11379,7883,1340,13838,19815
9,33101,11386,7875,1340,13839,19808
10,33101,11391,7871,1340,13839,19803
11,33101,11391,7870,1340,13839,19803
12,33101,11404,7857,1341,13839,19789
13,33101,11404,7857,1341,13839,19789
14,33101,11409,7851,1341,13839,19784
15,33101,11418,7842,1341,13839,19775
16,33101,11418,7842,1341,13840,19775
17,33101,11423,7837,1341,13840,19770
18,33101,11421,7839,1341,13840,19772
19,33101,11417,7843,1341,13840,19776
20,33101,11417,7843,1342,13840,19775
21,33101,11424,7836,1342,13841,19768
22,33101,11424,7835,1342,13841,19768
23,33101,11417,7842,1342,13841,19775
24,33101,11418,7841,1342,13841,19774
25,33101,11418,7841,1342,13841,19774
26,33101,11422,7837,1343,13841,19770
27,33101,11422,7837,1343,13842,19770
28,33101,11420,7838,1343,13842,19771
29,33101,11418,7840,1343,13842,19773
30,33101,11418,7840,1343,13842,19773
31,33101,11413,7844,1344,13842,19777
32,33101,11414,7844,1344,13842,19777
33,33101,11423,7834,1344,13843,19767
34,33101,11436,7822,1344,13843,19755
35,33101,11443,7814,1344,13843,19747
36,33101,11447,7810,1344,13843,19743
37,33101,11448,7809,1344,13843,19742
38,33101,11446,7810,1344,13844,19744
39,33101,11455,7801,1345,13844,19734
40,33101,11453,7803,1345,13844,19736
41,33101,11433,7823,1345,13844,19757
42,33101,11445,7811,1345,13844,19744
43,33101,11453,7802,1345,13844,19736
44,33101,11460,7796,1345,13845,19729
45,33101,11464,7791,1346,13845,19724
46,33101,11449,7806,1346,13845,19739
47,33101,11446,7809,1346,13846,19743
48,33101,11451,7804,1346,13846,19737
49,33101,11462,7792,1346,13846,19726
50,33101,11446,7807,1346,13846,19741
51,33101,11449,7805,1347,13846,19739
52,33101,11446,7807,1347,13846,19741
53,33101,11443,7811,1347,13847,19745
54,33101,11446,7807,1347,13847,19741
55,33101,11444,7809,1347,13847,19743
56,33101,11449,7804,1348,13847,19737
57,33101,11447,7805,1348,13848,19739
58,33101,11454,7798,1348,13848,19732
59,33101,11454,7798,1348,13848,19732
60,33101,11456,7795,1348,13848,19729
61,33101,11455,7797,1348,13848,19731
62,33101,11445,7806,1349,13849,19740
63,33101,11453,7799,1349,13849,19733
64,33101,11453,7798,1349,13849,19732
65,33101,11454,7797,1349,13849,19731
66,33101,11451,7799,1349,13849,19733
67,33101,11453,7797,1349,13850,19732
68,33101,11450,7800,1350,13850,19735
69,33101,11446,7804,1350,13850,19739
70,33101,11449,7801,1350,13850,19735
71,33101,11450,7800,1350,13850,19734
72,33101,11459,7790,1350,13851,19724
73,33101,11473,7777,1350,13851,19711
74,33101,11473,7776,1351,13851,19710
75,33101,11458,7791,1351,13851,19725
76,33101,11461,7788,1351,13851,19722
77,33101,11459,7790,1351,13851,19725
78,33101,11464,7785,1351,13851,19719
79,33101,11484,7765,1351,13852,19699
80,33101,11486,7762,1351,13852,19697
81,33101,11489,7760,1351,13852,19694
82,33101,11463,7785,1351,13852,19720
83,33101,11485,7764,1351,13852,19698
84,33101,11486,7762,1351,13852,19697
85,33101,11486,7762,1351,13852,19697
86,33101,11486,7762,1351,13852,19696
87,33101,11492,7756,1352,13852,19690
88,33101,11493,7755,1352,13852,19689
89,33101,11493,7755,1352,13852,19690
90,33101,11493,7754,1352,13852,19689
91,33101,11504,7743,1352,13852,19678
92,33101,11494,7754,1352,13852,19688
93,33101,11497,7751,1352,13853,19686
94,33101,11462,7785,1352,13853,19720
95,33101,11474,7773,1352,13853,19708
96,33101,11473,7774,1352,13853,19709
97,33101,11475,7772,1352,13853,19707
98,33101,11481,7766,1353,13854,19700
99,33101,11475,7771,1353,13854,19706
100,33101,11475,7771,1353,13854,19706
101,33101,11502,7744,1353,13854,19679
102,33101,11505,7742,1353,13854,19676
103,33101,11503,7743,1353,13854,19678
104,33101,11503,7743,1353,13854,19678
105,33101,11519,7727,1353,13854,19662
106,33101,11496,7750,1353,13854,19685
107,33101,11496,7750,1353,13855,19685
108,33101,11505,7741,1353,13855,19676
109,33101,11505,7740,1354,13855,19676
110,33101,11500,7745,1354,13855,19680
111,33101,11505,7740,1354,13856,19675
112,33101,11502,7742,1354,13856,19678
113,33101,11502,7742,1354,13856,19678
114,33101,11503,7742,1354,13856,19677
115,33101,11507,7737,1355,13856,19673
116,33101,11505,7739,1355,13856,19675
117,33101,11500,7743,1355,13856,19679
118,33101,11505,7738,1355,13857,19674
119,33101,11505,7738,1355,13857,19674
120,33101,11505,7738,1355,13857,19674
121,33101,11501,7742,1355,13857,19678
122,33101,11503,7740,1355,13857,19676
123,33101,11508,7735,1356,13857,19671
124,33101,11505,7737,1356,13858,19673
125,33101,11503,7739,1356,13858,19675
126,33101,11503,7739,1356,13858,19675
127,33101,11503,7739,1356,13858,19675
128,33101,11505,7737,1356,13858,19673
129,33101,11507,7734,1357,13859,19670
130,33101,11500,7741,1357,13859,19677
131,33101,11505,7736,1357,13859,19672
132,33101,11503,7738,1357,13859,19674
133,33101,11503,7737,1357,13859,19674
134,33101,11510,7731,1357,13859,19667
135,33101,11499,7742,1357,13859,19678
136,33101,11503,7737,1358,13860,19673
137,33101,11506,7734,1358,13860,19671
138,33101,11504,7736,1358,13860,19672
139,33101,11510,7730,1358,13860,19666
140,33101,11508,7732,1358,13861,19668
141,33101,11499,7741,1358,13861,19677
142,33101,11499,7740,1358,13861,19677
143,33101,11499,7740,1359,13861,19677
144,33101,11506,7733,1359,13861,19670
145,33101,11506,7733,1359,13861,19669
146,33101,11508,7731,1359,13861,19667
147,33101,11506,7733,1359,13862,19669
148,33101,11508,7730,1359,13862,19667
149,33101,11503,7735,1360,13862,19671
150,33101,11507,7730,1360,13862,19667
151,33101,11506,7732,1360,13862,19668
152,33101,11508,7730,1360,13863,19666
153,33101,11505,7732,1360,13863,19669
154,33101,11505,7732,1360,13863,19668
155,33101,11506,7731,1360,13863,19668
156,33101,11506,7731,1361,13863,19668
157,33101,11497,7740,1361,13864,19677
158,33101,11499,7737,1361,13864,19674
159,33101,11499,7737,1361,13864,19674
160,33101,11500,7736,1361,13864,19673
161,33101,11505,7731,1361,13864,19668
162,33101,11507,7729,1362,13864,19666
163,33101,11506,7729,1362,13865,19666
164,33101,11505,7731,1362,13865,19667
165,33101,11507,7728,1362,13865,19665
166,33101,11513,7722,1362,13865,19659
167,33101,11522,7713,1362,13866,19650
168,33101,11519,7715,1362,13866,19653
169,33101,11510,7724,1362,13866,19661
170,33101,11511,7724,1363,13866,19661
171,33101,11498,7736,1363,13866,19674
172,33101,11513,7721,1363,13866,19659
173,33101,11522,7712,1363,13867,19649
174,33101,11513,7720,1363,13867,19658
175,33101,11532,7701,1363,13867,19639
176,33101,11532,7701,1363,13867,19638
177,33101,11526,7707,1364,13867,19644
178,33101,11528,7705,1364,13867,19642
179,33101,11530,7702,1364,13868,19640
180,33101,11531,7702,1364,13868,19639
181,33101,11535,7697,1364,13868,19635
182,33101,11533,7699,1365,13868,19637
183,33101,11533,7699,1365,13868,19636
184,33101,11533,7699,1365,13869,19636
185,33101,11535,7696,1365,13869,19634
186,33101,11536,7696,1365,13869,19633
187,33101,11535,7695,1366,13869,19633
188,33101,11542,7688,1366,13870,19626
189,33101,11533,7697,1366,13870,19635
190,33101,11535,7695,1366,13870,19633
191,33101,11531,7699,1366,13870,19637
192,33101,11537,7693,1366,13870,19631
193,33101,11535,7695,1367,13870,19633
194,33101,11540,7690,1367,13871,19628
195,33101,11537,7692,1367,13871,19630
196,33101,11531,7698,1367,13871,19637
197,33101,11535,7693,1367,13871,19632
198,33101,11531,7697,1368,13872,19635
199,33101,11536,7693,1368,13872,19631
200,33101,11531,7697,1368,13872,19635
201,33101,11536,7692,1368,13872,19630
202,33101,11535,7692,1368,13872,19630
203,33101,11535,7692,1369,13873,19630
204,33101,11529,7698,1369,13873,19636
205,33101,11534,7693,1369,13873,19631
206,33101,11534,7693,1369,13873,19632
207,33101,11538,7689,1369,13874,19627
208,33101,11538,7689,1369,13874,19627
209,33101,11538,7688,1370,13874,19627
210,33101,11540,7686,1370,13874,19625
211,33101,11538,7687,1370,13874,19626
212,33101,11534,7692,1370,13875,19630
213,33101,11543,7682,1370,13875,19620
214,33101,11543,7682,1371,13875,19620
215,33101,11548,7677,1371,13875,19615
216,33101,11552,7672,1371,13876,19611
217,33101,11526,7698,1371,13876,19637
218,33101,11528,7696,1371,13876,19635
219,33101,11527,7697,1372,13876,19636
220,33101,11529,7694,1372,13877,19633
221,33101,11527,7696,1372,13877,19635
222,33101,11533,7691,1372,13877,19630
223,33101,11536,7687,1372,13877,19625
224,33101,11536,7687,1373,13877,19626
225,33101,11536,7687,1373,13877,19626
226,33101,11536,7686,1373,13878,19625
227,33101,11532,7690,1373,13878,19629
228,33101,11534,7688,1373,13879,19627
229,33101,11534,7687,1373,13879,19626
230,33101,11530,7691,1373,13879,19631
231,33101,11531,7690,1374,13879,19629
232,33101,11532,7689,1374,13879,19628
233,33101,11536,7685,1374,13879,19624
234,33101,11538,7682,1374,13880,19622
235,33101,11540,7680,1375,13880,19619
236,33101,11536,7684,1375,13880,19623
237,33101,11532,7688,1375,13880,19627
238,33101,11536,7683,1375,13881,19623
239,33101,11535,7685,1375,13881,19624
240,33101,11536,7683,1375,13881,19622
241,33101,11542,7677,1376,13881,19617
242,33101,11550,7669,1376,13882,19608
243,33101,11539,7679,1376,13882,19619
244,33101,11546,7673,1376,13882,19612
245,33101,11546,7672,1377,13882,19611
246,33101,11547,7671,1377,13882,19611
247,33101,11545,7673,1377,13883,19613
248,33101,11544,7673,1377,13883,19613
249,33101,11544,7673,1377,13883,19612
250,33101,11549,7668,1377,13883,19608
251,33101,11540,7677,1378,13883,19616
252,33101,11540,7676,1378,13883,19616
253,33101,11545,7672,1378,13884,19611
254,33101,11551,7665,1378,13884,19604
255,33101,11549,7667,1378,13884,19607
256,33101,11547,7669,1379,13884,19609
257,33101,11547,7668,1379,13884,19608
258,33101,11540,7675,1379,13885,19615
259,33101,11541,7675,1379,13885,19615
260,33101,11545,7670,1379,13885,19610
261,33101,11541,7674,1379,13885,19614
262,33101,11545,7670,1380,13886,19610
263,33101,11545,7669,1380,13886,19609
