timestamp,total,used,free,shared,buff/cache,available
0,33101,7912,11916,1976,13273,22710
1,33101,7912,11924,1968,13265,22718
2,33101,7912,11918,1973,13271,22712
3,33101,7912,11918,1974,13271,22712
4,33101,7912,11917,1974,13271,22712
5,33101,7943,11886,1974,13271,22680
6,33101,7972,11857,1974,13271,22651
7,33101,7989,11840,1973,13271,22635
8,33101,7992,11838,1973,13271,22632
9,33101,7998,11831,1974,13271,22625
10,33101,8002,11827,1974,13271,22621
11,33101,8003,11826,1974,13272,22620
12,33101,8007,11822,1974,13272,22616
13,33101,8022,11807,1974,13272,22601
14,33101,8028,11800,1974,13272,22594
15,33101,8028,11800,1975,13272,22594
16,33101,8040,11788,1975,13273,22582
17,33101,8040,11788,1975,13273,22582
18,33101,8040,11787,1975,13273,22582
19,33101,8020,11807,1975,13273,22601
20,33101,8028,11799,1975,13273,22594
21,33101,8032,11795,1975,13273,22590
22,33101,8033,11794,1976,13273,22588
23,33101,8038,11789,1976,13273,22584
24,33101,8033,11794,1976,13274,22588
25,33101,8037,11789,1976,13274,22584
26,33101,8040,11786,1976,13274,22581
27,33101,8036,11790,1977,13275,22585
28,33101,8035,11788,1979,13277,22583
29,33101,8031,11792,1979,13277,22587
30,33101,8034,11789,1979,13277,22584
31,33101,8031,11794,1977,13275,22589
32,33101,8036,11794,1972,13270,22589
33,33101,8038,11792,1972,13270,22587
34,33101,8034,11796,1972,13270,22591
35,33101,8047,11782,1973,13270,22577
36,33101,8043,11786,1973,13271,22581
37,33101,8040,11790,1973,13271,22584
38,33101,8002,11824,1977,13275,22619
39,33101,8007,11818,1977,13275,22613
40,33101,8010,11856,1937,13235,22650
41,33101,8012,11853,1937,13235,22648
42,33101,7359,12740,1709,13001,23529
43,33101,7355,12761,1692,12984,23550
44,33101,7359,12759,1690,12982,23548
45,33101,7368,12756,1683,12975,23545
46,33101,7378,12726,1703,12995,23516
47,33101,6920,13320,1568,12860,24110
48,33101,7016,13174,1618,12910,23963
49,33101,7014,13176,1618,12911,23965
50,33101,7024,13217,1566,12859,24007
51,33101,7016,13226,1566,12859,24015
52,33101,7022,13219,1566,12859,24009
53,33101,7017,13224,1567,12859,24013
54,33101,7024,13217,1567,12859,24006
55,33101,7030,13210,1567,12859,24000
56,33101,7027,13214,1567,12860,24003
57,33101,6994,13247,1567,12860,24036
58,33101,6999,13241,1567,12860,24030
59,33101,7001,13239,1567,12860,24028
60,33101,7006,13234,1568,12860,24024
61,33101,7009,13231,1568,12860,24020
62,33101,7001,13239,1568,12861,24028
63,33101,7008,13231,1568,12861,24021
64,33101,7013,13226,1568,12861,24016
65,33101,7016,13223,1568,12861,24013
66,33101,7011,13228,1568,12861,24018
67,33101,7015,13224,1569,12862,24013
68,33101,7015,13223,1569,12862,24013
69,33101,7016,13222,1569,12862,24012
70,33101,6999,13239,1569,12862,24028
71,33101,7001,13237,1569,12862,24027
72,33101,6999,13239,1569,12862,24029
73,33101,7001,13236,1570,12862,24026
74,33101,6994,13243,1570,12863,24033
75,33101,6989,13249,1570,12863,24039
76,33101,6990,13247,1570,12863,24037
77,33101,6999,13238,1570,12863,24028
78,33101,7000,13237,1570,12864,24027
79,33101,7000,13237,1571,12864,24027
80,33101,7004,13233,1571,12864,24023
81,33101,7007,13229,1571,12864,24019
82,33101,7003,13233,1571,12864,24023
83,33101,7007,13229,1571,12864,24019
84,33101,7005,13231,1571,12864,24021
85,33101,7009,13226,1571,12865,24016
86,33101,7002,13233,1572,12865,24024
87,33101,7007,13228,1572,12865,24019
88,33101,7016,13219,1572,12865,24009
89,33101,7009,13226,1572,12865,24016
90,33101,7019,13216,1572,12866,24006
91,33101,7020,13214,1572,12866,24005
92,33101,7017,13217,1573,12866,24007
93,33101,7011,13223,1573,12866,24013
94,33101,7015,13218,1573,12866,24009
95,33101,7013,13221,1573,12866,24011
96,33101,7015,13218,1573,12867,24009
97,33101,7008,13225,1573,12867,24016
98,33101,7009,13224,1573,12867,24014
99,33101,7010,13223,1574,12867,24014
100,33101,7010,13223,1574,12867,24013
101,33101,7002,13230,1574,12868,24021
102,33101,7011,13221,1574,12868,24012
103,33101,7016,13216,1574,12868,24007
104,33101,7014,13218,1575,12868,24009
105,33101,7011,13221,1575,12868,24012
106,33101,7013,13218,1575,12869,24009
107,33101,7016,13215,1575,12869,24006
108,33101,7016,13214,1575,12869,24005
109,33101,7014,13216,1575,12870,24007
110,33101,7015,13216,1576,12870,24007
111,33101,7019,13211,1576,12870,24002
112,33101,7012,13218,1576,12870,24009
113,33101,7007,13223,1576,12870,24014
114,33101,7014,13216,1576,12870,24007
115,33101,7017,13213,1576,12870,24004
116,33101,7018,13211,1577,12871,24003
117,33101,7018,13211,1577,12871,24002
118,33101,7006,13223,1577,12871,24014
119,33101,7013,13216,1577,12871,24007
120,33101,7012,13216,1577,12872,24008
121,33101,7015,13213,1577,12872,24004
122,33101,7014,13214,1578,12872,24005
123,33101,7018,13210,1578,12872,24002
124,33101,7021,13207,1578,12872,23998
125,33101,7022,13205,1578,12873,23997
126,33101,7027,13201,1578,12873,23992
127,33101,7018,13209,1578,12873,24001
128,33101,7018,13209,1578,12873,24001
129,33101,7005,13221,1579,12873,24013
130,33101,7015,13212,1579,12873,24003
131,33101,7015,13212,1579,12874,24003
132,33101,7012,13214,1579,12874,24006
133,33101,7019,13207,1579,12874,23999
134,33101,7021,13205,1579,12874,23997
135,33101,7021,13204,1580,12874,23996
136,33101,7019,13207,1580,12875,23999
137,33101,7019,13206,1580,12875,23998
138,33101,7021,13204,1580,12875,23996
139,33101,7022,13203,1580,12875,23995
140,33101,7015,13210,1580,12875,24002
141,33101,7024,13201,1581,12875,23993
142,33101,7024,13201,1581,12876,23992
143,33101,7009,13216,1581,12876,24008
144,33101,7009,13215,1581,12876,24007
145,33101,7009,13216,1581,12876,24007
146,33101,7011,13213,1581,12876,24005
147,33101,7011,13212,1582,12876,24004
148,33101,7022,13201,1582,12877,23993
149,33101,7018,13205,1582,12877,23997
150,33101,7027,13196,1582,12877,23988
151,33101,7028,13195,1582,12877,23987
152,33101,7021,13202,1582,12877,23994
153,33101,7025,13198,1583,12878,23990
154,33101,7031,13192,1583,12878,23984
155,33101,7038,13185,1583,12878,23977
156,33101,7038,13184,1583,12878,23976
157,33101,7023,13198,1583,12878,23990
158,33101,7026,13196,1583,12879,23988
159,33101,7025,13196,1584,12879,23988
160,33101,7028,13193,1584,12879,23986
161,33101,7023,13198,1584,12879,23990
162,33101,7022,13199,1584,12879,23991
163,33101,7029,13191,1584,12879,23983
164,33101,7030,13190,1584,12880,23982
165,33101,7033,13188,1585,12880,23980
166,33101,7024,13196,1585,12880,23988
167,33101,7029,13191,1585,12881,23983
168,33101,7029,13190,1585,12881,23983
169,33101,7031,13188,1585,12881,23981
170,33101,7026,13193,1585,12881,23985
171,33101,7027,13192,1586,12881,23985
172,33101,7022,13196,1586,12882,23989
173,33101,7037,13182,1586,12882,23974
174,33101,7033,13185,1586,12882,23978
175,33101,7031,13187,1586,12882,23980
176,33101,7034,13184,1586,12882,23977
177,33101,7032,13186,1587,12883,23979
178,33101,7029,13188,1587,12883,23981
179,33101,7029,13188,1587,12883,23981
