timestamp,total,used,free,shared,buff/cache,available
0,33101,9715,9182,2656,14204,20193
1,33101,9687,9208,2656,14204,20220
2,33101,9687,9208,2656,14205,20220
3,33101,9687,9208,2656,14205,20220
4,33101,9688,9208,2656,14205,20219
5,33101,9717,9178,2656,14205,20190
6,33101,9735,9160,2656,14205,20172
7,33101,9758,9137,2657,14205,20149
8,33101,9763,9132,2657,14205,20144
9,33101,9784,9111,2657,14205,20123
10,33101,9784,9110,2657,14205,20122
11,33101,9790,9105,2657,14206,20117
12,33101,9794,9100,2657,14206,20112
13,33101,9802,9092,2657,14206,20104
14,33101,9804,9090,2658,14206,20102
15,33101,9825,9068,2658,14207,20081
16,33101,9826,9067,2658,14207,20079
17,33101,9840,9053,2658,14207,20066
18,33101,9837,9056,2658,14207,20068
19,33101,9836,9057,2658,14207,20070
20,33101,9834,9059,2659,14207,20071
21,33101,9836,9057,2659,14208,20069
22,33101,9825,9067,2659,14208,20080
23,33101,9837,9055,2659,14208,20068
24,33101,9833,9059,2659,14208,20072
25,33101,9835,9057,2659,14208,20069
26,33101,9833,9059,2659,14208,20071
27,33101,9842,9050,2660,14209,20062
28,33101,9837,9054,2660,14209,20066
29,33101,9836,9055,2660,14209,20067
30,33101,9847,9044,2660,14209,20056
31,33101,9848,9043,2660,14209,20056
32,33101,9850,9041,2660,14209,20053
33,33101,9858,9032,2660,14210,20045
34,33101,9867,9023,2661,14210,20036
35,33101,9856,9034,2661,14210,20047
36,33101,9864,9026,2661,14210,20038
37,33101,9864,9026,2661,14210,20039
38,33101,9855,9035,2661,14210,20047
39,33101,9862,9028,2661,14210,20041
40,33101,9860,9030,2661,14211,20043
41,33101,9860,9029,2661,14211,20042
42,33101,9861,9028,2661,14211,20041
43,33101,9867,9022,2662,14211,20035
44,33101,9865,9024,2662,14211,20037
45,33101,9885,9004,2662,14211,20016
46,33101,9882,9006,2662,14211,20019
47,33101,9882,9006,2662,14211,20019
48,33101,9872,9017,2662,14212,20030
49,33101,9884,9004,2662,14212,20017
50,33101,9873,9015,2662,14212,20028
51,33101,9868,9020,2663,14212,20033
52,33101,9868,9020,2663,14212,20033
53,33101,9877,9010,2663,14213,20024
54,33101,9882,9005,2663,14213,20018
55,33101,9868,9019,2663,14213,20032
56,33101,9864,9023,2663,14213,20036
