timestamp,total,used,free,shared,buff/cache,available
0,33101,5202,15420,1466,12478,25959
1,33101,5202,15420,1466,12478,25959
2,33101,5201,15421,1466,12478,25959
3,33101,5201,15420,1466,12478,25959
4,33101,5201,15421,1466,12478,25960
5,33101,5231,15391,1466,12478,25930
6,33101,5250,15371,1466,12479,25911
7,33101,5265,15356,1466,12479,25895
8,33101,5283,15337,1466,12479,25877
9,33101,5291,15329,1466,12479,25869
10,33101,5299,15321,1466,12480,25861
11,33101,5305,15315,1467,12480,25855
12,33101,5307,15312,1467,12480,25852
13,33101,5319,15300,1467,12480,25840
14,33101,5316,15303,1467,12481,25843
15,33101,5322,15298,1467,12480,25837
16,33101,5337,15283,1467,12480,25822
17,33101,5333,15286,1467,12481,25826
18,33101,5349,15271,1468,12481,25810
19,33101,5347,15272,1468,12481,25811
20,33101,5345,15274,1468,12481,25814
21,33101,5351,15268,1468,12481,25807
22,33101,5352,15267,1468,12481,25806
23,33101,5364,15254,1468,12482,25794
24,33101,5358,15260,1468,12482,25800
25,33101,5355,15263,1468,12482,25803
26,33101,5364,15254,1469,12482,25794
27,33101,5365,15253,1469,12482,25793
28,33101,5360,15258,1469,12482,25798
29,33101,5356,15262,1469,12482,25802
30,33101,5351,15266,1469,12483,25806
31,33101,5355,15262,1469,12483,25802
32,33101,5361,15256,1469,12484,25796
33,33101,5369,15247,1470,12484,25788
34,33101,5364,15252,1470,12484,25792
35,33101,5375,15242,1470,12484,25782
36,33101,5372,15243,1470,12484,25784
37,33101,5368,15248,1470,12484,25788
38,33101,5377,15239,1470,12484,25779
39,33101,5376,15240,1470,12485,25780
40,33101,5372,15244,1470,12485,25784
41,33101,5370,15245,1471,12485,25785
42,33101,5376,15239,1471,12485,25780
43,33101,5381,15233,1471,12485,25774
44,33101,5390,15224,1471,12485,25765
45,33101,5366,15248,1471,12485,25789
46,33101,5376,15238,1471,12486,25779
47,33101,5381,15233,1471,12486,25774
48,33101,5384,15230,1472,12486,25770
49,33101,5386,15228,1472,12486,25769
50,33101,5389,15225,1472,12486,25766
51,33101,5393,15221,1472,12486,25761
52,33101,5396,15218,1472,12487,25759
53,33101,5398,15215,1472,12487,25756
54,33101,5381,15232,1473,12487,25772
55,33101,5384,15229,1473,12487,25770
56,33101,5392,15221,1473,12487,25762
57,33101,5392,15220,1473,12487,25761
58,33101,5395,15218,1473,12488,25759
59,33101,5384,15228,1473,12488,25769
60,33101,5393,15219,1473,12488,25760
61,33101,5401,15211,1473,12488,25752
62,33101,5402,15210,1474,12488,25751
63,33101,5398,15214,1474,12488,25755
64,33101,5400,15211,1474,12488,25752
65,33101,5414,15197,1474,12489,25738
66,33101,5397,15215,1474,12489,25756
67,33101,5401,15210,1474,12489,25751
68,33101,5401,15210,1474,12489,25752
69,33101,5407,15204,1474,12489,25745
70,33101,5403,15208,1474,12489,25749
71,33101,5404,15206,1475,12489,25748
