timestamp,total,used,free,shared,buff/cache,available
0,33101,6695,7072,3351,19333,22480
1,33101,6695,7071,3351,19334,22480
2,33101,6695,7072,3351,19334,22480
3,33101,6695,7071,3351,19334,22480
4,33101,6695,7071,3351,19334,22480
5,33101,6722,7045,3351,19334,22453
6,33101,6751,7015,3351,19334,22423
7,33101,6771,6994,3351,19335,22403
8,33101,6782,6983,3351,19335,22392
9,33101,6786,6979,3352,19335,22388
10,33101,6792,6973,3352,19335,22382
11,33101,6792,6973,3352,19335,22382
12,33101,6809,6955,3352,19336,22364
13,33101,6810,6954,3352,19336,22363
14,33101,6808,6956,3352,19336,22365
15,33101,6804,6960,3353,19336,22369
16,33101,6802,6962,3353,19336,22371
17,33101,6801,6963,3353,19336,22372
18,33101,6801,6962,3353,19337,22371
19,33101,6814,6949,3353,19337,22358
20,33101,6814,6949,3353,19337,22358
21,33101,6804,6959,3354,19337,22368
22,33101,6806,6956,3354,19337,22365
23,33101,6809,6953,3354,19338,22362
24,33101,6812,6950,3354,19338,22360
25,33101,6810,6952,3354,19338,22361
26,33101,6805,6957,3355,19338,22366
27,33101,6806,6956,3355,19339,22365
28,33101,6803,6958,3355,19339,22368
29,33101,6814,6947,3355,19339,22356
30,33101,6814,6947,3355,19339,22356
31,33101,6811,6950,3355,19340,22359
32,33101,6820,6941,3355,19340,22350
33,33101,6821,6939,3356,19340,22349
34,33101,6823,6937,3356,19340,22346
35,33101,6823,6937,3356,19340,22347
36,33101,6819,6941,3356,19340,22350
37,33101,6805,6954,3356,19341,22364
38,33101,6811,6948,3357,19341,22358
39,33101,6813,6946,3357,19341,22355
40,33101,6818,6941,3357,19341,22351
41,33101,6825,6934,3357,19341,22343
42,33101,6828,6930,3357,19342,22340
43,33101,6835,6924,3357,19342,22334
44,33101,6850,6908,3358,19342,22318
45,33101,6847,6911,3358,19342,22321
46,33101,6845,6912,3358,19342,22322
47,33101,6845,6912,3358,19343,22322
48,33101,6841,6916,3358,19343,22326
49,33101,6819,6938,3358,19343,22348
50,33101,6825,6932,3359,19343,22342
51,33101,6826,6930,3359,19343,22340
52,33101,6831,6925,3359,19344,22335
53,33101,6826,6931,3359,19344,22341
54,33101,6833,6923,3359,19344,22333
55,33101,6839,6916,3360,19344,22327
56,33101,6830,6925,3360,19344,22335
57,33101,6828,6927,3360,19345,22337
58,33101,6829,6926,3360,19345,22336
59,33101,6829,6927,3360,19345,22337
60,33101,6832,6923,3361,19345,22333
61,33101,6833,6922,3361,19345,22332
62,33101,6833,6921,3361,19346,22332
63,33101,6839,6915,3361,19346,22326
64,33101,6841,6913,3361,19346,22323
65,33101,6838,6916,3361,19346,22326
66,33101,6842,6911,3362,19347,22321
67,33101,6845,6909,3362,19347,22319
68,33101,6851,6902,3362,19347,22313
69,33101,6843,6910,3362,19347,22320
70,33101,6834,6919,3362,19347,22329
71,33101,6845,6908,3362,19347,22319
72,33101,6849,6904,3362,19347,22314
73,33101,6845,6907,3363,19348,22318
74,33101,6839,6914,3363,19348,22324
75,33101,6851,6901,3363,19348,22312
76,33101,6864,6888,3363,19348,22299
