timestamp,total,used,free,shared,buff/cache,available
0,33101,4514,16524,1496,12062,26607
1,33101,4515,16523,1496,12062,26607
2,33101,4514,16524,1496,12062,26607
3,33101,4515,16523,1496,12062,26607
4,33101,4514,16523,1496,12062,26607
5,33101,4560,16478,1496,12062,26562
6,33101,4576,16461,1496,12062,26545
7,33101,4580,16457,1496,12062,26541
8,33101,4585,16452,1496,12063,26536
9,33101,4629,16408,1497,12063,26493
10,33101,4632,16405,1497,12063,26489
11,33101,4633,16404,1497,12063,26488
12,33101,4634,16403,1497,12063,26487
13,33101,4650,16387,1497,12063,26472
14,33101,4624,16413,1497,12063,26498
15,33101,4627,16409,1497,12063,26494
16,33101,4627,16410,1497,12063,26494
17,33101,4630,16407,1497,12064,26491
18,33101,4661,16376,1497,12064,26460
19,33101,4661,16376,1497,12064,26460
20,33101,4662,16374,1497,12064,26459
21,33101,4660,16376,1497,12064,26460
22,33101,4663,16374,1497,12064,26458
23,33101,4678,16358,1497,12064,26443
24,33101,4681,16355,1497,12064,26440
25,33101,4685,16351,1497,12064,26436
26,33101,4688,16348,1497,12064,26433
27,33101,4688,16348,1498,12065,26433
28,33101,4688,16348,1498,12065,26432
29,33101,4693,16343,1498,12065,26427
30,33101,4695,16340,1498,12065,26425
31,33101,4697,16338,1498,12065,26423
32,33101,4697,16338,1498,12065,26423
33,33101,4696,16339,1498,12065,26424
34,33101,4723,16311,1498,12066,26397
35,33101,4724,16311,1498,12066,26396
36,33101,4731,16303,1498,12066,26388
37,33101,4724,16311,1498,12066,26396
38,33101,4729,16305,1498,12066,26391
39,33101,4729,16305,1498,12066,26391
40,33101,4718,16316,1498,12066,26401
41,33101,4725,16309,1499,12066,26394
42,33101,4724,16310,1499,12066,26395
43,33101,4721,16313,1499,12066,26398
44,33101,4732,16301,1499,12066,26387
45,33101,4729,16305,1499,12066,26390
46,33101,4737,16297,1499,12066,26383
47,33101,4735,16299,1499,12066,26384
48,33101,4736,16298,1499,12066,26384
49,33101,4733,16300,1499,12066,26386
50,33101,4727,16306,1499,12066,26392
51,33101,4734,16300,1499,12067,26385
52,33101,4735,16298,1499,12067,26384
53,33101,4732,16301,1499,12067,26387
54,33101,4712,16321,1499,12067,26407
55,33101,4715,16318,1499,12067,26404
56,33101,4712,16321,1499,12067,26406
57,33101,4721,16312,1499,12067,26398
58,33101,4715,16318,1500,12067,26404
59,33101,4722,16311,1500,12067,26396
60,33101,4726,16306,1500,12067,26392
61,33101,4722,16310,1500,12068,26396
62,33101,4753,16279,1500,12068,26365
63,33101,4742,16290,1500,12068,26376
64,33101,4739,16293,1500,12068,26379
65,33101,4739,16293,1500,12068,26379
66,33101,4744,16288,1500,12068,26374
67,33101,4742,16290,1500,12068,26376
68,33101,4745,16287,1500,12068,26373
69,33101,4743,16289,1500,12068,26375
70,33101,4754,16278,1500,12068,26364
71,33101,4712,16320,1500,12068,26406
72,33101,4727,16304,1501,12069,26390
73,33101,4729,16302,1501,12069,26388
74,33101,4729,16302,1501,12069,26388
75,33101,4728,16303,1501,12069,26389
76,33101,4723,16308,1501,12069,26394
77,33101,4734,16297,1501,12069,26383
78,33101,4728,16302,1501,12070,26388
79,33101,4732,16298,1502,12070,26384
80,33101,4735,16295,1502,12070,26381
81,33101,4731,16299,1502,12070,26385
82,33101,4732,16297,1502,12070,26384
83,33101,4733,16297,1502,12070,26383
84,33101,4737,16292,1502,12071,26378
85,33101,4742,16287,1502,12071,26374
86,33101,4727,16302,1502,12071,26388
87,33101,4733,16296,1503,12071,26383
88,33101,4735,16294,1503,12071,26380
89,33101,4733,16296,1503,12071,26382
90,33101,4724,16305,1503,12071,26391
91,33101,4733,16296,1503,12071,26382
92,33101,4733,16295,1503,12072,26382
93,33101,4733,16295,1503,12072,26382
94,33101,4733,16295,1503,12072,26381
95,33101,4745,16282,1504,12072,26369
96,33101,4729,16299,1504,12072,26386
97,33101,4724,16303,1504,12073,26390
98,33101,4738,16289,1504,12073,26376
99,33101,4737,16291,1504,12073,26377
100,33101,4746,16281,1504,12073,26368
101,33101,4755,16272,1504,12073,26359
102,33101,4752,16274,1504,12073,26361
103,33101,4759,16268,1504,12074,26355
104,33101,4747,16279,1504,12074,26366
105,33101,4748,16278,1505,12074,26365
106,33101,4758,16268,1505,12074,26355
107,33101,4765,16261,1505,12074,26348
108,33101,4770,16255,1505,12074,26342
109,33101,4771,16255,1505,12074,26342
110,33101,4771,16254,1505,12074,26341
111,33101,4770,16256,1506,12075,26343
112,33101,4772,16253,1506,12075,26340
113,33101,4768,16257,1506,12075,26344
114,33101,4770,16255,1506,12075,26342
115,33101,4767,16258,1506,12075,26345
116,33101,4778,16247,1506,12075,26334
117,33101,4778,16246,1506,12075,26334
118,33101,4776,16249,1506,12075,26336
119,33101,4772,16253,1506,12076,26340
120,33101,4788,16237,1507,12076,26324
121,33101,4784,16241,1507,12076,26328
122,33101,4779,16245,1507,12076,26332
123,33101,4768,16255,1507,12076,26343
124,33101,4768,16255,1507,12077,26343
125,33101,4768,16255,1507,12077,26343
126,33101,4771,16252,1507,12077,26340
127,33101,4775,16248,1508,12077,26335
128,33101,4772,16251,1508,12077,26338
129,33101,4800,16222,1508,12077,26310
130,33101,4803,16220,1508,12077,26307
131,33101,4775,16248,1508,12077,26335
132,33101,4771,16251,1508,12078,26339
133,33101,4776,16247,1508,12078,26334
134,33101,4770,16252,1508,12078,26339
135,33101,4770,16252,1509,12078,26340
136,33101,4770,16252,1509,12078,26340
137,33101,4779,16242,1509,12078,26330
138,33101,4782,16240,1509,12079,26327
139,33101,4783,16238,1509,12079,26325
140,33101,4782,16239,1509,12079,26327
141,33101,4771,16250,1509,12079,26337
142,33101,4778,16243,1509,12079,26331
143,33101,4774,16247,1510,12079,26335
144,33101,4773,16248,1510,12080,26335
145,33101,4773,16248,1510,12080,26335
146,33101,4781,16239,1510,12080,26326
147,33101,4793,16227,1510,12080,26315
148,33101,4789,16231,1510,12080,26319
149,33101,4782,16237,1510,12080,26325
150,33101,4782,16238,1510,12080,26326
151,33101,4780,16239,1511,12081,26327
152,33101,4790,16229,1511,12081,26317
153,33101,4783,16235,1511,12081,26324
154,33101,4790,16228,1511,12081,26317
155,33101,4785,16234,1511,12081,26322
156,33101,4786,16233,1511,12082,26321
157,33101,4788,16230,1511,12082,26319
158,33101,4789,16230,1511,12082,26318
159,33101,4787,16232,1511,12082,26320
160,33101,4788,16230,1512,12082,26318
161,33101,4805,16213,1512,12082,26301
162,33101,4798,16219,1512,12082,26308
163,33101,4803,16215,1512,12083,26303
164,33101,4803,16214,1512,12083,26303
165,33101,4804,16214,1512,12083,26302
166,33101,4784,16234,1512,12083,26323
167,33101,4789,16229,1512,12083,26317
168,33101,4784,16233,1512,12083,26322
169,33101,4784,16233,1512,12083,26321
170,33101,4790,16227,1513,12083,26315
171,33101,4792,16225,1513,12084,26313
172,33101,4786,16230,1513,12084,26319
173,33101,4785,16231,1513,12084,26320
174,33101,4792,16224,1513,12084,26313
175,33101,4791,16225,1513,12084,26313
176,33101,4795,16221,1513,12084,26310
177,33101,4788,16228,1513,12084,26317
178,33101,4800,16216,1514,12084,26304
179,33101,4813,16203,1514,12085,26291
180,33101,4808,16207,1514,12085,26296
181,33101,4810,16205,1514,12085,26294
182,33101,4808,16207,1514,12085,26296
183,33101,4805,16210,1514,12085,26298
184,33101,4810,16205,1514,12085,26294
185,33101,4814,16200,1515,12086,26289
186,33101,4819,16195,1515,12086,26284
187,33101,4810,16204,1515,12086,26293
188,33101,4806,16208,1515,12086,26297
189,33101,4811,16203,1515,12086,26291
190,33101,4815,16199,1515,12086,26288
191,33101,4815,16198,1515,12087,26287
192,33101,4813,16200,1515,12087,26289
193,33101,4809,16205,1516,12087,26294
194,33101,4818,16195,1516,12087,26284
195,33101,4814,16199,1516,12087,26288
196,33101,4814,16199,1516,12087,26288
197,33101,4819,16193,1516,12087,26283
198,33101,4819,16194,1516,12088,26283
199,33101,4813,16200,1517,12088,26289
200,33101,4810,16202,1517,12088,26291
201,33101,4810,16202,1517,12088,26291
202,33101,4811,16201,1517,12088,26291
203,33101,4817,16195,1517,12088,26284
204,33101,4814,16197,1517,12089,26287
205,33101,4815,16197,1517,12089,26286
206,33101,4810,16201,1517,12089,26291
207,33101,4815,16196,1518,12089,26286
208,33101,4820,16191,1518,12089,26280
209,33101,4824,16187,1518,12089,26276
210,33101,4861,16149,1518,12089,26239
211,33101,4819,16192,1518,12089,26281
212,33101,4829,16181,1518,12090,26270
213,33101,4824,16186,1518,12090,26275
214,33101,4818,16192,1518,12090,26282
215,33101,4820,16190,1519,12091,26280
216,33101,4813,16196,1519,12091,26286
217,33101,4816,16193,1519,12091,26283
218,33101,4812,16197,1519,12091,26287
219,33101,4814,16195,1519,12091,26285
220,33101,4831,16178,1519,12091,26268
221,33101,4832,16176,1519,12092,26266
222,33101,4803,16205,1519,12092,26296
223,33101,4816,16192,1520,12092,26282
224,33101,4823,16185,1520,12092,26275
225,33101,4813,16195,1520,12092,26285
226,33101,4814,16194,1520,12092,26284
227,33101,4816,16192,1520,12092,26282
228,33101,4818,16189,1520,12092,26280
229,33101,4823,16185,1520,12092,26275
230,33101,4823,16184,1520,12093,26274
231,33101,4833,16175,1521,12093,26265
232,33101,4833,16174,1521,12093,26264
233,33101,4824,16183,1521,12093,26273
234,33101,4834,16173,1521,12093,26263
235,33101,4847,16160,1521,12093,26250
236,33101,4835,16172,1521,12093,26262
237,33101,4836,16171,1521,12094,26261
238,33101,4842,16164,1521,12094,26254
239,33101,4840,16167,1522,12094,26257
240,33101,4841,16165,1522,12094,26256
241,33101,4843,16163,1522,12094,26253
242,33101,4839,16166,1522,12095,26257
243,33101,4847,16159,1522,12095,26249
244,33101,4854,16151,1522,12095,26242
245,33101,4839,16166,1522,12095,26257
246,33101,4835,16170,1522,12095,26261
247,33101,4847,16158,1523,12095,26248
248,33101,4852,16153,1523,12095,26243
249,33101,4848,16157,1523,12095,26247
250,33101,4854,16150,1523,12096,26241
251,33101,4860,16145,1523,12096,26235
252,33101,4866,16138,1523,12096,26229
253,33101,4868,16136,1523,12096,26227
254,33101,4882,16122,1523,12096,26213
255,33101,4861,16142,1524,12096,26233
256,33101,4855,16148,1524,12096,26239
257,33101,4876,16127,1524,12097,26218
258,33101,4886,16118,1524,12097,26208
259,33101,4888,16115,1524,12097,26206
260,33101,4895,16108,1524,12097,26199
261,33101,4877,16126,1524,12097,26217
262,33101,4881,16122,1524,12097,26213
263,33101,4895,16108,1524,12097,26199
264,33101,4889,16114,1524,12097,26205
265,33101,4884,16118,1524,12097,26209
266,33101,4884,16118,1525,12098,26209
267,33101,4884,16118,1525,12098,26209
268,33101,4888,16114,1525,12098,26205
269,33101,4888,16114,1525,12098,26205
270,33101,4888,16114,1525,12098,26205
271,33101,4895,16107,1525,12099,26198
272,33101,4893,16109,1526,12099,26200
273,33101,4886,16115,1526,12099,26206
274,33101,4884,16117,1526,12099,26208
275,33101,4893,16108,1526,12099,26199
276,33101,4895,16106,1526,12100,26197
277,33101,4889,16112,1526,12100,26203
278,33101,4889,16111,1526,12100,26203
279,33101,4895,16105,1526,12100,26196
280,33101,4889,16112,1526,12100,26203
281,33101,4897,16103,1527,12100,26194
282,33101,4895,16105,1527,12100,26196
283,33101,4900,16100,1527,12100,26192
284,33101,4893,16106,1527,12101,26198
285,33101,4889,16111,1527,12101,26202
286,33101,4894,16106,1527,12101,26197
287,33101,4873,16126,1527,12101,26218
288,33101,4877,16122,1527,12101,26214
289,33101,4874,16125,1528,12101,26217
290,33101,4876,16122,1528,12101,26214
291,33101,4873,16125,1528,12102,26217
292,33101,4876,16123,1528,12102,26214
293,33101,4880,16117,1528,12102,26209
294,33101,4873,16125,1528,12102,26217
295,33101,4869,16129,1528,12102,26221
296,33101,4875,16123,1529,12102,26215
297,33101,4890,16108,1529,12103,26200
298,33101,4882,16115,1529,12103,26207
299,33101,4868,16129,1529,12103,26221
300,33101,4885,16112,1529,12103,26204
301,33101,4882,16114,1529,12103,26206
302,33101,4879,16118,1529,12104,26210
303,33101,4877,16120,1529,12104,26212
304,33101,4879,16117,1530,12104,26209
305,33101,4890,16106,1530,12104,26198
306,33101,4890,16106,1530,12104,26198
307,33101,4877,16119,1530,12104,26211
308,33101,4883,16113,1530,12104,26205
