timestamp,total,used,free,shared,buff/cache,available
0,33101,5395,14899,1200,12806,26032
1,33101,5395,14899,1200,12806,26032
2,33101,5395,14899,1200,12806,26032
3,33101,5395,14899,1200,12806,26032
4,33101,5395,14899,1200,12806,26032
5,33101,5418,14876,1200,12806,26009
6,33101,5449,14845,1200,12806,25977
7,33101,5455,14839,1200,12806,25971
8,33101,5481,14812,1200,12807,25945
9,33101,5478,14815,1200,12807,25948
10,33101,5490,14804,1200,12807,25937
11,33101,5498,14795,1200,12807,25928
12,33101,5506,14787,1200,12807,25920
13,33101,5516,14777,1200,12807,25910
14,33101,5517,14776,1200,12807,25909
15,33101,5524,14769,1200,12807,25902
16,33101,5551,14742,1201,12807,25875
17,33101,5558,14735,1201,12807,25868
18,33101,5559,14734,1201,12807,25867
19,33101,5560,14733,1201,12807,25866
20,33101,5555,14737,1201,12807,25870
21,33101,5555,14738,1201,12807,25871
22,33101,5579,14713,1201,12807,25847
23,33101,5576,14716,1201,12807,25850
24,33101,5602,14691,1201,12808,25824
25,33101,5606,14686,1201,12808,25819
26,33101,5607,14685,1201,12808,25818
27,33101,5606,14686,1201,12808,25819
28,33101,5640,14652,1201,12808,25786
29,33101,5641,14651,1201,12808,25785
30,33101,5570,14722,1201,12808,25856
31,33101,5572,14720,1201,12808,25853
32,33101,5588,14704,1201,12808,25837
33,33101,5594,14698,1201,12808,25831
34,33101,5594,14697,1201,12808,25831
35,33101,5600,14692,1201,12808,25825
36,33101,5595,14697,1201,12808,25830
37,33101,5595,14697,1201,12808,25830
38,33101,5583,14708,1201,12809,25842
39,33101,5583,14708,1201,12809,25842
40,33101,5598,14693,1202,12809,25826
41,33101,5599,14692,1202,12809,25826
42,33101,5600,14691,1202,12809,25825
43,33101,5606,14685,1202,12809,25819
44,33101,5604,14687,1202,12809,25820
45,33101,5604,14688,1202,12809,25821
46,33101,5604,14687,1202,12809,25821
47,33101,5607,14684,1202,12809,25818
48,33101,5615,14676,1202,12810,25810
49,33101,5611,14680,1202,12810,25813
50,33101,5611,14679,1202,12810,25813
51,33101,5618,14672,1202,12810,25806
52,33101,5612,14678,1202,12810,25812
53,33101,5614,14676,1202,12810,25810
54,33101,5621,14669,1202,12810,25803
55,33101,5619,14671,1202,12810,25805
56,33101,5620,14670,1202,12810,25804
57,33101,5616,14674,1202,12810,25808
58,33101,5646,14644,1203,12810,25778
59,33101,5651,14639,1203,12810,25773
60,33101,5652,14638,1203,12810,25772
61,33101,5653,14637,1203,12810,25771
62,33101,5652,14637,1203,12810,25772
63,33101,5671,14618,1203,12810,25753
64,33101,5671,14618,1203,12810,25752
65,33101,5672,14617,1203,12811,25751
66,33101,5675,14615,1203,12811,25749
67,33101,5675,14614,1203,12811,25748
